,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust C 3.31,US Dollar,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust P 330.65,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust P 297.59,2021-09-17 SPDRu00ae S&P 500u00ae ETF Trust C 385.21,SUM
07/09/2021,112.39,0.44,0.24,-0.13,-12.94,100.0
07/12/2021,112.9,0.44,0.23,-0.12,-13.45,100.0
07/13/2021,112.9,0.44,0.23,-0.12,-13.45,100.0
