,Natural Gas Futr Sep21 - Cash Offset,Cash,Natural Gas Futr Sep21,SUM
07/09/2021,200.0,100.0,-200.0,100.0
07/12/2021,200.0,100.0,-200.0,100.0
07/13/2021,200.0,100.0,-200.0,100.0
07/14/2021,200.0,100.0,-200.0,100.0
07/15/2021,200.0,100.0,-200.0,100.0
07/16/2021,200.0,100.0,-200.0,100.0
