,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,7203.T,MC.PA,AZN.L,ULVR.L,SAP.DE,1299.HK,NOVOB.CO,CBA.AX,6758.T,SIE.DE,HSBA.L,SAN.PA,TTE.PA,DGE.L,BHP.AX,OR.PA,ALV.DE,GSK.L,6861.T,CSL.AX,BATS.L,RIO.L,BP.L,SU.PA,6098.T,9984.T,RDSA,AI.PA,AIR.PA,ADYEN.AS,RDSB,ENEL.MI,IBE.MC,DAI.DE,BAS.DE,7974.T,388.HK,BNP.PA,WBC.AX,8306.T,DTE.DE,ADS.DE,DPW.DE,4063.T,8035.T,RKT.L,ABBN.SW,KER.PA,NAB.AX,SAN.MC,6594.T,0QMU,BHP.L,ANZ.AX,ABI.BR,ZURN.SW,BAYN.DE,UBSG.SW,6501.T,6367.T,7267.T,REL.L,AAL.L,CS.PA,DG.PA,EL.PA,LONN.SW,4502.T,IFX.DE,6981.T,JPMORGAN US GOVT MMKT FUN,7741.T,INGA.AS,RMS.PA,9433.T,PRU.L,WES.AX,NG.L,9983.T,ISP.MI,DSV.CO,SAF.PA,BN.PA,6954.T,LLOY.L,8316.T,SIKA.SW,GLEN.L,VOD.L,VOW3.DE,RI.PA,STLA.MI,PHIA.AS,INVE B.ST,BBVA.MC,D05.SI,8001.T,VWS.CO,PRX.AS,VOLV B.ST,CRH.L,CPG.L,MQG.AX,8058.T,ATCO A.ST,ITX.MC,8031.T,EXPN.L,GIVN.SW,3382.T,6273.T,NDA SE.ST,BARC.L,VNA.DE,4568.T,MUV2.DE,6902.T,CLNX.MC,6702.T,ALC.SW,8411.T,WOW.AX,SGO.PA,LSEG.L,O39.SI,RIO.AX,ERIC B.ST,DASSAULT SYSTEMES SE,AHT.L,9432.T,DB1.DE,4661.T,8766.T,AMS.MC,4503.T,9022.T,KNEBV.HE,BMW.DE,FERG.L,DSM.AS,U11.SI,4901.T,TCL.AX,4452.T,HOLN.SW,ASSA B.ST,ENI.MI,2413.T,NOKIA.HE,CAP.PA,AD.AS,4543.T,GEBN.SW,4523.T,5108.T,HEIA.AS,ML.PA,FLTR,SAND.ST,6503.T,LR.PA,PGHN.SW,HEXA B.ST,VIV.PA,669.HK,4911.T,FMG.AX,NESTE.HE,DBK.DE,RACE.MI,EOAN.DE,DHER.DE,GMG.AX,ORSTED.CO,GMAB.CO,EVO.ST,9020.T,6752.T,WKL.AS,TSCO.L,TEP.PA,6301.T,CASH OR CASH COLLATERAL,ENGI.PA,4519.T,STM.PA,CSGN.SW,G.MI,UCG.MI,RWE.DE,MRK.DE,SREN.SW,7733.T,KBC.BR,EQNR.OL,4578.T,DSY.PA,7751.T,8801.T,8802.T,BT.A.L,TEF.MC,GLE.PA,16.HK,8267.T,SSE.L,AKZA.AS,DSY,ORA.PA,8591.T,DWNI.DE,KRZ.IR,BA.L,SAMPO.HE,WLN.PA,7309.T,MT.AS,6326.T,n/a,LGEN.L,ATCOB,CFR.SW,APT.AX,CRH.IR,9434.T,NOVO B.CO,8750.T,RDSA.AS,RYDBF,MGMXX,FLTR.L,FLTR.IR,2502.T,RDSA.L,7269.T,SEB A.ST,STMN.SW,DNB.OL,SUM
07/09/2021,2.01,1.61,1.51,1.26,1.25,1.16,0.88,0.87,0.87,0.84,0.77,0.73,0.71,0.71,0.67,0.66,0.63,0.63,0.6,0.59,0.58,0.56,0.53,0.53,0.5,0.49,0.48,0.48,0.48,0.47,0.46,0.46,0.45,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21
07/12/2021,2.02,1.61,1.5,1.27,1.26,1.17,0.87,0.87,0.9,0.83,0.78,0.74,0.72,0.71,0.66,0.66,0.62,0.62,0.62,0.59,0.58,0.55,0.54,0.52,0.49,0.51,0.48,0.49,0.48,0.48,0.46,0.46,0.46,0.43,0.41,0.4,0.4,0.4,0.41,0.38,0.42,0.39,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.36,0.38,0.36,0.36,0.36,0.36,0.35,0.37,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.35,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.25,0.26,0.26,0.27,0.27,0.24,0.26,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.0,0.0,0.19,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38
07/13/2021,2.02,1.61,1.5,1.27,1.26,1.17,0.87,0.87,0.9,0.83,0.78,0.74,0.72,0.71,0.66,0.66,0.62,0.62,0.62,0.59,0.58,0.55,0.54,0.52,0.49,0.51,0.48,0.49,0.48,0.48,0.46,0.46,0.46,0.43,0.41,0.4,0.4,0.4,0.41,0.38,0.42,0.39,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.36,0.38,0.36,0.36,0.36,0.36,0.35,0.37,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.35,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.25,0.26,0.26,0.27,0.27,0.24,0.26,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.0,0.0,0.19,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38
07/14/2021,2.02,1.61,1.5,1.27,1.26,1.17,0.87,0.87,0.9,0.83,0.78,0.74,0.72,0.71,0.66,0.66,0.62,0.62,0.62,0.59,0.58,0.55,0.54,0.52,0.49,0.51,0.48,0.49,0.48,0.48,0.46,0.46,0.46,0.43,0.41,0.4,0.4,0.4,0.41,0.38,0.42,0.39,0.39,0.39,0.38,0.39,0.38,0.36,0.37,0.36,0.38,0.36,0.36,0.36,0.36,0.35,0.37,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.35,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.25,0.26,0.26,0.27,0.27,0.24,0.26,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.18,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.0,0.0,0.19,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38
07/15/2021,2.01,1.64,1.51,1.27,1.26,1.17,0.88,0.87,0.9,0.82,0.78,0.73,0.73,0.71,0.66,0.67,0.61,0.62,0.62,0.59,0.57,0.55,0.55,0.53,0.49,0.5,0.48,0.49,0.49,0.48,0.46,0.46,0.45,0.43,0.4,0.41,0.4,0.4,0.41,0.38,0.43,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.38,0.36,0.36,0.36,0.36,0.35,0.37,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.28,0.29,0.34,0.28,0.28,0.29,0.29,0.28,0.27,0.28,0.26,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.25,0.26,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.2,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.0,0.0,0.2,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45
07/16/2021,2.02,1.65,1.52,1.27,1.27,1.18,0.89,0.87,0.91,0.84,0.78,0.72,0.73,0.71,0.66,0.67,0.61,0.63,0.62,0.59,0.57,0.56,0.55,0.53,0.49,0.5,0.47,0.49,0.48,0.48,0.46,0.47,0.45,0.43,0.4,0.41,0.4,0.4,0.41,0.38,0.43,0.38,0.39,0.39,0.39,0.39,0.37,0.36,0.36,0.36,0.38,0.36,0.36,0.35,0.36,0.35,0.36,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.28,0.29,0.35,0.28,0.27,0.29,0.29,0.27,0.27,0.28,0.26,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.24,0.26,0.24,0.24,0.23,0.25,0.23,0.22,0.23,0.22,0.22,0.22,0.22,0.2,0.22,0.22,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.0,0.2,0.19,0.18,0.18,0.18,0.16,0.18,0.17,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.19,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.14,0.15,0.15,0.14,0.0,0.13,0.2,0.14,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.44
07/19/2021,2.02,1.66,1.52,1.26,1.27,1.17,0.84,0.88,0.9,0.84,0.8,0.73,0.73,0.7,0.66,0.66,0.6,0.63,0.63,0.6,0.58,0.55,0.55,0.52,0.5,0.51,0.46,0.48,0.48,0.48,0.44,0.47,0.45,0.44,0.39,0.41,0.4,0.4,0.41,0.38,0.43,0.39,0.38,0.39,0.39,0.39,0.38,0.36,0.37,0.36,0.38,0.36,0.36,0.36,0.36,0.36,0.37,0.33,0.33,0.33,0.33,0.33,0.31,0.33,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.3,0.28,0.3,0.35,0.28,0.28,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.28,0.26,0.27,0.26,0.26,0.26,0.27,0.27,0.24,0.26,0.24,0.23,0.24,0.25,0.23,0.22,0.23,0.21,0.23,0.22,0.22,0.2,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.22,0.21,0.21,0.19,0.19,0.19,0.19,0.2,0.2,0.21,0.19,0.2,0.2,0.2,0.0,0.19,0.19,0.18,0.18,0.19,0.16,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.18,0.18,0.18,0.16,0.16,0.15,0.15,0.16,0.16,0.14,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.18,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.14,0.0,0.14,0.15,0.14,0.15,0.15,0.0,0.13,0.2,0.14,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.44
07/20/2021,2.04,1.63,1.55,1.28,1.28,1.16,0.85,0.89,0.91,0.84,0.82,0.72,0.72,0.69,0.65,0.67,0.6,0.63,0.62,0.6,0.57,0.55,0.55,0.53,0.5,0.5,0.45,0.48,0.48,0.48,0.44,0.47,0.45,0.44,0.39,0.41,0.4,0.4,0.41,0.38,0.45,0.38,0.38,0.38,0.39,0.38,0.38,0.36,0.36,0.37,0.38,0.36,0.35,0.35,0.36,0.36,0.36,0.32,0.33,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.3,0.3,0.29,0.3,0.3,0.3,0.27,0.29,0.35,0.27,0.27,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.27,0.26,0.25,0.26,0.27,0.26,0.24,0.25,0.25,0.23,0.24,0.25,0.22,0.22,0.23,0.2,0.23,0.22,0.22,0.2,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.22,0.22,0.2,0.22,0.21,0.21,0.19,0.19,0.19,0.19,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.0,0.19,0.19,0.18,0.18,0.18,0.16,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.16,0.19,0.18,0.18,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.15,0.16,0.16,0.17,0.17,0.16,0.17,0.16,0.18,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.0,0.13,0.0,0.14,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3
07/21/2021,2.04,1.63,1.55,1.28,1.28,1.16,0.85,0.89,0.91,0.84,0.82,0.72,0.72,0.69,0.65,0.67,0.6,0.63,0.62,0.6,0.57,0.55,0.55,0.53,0.5,0.5,0.45,0.48,0.48,0.48,0.44,0.47,0.45,0.44,0.39,0.41,0.4,0.4,0.41,0.38,0.45,0.38,0.38,0.38,0.39,0.38,0.38,0.36,0.36,0.37,0.38,0.36,0.35,0.35,0.36,0.36,0.36,0.32,0.33,0.34,0.33,0.33,0.32,0.33,0.31,0.32,0.3,0.3,0.29,0.3,0.3,0.3,0.27,0.29,0.35,0.27,0.27,0.29,0.29,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.27,0.26,0.25,0.26,0.27,0.26,0.24,0.25,0.25,0.23,0.24,0.25,0.22,0.22,0.23,0.2,0.23,0.22,0.22,0.2,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.21,0.22,0.22,0.2,0.22,0.21,0.21,0.19,0.19,0.19,0.19,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.0,0.19,0.19,0.18,0.18,0.18,0.16,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.16,0.17,0.17,0.16,0.17,0.16,0.16,0.19,0.18,0.18,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.15,0.16,0.16,0.17,0.17,0.16,0.17,0.16,0.18,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.0,0.13,0.2,0.14,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3
07/22/2021,2.08,1.64,1.57,1.28,1.29,1.16,0.86,0.9,0.91,0.82,0.83,0.72,0.71,0.69,0.64,0.67,0.59,0.63,0.61,0.61,0.56,0.56,0.54,0.54,0.49,0.49,0.44,0.48,0.49,0.48,0.43,0.47,0.43,0.44,0.38,0.4,0.4,0.39,0.4,0.38,0.46,0.37,0.38,0.38,0.39,0.38,0.38,0.36,0.36,0.37,0.38,0.36,0.35,0.34,0.36,0.35,0.36,0.32,0.32,0.33,0.33,0.32,0.32,0.34,0.31,0.32,0.3,0.3,0.28,0.3,0.31,0.31,0.27,0.29,0.36,0.28,0.27,0.29,0.29,0.27,0.28,0.28,0.26,0.25,0.27,0.26,0.27,0.25,0.24,0.26,0.27,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.22,0.22,0.24,0.21,0.23,0.21,0.21,0.2,0.22,0.22,0.24,0.21,0.21,0.22,0.22,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.19,0.2,0.19,0.2,0.21,0.2,0.2,0.19,0.2,0.2,0.18,0.0,0.19,0.19,0.18,0.18,0.19,0.16,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.16,0.16,0.17,0.16,0.18,0.16,0.16,0.18,0.18,0.18,0.16,0.17,0.14,0.15,0.16,0.16,0.14,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.16,0.18,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.14,0.2,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.24
