,WFC,MSFT,BAC,JNJ,INTC,CSCO,PFE,C,VZ,GS,PG,DIS,GM,MRK,ORCL,F,HD,PEP,JPM,KO,GILD,COF,MMM,AMGN,PNC,ABBV,TGT,T,UNH,MS,LIN,QCOM,TXN,AXP,MCD,ANTM,AMAT,PRU,V,LOW,BK,USB,MDLZ,ACN,EXC,DD,JCI,UPS,ADM,ABT,ALL,SBUX,MCK,NKE,LYB,TRV,HPQ,FDX,EMR,M,ITW,AFL,SYF,IP,WBA,KSS,AMP,KR,MA,CB,BMY,MU,TJX,MET,AIG,EBAY,FCX,FITB,CL,LLY,LUMN,WM,CCL,CMCSA,WDC,BBY,HIG,AMZN,LRCX,CAH,KHC,GPS,GIS,APD,BG,BIIB,CTSH,NUE,LNC,ED,ADP,RF,STX,BAX,HST,KEY,688012.SS,WELL,YUM,MAN,PYPL,VTR,SPGI,PFG,ECL,KMB,BBBY,NLSN,EMN,CE,OMC,GLW,ES,VFC,GT,TAP,NLOK,DG,LB,CMA,SPG,NTRS,EL,GWW,MMC,SHW,HUM,JBLU,JWN,PVH,CBRE,ROK,ADI,XRX,AVT,CCEP,NEM,SWK,MAR,DHR,A,AAL,HLT,EIX,CF,MCO,CI,EQIX,JNPR,TMO,LBTYK,TFC,VOYA,K,NWSA,VTRS,HBAN,PEAK,SJM,BWA,ROST,DOW,IRM,FL,RL,DGX,HSY,FLEX,AWK,ORLY,NVDA,EQR,NWL,MXIM,DVA,RSG,GPC,ADS,WU,ALK,FIS,SYY,JLL,UAL,WHR,DOX,ADBE,BDX,IQV,PH,FIXED INC CLEARING CORP REPO (FICC),AAPL,WY,INTU,HPE,BLK,PLD,CMI,CLX,ETN,BKNG,XLNX,DXC,n/a,BBWI WI,DOV,LH,BIDI11.SA,LBEUR,INGR,OGN,STT,EA,NTAP,SYK,PPG,MOS,URI,ABC,MSI,CDW,DELL,EW,OC,CTXS,CAG,AAP,DLR,ON,SUM
07/09/2021,4.9,4.12,3.14,2.78,2.49,2.31,1.97,1.9,1.89,1.81,1.8,1.78,1.7,1.53,1.47,1.45,1.2,1.19,1.18,1.16,1.09,1.09,1.08,1.07,1.02,1.01,0.99,0.99,0.97,0.93,0.89,0.86,0.85,0.85,0.79,0.78,0.74,0.74,0.73,0.72,0.69,0.69,0.63,0.63,0.62,0.59,0.57,0.56,0.56,0.56,0.54,0.53,0.52,0.5,0.49,0.49,0.48,0.44,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.86
07/12/2021,4.9,4.12,3.14,2.78,2.49,2.31,1.97,1.9,1.89,1.81,1.8,1.78,1.7,1.53,1.47,1.45,1.2,1.19,1.18,1.16,1.09,1.09,1.08,1.07,1.02,1.01,0.99,0.99,0.97,0.93,0.89,0.86,0.85,0.85,0.79,0.78,0.74,0.74,0.73,0.72,0.69,0.69,0.63,0.63,0.62,0.59,0.57,0.56,0.56,0.56,0.54,0.53,0.52,0.5,0.49,0.49,0.48,0.44,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.0,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.86
07/13/2021,4.9,4.12,3.14,2.78,2.49,2.31,1.97,1.9,1.89,1.81,1.8,1.78,1.7,1.53,1.47,1.45,1.2,1.19,1.18,1.16,1.09,1.09,1.08,1.07,1.02,1.01,0.99,0.99,0.97,0.93,0.89,0.86,0.85,0.85,0.79,0.78,0.74,0.74,0.73,0.72,0.69,0.69,0.63,0.63,0.62,0.59,0.57,0.56,0.56,0.56,0.54,0.53,0.52,0.5,0.49,0.49,0.48,0.44,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.0,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.86
07/14/2021,4.9,4.12,3.14,2.78,2.49,2.31,1.97,1.9,1.89,1.81,1.8,1.78,1.7,1.53,1.47,1.45,1.2,1.19,1.18,1.16,1.09,1.09,1.08,1.07,1.02,1.01,0.99,0.99,0.97,0.93,0.89,0.86,0.85,0.85,0.79,0.78,0.74,0.74,0.73,0.72,0.69,0.69,0.63,0.63,0.62,0.59,0.57,0.56,0.56,0.56,0.54,0.53,0.52,0.5,0.49,0.49,0.48,0.44,0.42,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.22,0.0,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.86
07/15/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
07/16/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
07/19/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
07/20/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
07/21/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
07/22/2021,4.33,4.81,3.02,2.93,2.9,2.53,1.56,1.56,2.13,1.56,1.87,1.17,1.6,1.76,1.46,1.43,1.21,1.21,0.84,1.11,1.22,0.76,1.02,1.11,0.89,1.03,0.96,1.88,1.37,0.84,0.84,0.91,0.82,0.79,0.57,0.83,0.71,0.67,0.78,0.7,0.66,0.62,0.48,0.65,0.47,0.36,0.52,0.49,0.5,0.6,0.48,0.56,0.52,0.42,0.33,0.34,0.47,0.24,0.31,0.34,0.37,0.35,0.3,0.33,0.43,0.31,0.33,0.26,0.42,0.26,0.26,0.56,0.24,0.29,0.0,0.44,0.18,0.21,0.34,0.55,0.28,0.31,0.29,0.56,0.31,0.29,0.26,0.32,0.28,0.31,0.25,0.14,0.27,0.26,0.17,0.4,0.18,0.16,0.21,0.18,0.27,0.17,0.23,0.24,0.23,0.15,0.0,0.26,0.16,0.19,0.33,0.2,0.24,0.17,0.21,0.22,0.13,0.16,0.17,0.12,0.16,0.14,0.14,0.18,0.13,0.16,0.17,0.12,0.09,0.11,0.17,0.12,0.16,0.15,0.11,0.14,0.22,0.1,0.11,0.12,0.14,0.16,0.16,0.13,0.12,0.12,0.08,0.13,0.14,0.0,0.14,0.19,0.13,0.1,0.11,0.14,0.25,0.15,0.15,0.0,0.12,0.11,0.07,0.13,0.08,0.0,0.1,0.11,0.11,0.11,0.08,0.19,0.1,0.0,0.07,0.11,0.1,0.09,0.1,0.1,0.26,0.13,0.08,0.1,0.1,0.09,0.0,0.1,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.08,0.2,0.16,0.07,0.0,0.33,1.35,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36
