,APTV,ETN,JCI,SU.PA,ABBN.SW,ENPH,006400.KS,SEDG,PRY.MI,TRN.MI,PWR,REE.MC,ELI.BR,NVDA,TSLA,NVT,CSCO,HON,ORCL,AEIS,ITRI,IBM,SIE.DE,GE,ALFEN.AS,VNE,ENEL.MI,LAND.SW,ADI,EMR,6501.T,NXPI,MYRG,NG.L,S92.DE,6508.T,6752.T,6641.T,ENGI.PA,GNRC,BYD Company Limited (Class H),EOAN.DE,FTS.TO,SSE.L,TRMB,US Dollar,AMSC,6502.T,WLDN,6701.T,AES,HUBB,6644.T,2395.TW,3393.HK,5333.T,6617.T,VMI,MTZ,ENS,WCC,STM,SPXC,SJ.TO,ACA,6674.T,ESE,BDC,AZZ,DGII,PSI AG,SUM
07/09/2021,8.08,7.95,7.92,7.82,7.78,5.09,4.61,4.11,3.81,3.78,3.56,3.33,2.92,2.46,2.03,1.96,1.93,1.63,1.57,1.51,1.38,1.33,1.26,1.05,0.85,0.75,0.68,0.66,0.62,0.62,0.61,0.54,0.47,0.46,0.46,0.34,0.31,0.28,0.27,0.26,0.25,0.25,0.22,0.22,0.21,0.21,0.18,0.18,0.16,0.15,0.14,0.1,0.1,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.99
07/12/2021,7.92,8.1,8.07,7.88,8.07,4.92,4.43,3.97,3.82,3.82,3.61,3.35,2.87,2.36,2.01,1.98,1.95,1.66,1.65,1.46,1.36,1.35,1.26,1.06,0.85,0.74,0.67,0.66,0.61,0.62,0.61,0.54,0.48,0.46,0.45,0.33,0.31,0.27,0.27,0.26,0.24,0.25,0.22,0.22,0.21,0.21,0.16,0.18,0.16,0.15,0.14,0.1,0.1,0.06,0.06,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.97
07/13/2021,7.92,8.1,8.07,7.88,8.07,4.92,4.43,3.97,3.82,3.82,3.61,3.35,2.87,2.36,2.01,1.98,1.95,1.66,1.65,1.46,1.36,1.35,1.26,1.06,0.85,0.74,0.67,0.66,0.61,0.62,0.61,0.54,0.48,0.46,0.45,0.33,0.31,0.27,0.27,0.26,0.24,0.25,0.22,0.22,0.21,0.21,0.16,0.18,0.16,0.15,0.14,0.1,0.1,0.06,0.06,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.97
08/03/2021,8.27,8.12,8.01,7.91,8.01,4.94,4.34,3.75,3.68,3.89,3.56,3.46,3.08,2.24,2.05,1.96,1.95,1.69,1.59,1.38,1.34,1.31,1.21,1.02,0.88,1.04,0.64,0.68,0.6,0.63,0.58,0.54,0.49,0.44,0.4,0.35,0.3,0.25,0.26,0.24,0.26,0.25,0.22,0.2,0.21,0.25,0.14,0.17,0.17,0.14,0.13,0.1,0.1,0.06,0.06,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.99
08/04/2021,8.27,8.12,8.01,7.91,8.01,4.94,4.34,3.75,3.68,3.89,3.56,3.46,3.08,2.24,2.05,1.96,1.95,1.69,1.59,1.38,1.34,1.31,1.21,1.02,0.88,1.04,0.64,0.68,0.6,0.63,0.58,0.54,0.49,0.44,0.4,0.35,0.3,0.25,0.26,0.24,0.26,0.25,0.22,0.2,0.21,0.25,0.14,0.17,0.17,0.14,0.13,0.1,0.1,0.06,0.06,0.04,0.05,0.05,0.05,0.04,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.0,99.99
