,BHVN,ITCI,SAGE,JAZZ,MYGN,ATAI,GHRS,SRPT,MMED.NE,NBIX,CMPS,DNLI,CERE,LUN.CO,BIIB,CRSP,UCB.BR,JNJ,VTGN,RLMD,NRXP,TNXP,SEEL,ZYNE,AIKI,FGXXX,ALKS,ACAD,n/a,SUM
02/08/2022,8.1,7.46,7.3,7.01,6.35,6.09,4.44,4.28,4.21,4.15,4.12,4.09,4.07,3.91,3.9,3.78,3.74,2.55,2.53,2.43,1.96,1.08,1.02,0.9,0.37,0.15,0.0,0.0,0.0,99.99
02/09/2022,7.97,7.68,7.4,6.93,6.37,6.06,4.46,4.41,4.36,4.15,4.07,4.01,4.06,3.79,3.85,3.79,3.76,2.48,2.59,2.41,1.88,1.08,1.02,0.91,0.37,0.15,0.0,0.0,0.0,100.01
02/10/2022,7.97,7.68,7.4,6.93,6.37,6.06,4.46,4.41,4.36,4.15,4.07,4.01,4.06,3.79,3.85,3.79,3.76,2.48,2.59,2.41,1.88,1.08,1.02,0.91,0.37,0.15,0.0,0.0,0.0,100.01
02/11/2022,7.82,7.93,7.65,6.76,6.49,5.86,4.53,4.47,4.56,4.02,3.96,4.21,4.21,3.69,3.8,3.68,3.65,2.44,2.65,2.52,1.66,1.06,1.03,0.92,0.37,0.07,0.0,0.0,0.0,100.01
02/14/2022,8.0,7.81,7.32,6.75,6.35,6.51,4.48,4.55,5.07,3.9,4.03,4.12,4.3,3.36,3.66,3.63,3.55,2.35,2.55,2.53,1.66,1.04,1.07,0.93,0.34,0.14,0.0,0.0,0.0,100.0
02/15/2022,8.0,7.81,7.32,6.75,6.35,6.51,4.48,4.55,5.07,3.9,4.03,4.12,4.3,3.36,3.66,3.63,3.55,2.35,2.55,2.53,1.66,1.04,1.07,0.93,0.34,0.14,0.0,0.0,0.0,100.0
02/16/2022,7.95,8.11,7.35,6.77,6.42,6.35,4.49,4.69,4.72,4.24,3.99,4.01,4.51,3.32,3.61,3.53,3.51,2.35,2.52,2.55,1.6,1.01,1.05,0.88,0.34,0.14,0.0,0.0,0.0,100.01
02/17/2022,7.95,8.11,7.35,6.77,6.42,6.35,4.49,4.69,4.72,4.24,3.99,4.01,4.51,3.32,3.61,3.53,3.51,2.35,2.52,2.55,1.6,1.01,1.05,0.88,0.34,0.14,0.0,0.0,0.0,100.01
02/18/2022,7.95,8.11,7.35,6.77,6.42,6.35,4.49,4.69,4.72,4.24,3.99,4.01,4.51,3.32,3.61,3.53,3.51,2.35,2.52,2.55,1.6,1.01,1.05,0.88,0.34,0.14,0.0,0.0,0.0,100.01
02/21/2022,8.44,8.93,5.82,6.83,6.42,6.65,4.69,4.55,4.95,4.26,3.76,3.91,3.85,3.51,3.6,3.54,3.6,2.37,2.51,2.62,1.86,0.95,1.04,0.86,0.34,0.14,0.0,0.0,0.0,100.0
03/04/2022,7.21,8.75,6.4,6.76,6.17,6.78,4.15,4.62,4.75,4.59,3.96,3.86,4.02,3.7,3.66,3.76,4.07,2.38,2.42,2.92,1.92,0.91,1.0,0.77,0.32,0.14,0.0,0.0,0.0,99.99
03/08/2022,7.14,8.9,6.29,7.45,5.9,6.6,4.13,4.74,4.5,4.64,3.93,3.78,4.54,3.75,3.57,3.56,4.05,2.38,2.34,2.94,1.83,0.93,0.98,0.69,0.32,0.14,0.0,0.0,0.0,100.02
03/15/2022,6.27,7.44,6.56,7.84,7.43,5.94,4.2,4.3,3.43,4.44,4.0,3.69,0.0,4.19,3.87,0.0,4.46,2.65,2.03,4.87,1.39,0.86,0.79,0.65,0.29,0.78,3.89,3.74,0.0,100.0
03/31/2022,5.9,7.9,6.74,7.83,6.85,5.4,4.39,3.89,3.71,4.48,3.85,3.83,0.0,3.85,4.04,0.0,4.94,2.73,1.82,5.42,1.26,0.83,0.69,0.65,0.31,0.76,4.21,3.67,0.04,99.99
04/05/2022,5.95,7.86,6.62,7.71,6.73,5.53,4.45,4.0,3.55,4.49,4.02,3.73,0.0,4.03,4.02,0.0,4.98,2.72,1.94,5.68,1.09,0.87,0.67,0.64,0.31,0.8,4.03,3.61,0.0,100.03
04/18/2022,5.64,8.1,7.01,7.83,6.36,5.5,4.58,4.15,3.15,4.62,4.0,3.51,0.0,4.14,3.98,0.0,5.06,2.7,2.64,5.34,1.0,0.7,0.65,0.54,0.25,0.72,4.29,3.55,0.0,100.01
04/19/2022,5.64,8.1,7.01,7.83,6.36,5.5,4.58,4.15,3.15,4.62,4.0,3.51,0.0,4.14,3.98,0.0,5.06,2.7,2.64,5.34,1.0,0.7,0.65,0.54,0.25,0.72,4.29,3.55,0.0,100.01
