,NESN.SW,ROG.SW,NOVN.SW,RITN.,ZURN.SW,ABBN.SW,LONN.SW,UBSG.SW,SIKA.SW,GIVN.SW,PGHN.SW,ALC.SW,HOLN.SW,GEBN.SW,SREN.SW,CSGN.SW,LISP.SW,SOON.SW,LOGN.SW,SGSN.SW,—,KNIN.SW,STMN.SW,SLHN.SW,SCMN.SW,BAER.SW,SCHP.SW,RO.SW,ADEN.SW,TEMN.SW,UHR.SW,SIGN.SW,VACN.SW,BARN.SW,SPSN.SW,BALN.SW,EMSN.SW,VIFN.SW,FI-N.SW,TECN.SW,PSPN.SW,SCHN.SW,AMS.SW,CLN.SW,HELN.SW,FHZN.SW,SWGNF,DKSH.SW,SUN.SW,BCVN.SW,OERL.SW,BKW.SW,S1U1,n/a,CFR.SW,SUM
07/09/2021,19.78,15.87,11.58,4.25,4.0,3.91,3.49,3.23,2.84,2.53,1.94,1.81,1.66,1.48,1.45,1.37,1.19,1.13,1.03,1.02,0.98,0.96,0.92,0.87,0.82,0.79,0.68,0.66,0.58,0.55,0.54,0.5,0.49,0.48,0.43,0.39,0.39,0.38,0.34,0.34,0.31,0.3,0.29,0.25,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.01,0.0,0.0,100.02
07/12/2021,19.9,15.93,11.55,4.2,3.96,3.97,3.52,3.12,2.86,2.54,1.92,1.8,1.64,1.5,1.46,1.33,1.2,1.14,1.04,1.03,0.98,0.95,0.94,0.86,0.82,0.75,0.69,0.66,0.57,0.54,0.53,0.5,0.5,0.48,0.43,0.39,0.4,0.38,0.34,0.34,0.32,0.31,0.27,0.25,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.01,0.0,0.0,100.03000000000002
07/13/2021,19.9,15.93,11.55,4.2,3.96,3.97,3.52,3.12,2.86,2.54,1.92,1.8,1.64,1.5,1.46,1.33,1.2,1.14,1.04,1.03,0.98,0.95,0.94,0.86,0.82,0.75,0.69,0.66,0.57,0.54,0.53,0.5,0.5,0.48,0.43,0.39,0.4,0.38,0.34,0.34,0.32,0.31,0.27,0.25,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.01,0.0,0.0,100.03000000000002
07/14/2021,19.77,15.83,11.61,4.24,4.0,4.03,3.49,3.16,2.87,2.54,1.92,1.79,1.65,1.51,1.47,1.33,1.21,1.06,1.03,1.03,0.97,0.95,0.94,0.87,0.82,0.75,0.69,0.65,0.58,0.54,0.54,0.5,0.5,0.48,0.43,0.39,0.4,0.39,0.35,0.34,0.32,0.31,0.27,0.26,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.01,0.0,0.0,100.0
07/15/2021,19.71,15.84,11.59,4.27,3.99,4.0,3.49,3.16,2.87,2.54,1.95,1.79,1.64,1.51,1.47,1.33,1.21,1.08,1.02,1.03,0.96,0.96,0.95,0.87,0.83,0.76,0.69,0.66,0.58,0.54,0.55,0.51,0.5,0.48,0.43,0.39,0.41,0.39,0.34,0.34,0.32,0.31,0.26,0.26,0.21,0.17,0.16,0.15,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.0
07/16/2021,19.74,15.85,11.55,4.26,3.99,4.0,3.48,3.16,2.88,2.55,1.95,1.78,1.64,1.53,1.48,1.31,1.22,1.08,1.0,1.03,0.96,0.96,0.96,0.87,0.83,0.76,0.7,0.66,0.58,0.55,0.55,0.51,0.51,0.48,0.44,0.39,0.41,0.38,0.35,0.34,0.32,0.31,0.26,0.26,0.21,0.17,0.16,0.15,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.04
07/19/2021,19.7,15.92,11.46,4.3,3.98,4.01,3.42,3.19,2.91,2.56,1.94,1.75,1.64,1.53,1.47,1.31,1.22,1.11,0.99,1.03,0.97,0.96,0.98,0.86,0.83,0.76,0.7,0.66,0.57,0.54,0.56,0.51,0.52,0.48,0.43,0.39,0.41,0.38,0.35,0.34,0.31,0.31,0.25,0.26,0.21,0.17,0.17,0.16,0.14,0.14,0.12,0.11,0.01,0.0,0.0,100.0
07/22/2021,19.99,16.14,11.45,4.14,3.92,3.91,3.47,3.11,2.89,2.63,1.96,1.76,1.58,1.54,1.41,1.29,1.24,1.11,0.98,1.02,0.98,0.94,0.99,0.84,0.84,0.74,0.71,0.67,0.56,0.54,0.52,0.51,0.52,0.49,0.43,0.38,0.42,0.38,0.34,0.34,0.32,0.31,0.25,0.25,0.2,0.17,0.15,0.16,0.13,0.14,0.11,0.11,0.01,0.0,0.0,99.99
07/23/2021,19.99,16.14,11.45,4.14,3.92,3.91,3.47,3.11,2.89,2.63,1.96,1.76,1.58,1.54,1.41,1.29,1.24,1.11,0.98,1.02,0.98,0.94,0.99,0.84,0.84,0.74,0.71,0.67,0.56,0.54,0.52,0.51,0.52,0.49,0.43,0.38,0.42,0.38,0.34,0.34,0.32,0.31,0.25,0.25,0.2,0.17,0.15,0.16,0.13,0.14,0.11,0.11,0.01,0.0,0.0,99.99
07/26/2021,19.58,15.37,11.45,4.33,4.0,4.07,3.54,3.33,2.92,2.6,2.05,1.79,1.63,1.56,1.45,1.33,1.24,1.12,0.99,1.03,0.97,0.91,1.01,0.88,0.84,0.77,0.72,0.65,0.57,0.53,0.53,0.51,0.53,0.49,0.43,0.4,0.41,0.39,0.35,0.34,0.31,0.32,0.26,0.26,0.21,0.17,0.16,0.17,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.0
