,AMZN,FB,GOOG,AAPL,MSFT,V,PYPL,NFLX,BABA,MA,NOW,INTU,GPN,UNH,CRM,SE,ISRG,SYK,CI,NVDA,GS,SNAP,GOOGL,FISV,BKNG,DHR,MTCH,DG,State Street Instl US Govt MMkt Premier,NKE,SNPS,TMO,CMG,SPGI,AMD,HCA,VRTX,ROST,LULU,MRVL,FIS,SPOT,ANTM,CSGP,SCHW,ZTS,TXN,SHOP,ROP,SPLK,CNC,CVNA,ZM,ICE,WDAY,WIX,LIN,ETSY,DIS,HUM,GE,YUM,MXIM,CTAS,VEEV,INCY,NSC,PINS,FTV,TEL,CB,TEAM,COUP,SBUX,DOCU,AMAT,PDD,XRAY,UNP,AVY,FTNT,JD,TWLO,PAYC,TMUS,CRWD,TJX,MCHP,APTV,LLY,AZN,MPWR,ALGN,ABT,ROKU,CPNG,PPD,EFX,MSCI,SHW,VFC,MS,QCOM,ADP,ASML,ABBV,MMC,KSU,SQ,DASH,HON,WLTW,SNOW,GNRC,HLT,IACEUR,MCD,EXAS,LYV,CHTR,MAR,DLTR,ABNB,TSM,EL,MDB,BDX,PH,A,UAL,STT,CLVT,CPRT,CHG.BK,GVMXX,IAC/InterActiveCorp Ordinary Shares - New,SDA.AX,002810.KS,IAC,DDOG,TRU,VMEO,RBLX,EXPE,W,ZEN,Cash,603121.SS,n/a,AFRM,BILL,TFX,TOST,SUM
07/09/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.88,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.88,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,10.55,6.54,6.07,4.44,4.43,3.25,2.77,2.7,2.68,2.53,2.5,2.45,2.26,2.06,1.85,1.76,1.36,1.34,1.34,1.3,1.28,1.28,1.27,1.23,1.03,1.02,0.95,0.92,0.0,0.84,0.83,0.82,0.81,0.76,0.76,0.74,0.7,0.69,0.67,0.67,0.65,0.63,0.59,0.53,0.53,0.51,0.5,0.5,0.48,0.47,0.46,0.44,0.41,0.39,0.38,0.36,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.21,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.0,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.0,0.88,0.05,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,0.0,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,0.0,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,100.01
