,Spy 12/17/2021 5.58 C,Spy 12/17/2021 367.24 P,U.S. Bank Money Market Deposit Account,Spy 12/17/2021 220.34 P,Spy 12/17/2021 293.79 P,Spy 12/17/2021 435.25 C,SUM
07/09/2021,102.34,1.52,0.42,0.15,-0.89,-3.53,100.01
07/12/2021,103.13,1.43,0.36,0.15,-0.86,-4.21,100.0
07/13/2021,103.13,1.43,0.36,0.15,-0.86,-4.21,100.0
07/14/2021,102.59,1.66,0.36,0.17,-1.01,-3.77,100.0
07/15/2021,103.47,1.36,0.36,0.14,-0.82,-4.51,100.0
07/16/2021,103.47,1.36,0.36,0.14,-0.82,-4.51,100.0
07/19/2021,103.39,1.42,0.36,0.14,-0.84,-4.46,100.01
07/20/2021,103.08,1.48,0.36,0.13,-0.87,-4.19,99.99
07/21/2021,102.64,1.65,0.36,0.15,-0.97,-3.83,100.0
07/22/2021,102.64,1.65,0.36,0.15,-0.97,-3.83,100.0
07/23/2021,102.64,1.65,0.36,0.15,-0.97,-3.83,100.0
07/26/2021,103.11,1.45,0.36,0.15,-0.87,-4.2,100.0
07/27/2021,103.11,1.45,0.36,0.15,-0.87,-4.2,100.0
07/28/2021,103.89,1.31,0.36,0.14,-0.81,-4.89,100.0
