,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,V,PYPL,HD,MA,ADBE,NFLX,ABBV,NKE,AVGO,PEP,COST,QCOM,LLY,ACN,UPS,KO,LOW,SBUX,ORCL,INTU,AMAT,AMT,AMGN,AMD,ISRG,NOW,TXN,ABT,CAT,DE,SQ,UNP,BKNG,CHTR,LRCX,ZTS,CCI,ZM,TJX,LMT,MRNA,ADP,EL,SPGI,AXP,UBER,ILMN,EW,BX,SHW,ADSK,ITW,MCO,HCA,TGT,EQIX,MO,KLAC,ALGN,EBAY,ECL,ROST,WDAY,SYK,MAR,SYY,CL,PSA,TEAM,CRM,HON,FDX,AON,MNST,MCD,SNOW,UNH,DG,KMB,XTSLA,VRTX,TMO,TWLO,NXPI,LVS,MMM,DIS,FCX,DELL,MU,MMC,ADI,DHR,WM,GS,REGN,EOG,NOC,SCCO,VMW,FISV,DOW,JPFFT,USD,ESU1,MARGIN_AUD,ESZ1,IXTZ1,NQZ1,SUM
07/09/2021,12.82,12.03,9.17,4.85,3.76,3.64,2.94,2.85,2.33,1.98,1.97,1.89,1.64,1.34,1.18,1.14,1.09,0.98,0.95,0.92,0.91,0.9,0.88,0.85,0.8,0.78,0.77,0.73,0.72,0.72,0.66,0.66,0.64,0.63,0.63,0.59,0.58,0.57,0.55,0.54,0.52,0.52,0.51,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.42,0.41,0.4,0.4,0.4,0.38,0.38,0.38,0.37,0.36,0.33,0.32,0.32,0.3,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.15,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,12.96,12.05,9.33,4.77,3.73,3.64,2.92,2.74,2.31,2.0,1.97,1.87,1.67,1.32,1.18,1.15,1.08,0.99,0.97,0.9,0.91,0.91,0.88,0.85,0.8,0.79,0.8,0.74,0.7,0.72,0.67,0.63,0.65,0.64,0.62,0.6,0.58,0.56,0.53,0.53,0.51,0.53,0.5,0.51,0.5,0.47,0.46,0.47,0.45,0.46,0.41,0.41,0.4,0.38,0.4,0.39,0.39,0.38,0.37,0.36,0.33,0.32,0.32,0.3,0.28,0.27,0.28,0.27,0.27,0.24,0.25,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.04
07/13/2021,12.96,12.05,9.33,4.77,3.73,3.64,2.92,2.74,2.31,2.0,1.97,1.87,1.67,1.32,1.18,1.15,1.08,0.99,0.97,0.9,0.91,0.91,0.88,0.85,0.8,0.79,0.8,0.74,0.7,0.72,0.67,0.63,0.65,0.64,0.62,0.6,0.58,0.56,0.53,0.53,0.51,0.53,0.5,0.51,0.5,0.47,0.46,0.47,0.45,0.46,0.41,0.41,0.4,0.38,0.4,0.39,0.39,0.38,0.37,0.36,0.33,0.32,0.32,0.3,0.28,0.27,0.28,0.27,0.27,0.24,0.25,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.04
07/14/2021,13.03,11.98,9.23,4.8,3.72,3.62,2.91,2.74,2.31,2.02,1.98,1.87,1.65,1.32,1.18,1.14,1.1,0.98,0.97,0.91,0.9,0.91,0.89,0.85,0.8,0.79,0.81,0.74,0.71,0.72,0.66,0.63,0.64,0.64,0.62,0.59,0.59,0.56,0.54,0.53,0.51,0.52,0.5,0.51,0.5,0.47,0.47,0.47,0.45,0.46,0.42,0.4,0.41,0.39,0.4,0.38,0.39,0.39,0.37,0.37,0.33,0.33,0.32,0.3,0.28,0.27,0.28,0.27,0.27,0.25,0.25,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,13.04,12.07,9.1,4.8,3.76,3.65,2.96,2.76,2.34,2.02,1.94,1.91,1.65,1.33,1.19,1.14,1.1,1.0,0.96,0.91,0.9,0.91,0.87,0.86,0.79,0.8,0.81,0.74,0.71,0.72,0.66,0.62,0.64,0.63,0.62,0.59,0.58,0.56,0.54,0.52,0.51,0.5,0.51,0.51,0.49,0.46,0.46,0.47,0.45,0.45,0.42,0.4,0.41,0.38,0.4,0.38,0.39,0.39,0.37,0.37,0.33,0.33,0.32,0.3,0.28,0.27,0.29,0.27,0.27,0.24,0.24,0.22,0.21,0.2,0.21,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.07,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,13.31,12.1,9.0,4.71,3.76,3.66,2.88,2.59,2.4,1.99,1.98,1.95,1.65,1.34,1.18,1.14,1.09,1.02,0.97,0.91,0.89,0.92,0.88,0.88,0.8,0.8,0.8,0.73,0.7,0.72,0.67,0.6,0.64,0.63,0.62,0.58,0.57,0.56,0.52,0.53,0.51,0.5,0.5,0.51,0.5,0.43,0.47,0.47,0.5,0.46,0.43,0.4,0.41,0.37,0.39,0.38,0.4,0.39,0.37,0.37,0.33,0.33,0.32,0.3,0.28,0.27,0.28,0.27,0.27,0.25,0.24,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.2,0.18,0.17,0.18,0.18,0.16,0.16,0.13,0.13,0.13,0.12,0.1,0.09,0.09,0.09,0.1,0.1,0.08,0.07,0.07,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/20/2021,13.31,12.1,9.0,4.71,3.76,3.66,2.88,2.59,2.4,1.99,1.98,1.95,1.65,1.34,1.18,1.14,1.09,1.02,0.97,0.91,0.89,0.92,0.88,0.88,0.8,0.8,0.8,0.73,0.7,0.72,0.67,0.6,0.64,0.63,0.62,0.58,0.57,0.56,0.52,0.53,0.51,0.5,0.5,0.51,0.5,0.43,0.47,0.47,0.5,0.46,0.43,0.4,0.41,0.37,0.39,0.38,0.4,0.39,0.37,0.37,0.33,0.33,0.32,0.3,0.28,0.27,0.28,0.27,0.27,0.25,0.24,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.2,0.18,0.17,0.18,0.18,0.16,0.16,0.13,0.13,0.13,0.12,0.1,0.09,0.09,0.09,0.1,0.1,0.08,0.07,0.07,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/22/2021,13.02,12.15,8.97,4.69,3.76,3.67,2.92,2.62,2.37,2.02,2.0,1.86,1.67,1.34,1.19,1.14,1.08,1.04,1.0,0.91,0.91,0.92,0.89,0.89,0.81,0.79,0.82,0.74,0.69,0.74,0.68,0.61,0.64,0.64,0.62,0.6,0.56,0.55,0.53,0.52,0.49,0.52,0.49,0.52,0.51,0.44,0.46,0.47,0.62,0.46,0.42,0.41,0.39,0.37,0.4,0.37,0.4,0.4,0.37,0.37,0.33,0.33,0.33,0.31,0.28,0.26,0.27,0.27,0.27,0.23,0.24,0.22,0.21,0.2,0.22,0.21,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.16,0.15,0.13,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.1,0.09,0.08,0.07,0.07,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/23/2021,13.17,12.08,8.9,4.69,3.75,3.68,2.94,2.56,2.36,2.01,2.01,1.88,1.67,1.32,1.18,1.14,1.07,1.03,0.99,0.9,0.9,0.92,0.88,0.88,0.8,0.79,0.83,0.75,0.69,0.73,0.67,0.61,0.65,0.64,0.62,0.59,0.56,0.56,0.55,0.52,0.5,0.51,0.5,0.52,0.5,0.44,0.46,0.47,0.6,0.46,0.42,0.41,0.4,0.37,0.41,0.38,0.41,0.39,0.37,0.37,0.33,0.37,0.33,0.3,0.28,0.27,0.28,0.27,0.27,0.24,0.24,0.22,0.21,0.2,0.21,0.21,0.2,0.24,0.2,0.18,0.17,0.18,0.18,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.1,0.09,0.09,0.1,0.09,0.08,0.07,0.07,0.05,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/27/2021,13.04,12.2,8.94,4.76,3.76,3.68,2.85,2.65,2.34,2.02,1.99,1.89,1.68,1.25,1.18,1.15,1.08,1.01,0.98,0.91,0.9,0.91,0.87,0.88,0.8,0.82,0.83,0.75,0.71,0.72,0.66,0.62,0.65,0.64,0.6,0.58,0.56,0.56,0.58,0.52,0.51,0.51,0.51,0.51,0.47,0.44,0.46,0.47,0.62,0.45,0.42,0.4,0.4,0.37,0.4,0.37,0.42,0.39,0.38,0.36,0.33,0.36,0.33,0.29,0.28,0.27,0.28,0.28,0.27,0.24,0.25,0.22,0.21,0.2,0.2,0.2,0.2,0.25,0.2,0.18,0.17,0.18,0.18,0.17,0.15,0.13,0.13,0.08,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,99.98
