,AMZN,AAPL,GOOG,GOOGL,MSFT,FB,TSLA,TROW,COF,BRK.B,UPS,GNRC,TPL,PGR,WFC,FCX,AMAT,EVR,TGT,ADBE,SBUX,JNJ,LNG,ALGN,TXN,MSCI,SPGI,PG,XOM,DE,SQ,LPX,WMT,MA,UNH,GE,V,PYPL,ACN,NKE,MCO,ABT,POOL,PXD,PSA,BKNG,CI,SAM,CSCO,COST,EXPD,MRNA,IDXX,HD,F,AA,PINS,RE,Y,FDX,LOW,LRCX,DFS,JPM,TMO,PWR,ROKU,TJX,ANTM,SIVB,CVX,CMCSA,INTU,DIS,WST,PFE,EPAM,ALLY,DG,BLK,ISRG,BAC,SYF,OLN,ACGL,MRK,ADP,LMT,ALL,BX,ORCL,PM,TT,NUE,R,NWSA,GS,TPR,DAR,MS,PAYX,MNST,MTD,VRTX,MU,MMC,MKL,SLM,DHI,JHG,AGCO,CINF,DREYFUS GOVT CASH MGMT,n/a,SUM
07/09/2021,9.93,8.83,7.39,7.02,5.86,4.84,4.66,2.43,2.42,2.17,1.48,1.3,1.25,1.15,1.13,1.09,1.03,1.01,0.94,0.89,0.86,0.83,0.82,0.78,0.76,0.76,0.75,0.74,0.73,0.71,0.7,0.64,0.63,0.63,0.62,0.55,0.55,0.54,0.54,0.51,0.51,0.49,0.49,0.48,0.48,0.47,0.45,0.43,0.42,0.41,0.4,0.4,0.38,0.37,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.08,0.0,99.97
07/12/2021,9.99,8.96,7.33,6.94,5.82,4.78,4.62,2.43,2.48,2.18,1.49,1.31,1.21,1.16,1.13,1.09,1.01,0.96,0.95,0.9,0.86,0.83,0.82,0.8,0.76,0.77,0.74,0.74,0.73,0.71,0.68,0.68,0.63,0.62,0.61,0.56,0.54,0.55,0.54,0.51,0.52,0.49,0.5,0.47,0.48,0.46,0.44,0.45,0.42,0.42,0.4,0.39,0.38,0.37,0.35,0.36,0.33,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.09,0.0,99.99
07/13/2021,9.99,8.96,7.33,6.94,5.82,4.78,4.62,2.43,2.48,2.18,1.49,1.31,1.21,1.16,1.13,1.09,1.01,0.96,0.95,0.9,0.86,0.83,0.82,0.8,0.76,0.77,0.74,0.74,0.73,0.71,0.68,0.68,0.63,0.62,0.61,0.56,0.54,0.55,0.54,0.51,0.52,0.49,0.5,0.47,0.48,0.46,0.44,0.45,0.42,0.42,0.4,0.39,0.38,0.37,0.35,0.36,0.33,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.09,0.0,99.99
07/14/2021,9.99,8.96,7.33,6.94,5.82,4.78,4.62,2.43,2.48,2.18,1.49,1.31,1.21,1.16,1.13,1.09,1.01,0.96,0.95,0.9,0.86,0.83,0.82,0.8,0.76,0.77,0.74,0.74,0.73,0.71,0.68,0.68,0.63,0.62,0.61,0.56,0.54,0.55,0.54,0.51,0.52,0.49,0.5,0.47,0.48,0.46,0.44,0.45,0.42,0.42,0.4,0.39,0.38,0.37,0.35,0.36,0.33,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.09,0.0,99.99
07/15/2021,9.92,8.86,7.34,6.97,5.77,4.78,4.78,2.49,2.53,2.16,1.47,1.34,1.23,1.16,1.13,1.09,1.01,0.96,0.96,0.88,0.86,0.82,0.8,0.81,0.76,0.76,0.73,0.74,0.72,0.71,0.68,0.67,0.62,0.62,0.62,0.55,0.54,0.55,0.54,0.51,0.51,0.48,0.49,0.46,0.48,0.46,0.44,0.45,0.41,0.41,0.4,0.4,0.38,0.37,0.35,0.36,0.31,0.34,0.34,0.34,0.33,0.33,0.34,0.32,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.09,0.0,99.97
07/16/2021,9.85,8.98,7.4,7.03,5.88,4.79,4.69,2.43,2.52,2.17,1.47,1.34,1.22,1.14,1.11,1.07,1.01,0.98,0.96,0.9,0.88,0.82,0.78,0.82,0.76,0.76,0.73,0.74,0.72,0.71,0.68,0.65,0.63,0.64,0.62,0.55,0.55,0.55,0.54,0.51,0.51,0.48,0.49,0.46,0.47,0.46,0.45,0.43,0.42,0.42,0.4,0.4,0.38,0.37,0.35,0.34,0.31,0.34,0.33,0.34,0.33,0.33,0.34,0.32,0.3,0.3,0.29,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.12,0.09,0.0,100.05
07/19/2021,9.79,9.2,7.45,7.05,5.91,4.72,4.59,2.43,2.49,2.18,1.49,1.31,1.17,1.11,1.16,1.03,1.0,0.94,0.97,0.9,0.88,0.82,0.77,0.8,0.75,0.77,0.74,0.76,0.7,0.71,0.67,0.63,0.64,0.65,0.63,0.55,0.57,0.54,0.55,0.52,0.52,0.48,0.48,0.44,0.48,0.45,0.45,0.43,0.42,0.42,0.4,0.44,0.38,0.38,0.34,0.33,0.3,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.3,0.3,0.28,0.29,0.29,0.3,0.27,0.28,0.27,0.28,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.21,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.12,0.12,0.09,0.0,100.02
07/20/2021,9.71,9.15,7.55,7.1,5.95,4.71,4.58,2.44,2.47,2.19,1.48,1.31,1.14,1.14,1.15,1.01,0.97,0.93,0.97,0.91,0.88,0.83,0.78,0.79,0.75,0.78,0.75,0.77,0.69,0.7,0.68,0.61,0.64,0.65,0.63,0.54,0.57,0.54,0.55,0.51,0.53,0.49,0.48,0.42,0.49,0.45,0.45,0.43,0.42,0.42,0.4,0.49,0.39,0.38,0.33,0.32,0.3,0.35,0.34,0.34,0.34,0.32,0.33,0.31,0.31,0.3,0.28,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.12,0.12,0.09,0.0,100.0
07/21/2021,9.71,9.15,7.55,7.1,5.95,4.71,4.58,2.44,2.47,2.19,1.48,1.31,1.14,1.14,1.15,1.01,0.97,0.93,0.97,0.91,0.88,0.83,0.78,0.79,0.75,0.78,0.75,0.77,0.69,0.7,0.68,0.61,0.64,0.65,0.63,0.54,0.57,0.54,0.55,0.51,0.53,0.49,0.48,0.42,0.49,0.45,0.45,0.43,0.42,0.42,0.4,0.49,0.39,0.38,0.33,0.32,0.3,0.35,0.34,0.34,0.34,0.32,0.33,0.31,0.31,0.3,0.28,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.12,0.12,0.09,0.0,100.0
07/22/2021,9.79,9.04,7.51,7.07,5.96,4.72,4.66,2.4,2.44,2.18,1.51,1.34,1.15,1.14,1.14,1.0,0.99,0.91,0.98,0.92,0.87,0.84,0.77,0.78,0.76,0.78,0.75,0.78,0.68,0.7,0.68,0.6,0.65,0.62,0.63,0.52,0.56,0.55,0.55,0.52,0.53,0.5,0.49,0.41,0.49,0.44,0.44,0.45,0.43,0.43,0.4,0.54,0.4,0.38,0.33,0.31,0.32,0.34,0.34,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.24,0.25,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.2,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.09,0.0,99.99
