,n/a,GOOGL,AMD,TSLA,AMZN,FB,NVDA,ANET,MA,WDAY,ABNB,SPOT,LULU,ABMD,SQ,ULTA,MTCH,ROST,PAYC,FIVE,JCI,RNG,EXAS,MDB,FICO,BKNG,SEDG,DKNG,DHR,DIS,MRVL,DXCM,LEN,STZ,PODD,ILMN,CPRT,PANW,GWRE,GDRX,THO,MIDD,ALB,SNAP,ZI,CRM,MKSI,FIVN,TWTR,VRNS,ELAN,OLED,IS,PENN,CSGP,OSH,ASND,KOD,RETA,PATH,ROKU,UBER,EA,IWF,SUM
12/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/24/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/29/2021,0.76,7.72,4.53,4.35,4.13,3.5,3.5,3.23,3.01,2.92,2.75,2.6,2.57,2.32,2.14,2.09,2.04,1.87,1.83,1.73,1.67,1.6,1.56,1.49,1.42,1.37,1.34,1.34,1.32,1.31,1.24,1.24,1.22,1.2,1.18,1.17,1.16,1.14,1.12,1.09,1.09,1.04,1.02,1.01,1.01,0.97,0.96,0.9,0.82,0.8,0.8,0.65,0.65,0.62,0.59,0.55,0.38,0.22,0.14,0.0,0.0,0.0,0.0,0.0,99.99
12/30/2021,0.76,7.72,4.53,4.35,4.13,3.5,3.5,3.23,3.01,2.92,2.75,2.6,2.57,2.32,2.14,2.09,2.04,1.87,1.83,1.73,1.67,1.6,1.56,1.49,1.42,1.37,1.34,1.34,1.32,1.31,1.24,1.24,1.22,1.2,1.18,1.17,1.16,1.14,1.12,1.09,1.09,1.04,1.02,1.01,1.01,0.97,0.96,0.9,0.82,0.8,0.8,0.65,0.65,0.62,0.59,0.55,0.38,0.22,0.14,0.0,0.0,0.0,0.0,0.0,99.99
12/31/2021,0.76,7.72,4.53,4.35,4.13,3.5,3.5,3.23,3.01,2.92,2.75,2.6,2.57,2.32,2.14,2.09,2.04,1.87,1.83,1.73,1.67,1.6,1.56,1.49,1.42,1.37,1.34,1.34,1.32,1.31,1.24,1.24,1.22,1.2,1.18,1.17,1.16,1.14,1.12,1.09,1.09,1.04,1.02,1.01,1.01,0.97,0.96,0.9,0.82,0.8,0.8,0.65,0.65,0.62,0.59,0.55,0.38,0.22,0.14,0.0,0.0,0.0,0.0,0.0,99.99
01/03/2022,0.76,7.72,4.53,4.35,4.13,3.5,3.5,3.23,3.01,2.92,2.75,2.6,2.57,2.32,2.14,2.09,2.04,1.87,1.83,1.73,1.67,1.6,1.56,1.49,1.42,1.37,1.34,1.34,1.32,1.31,1.24,1.24,1.22,1.2,1.18,1.17,1.16,1.14,1.12,1.09,1.09,1.04,1.02,1.01,1.01,0.97,0.96,0.9,0.82,0.8,0.8,0.65,0.65,0.62,0.59,0.55,0.38,0.22,0.14,0.0,0.0,0.0,0.0,0.0,99.99
01/03/2022,0.76,7.72,4.53,4.35,4.13,3.5,3.5,3.23,3.01,2.92,2.75,2.6,2.57,2.32,2.14,2.09,2.04,1.87,1.83,1.73,1.67,1.6,1.56,1.49,1.42,1.37,1.34,1.34,1.32,1.31,1.24,1.24,1.22,1.2,1.18,1.17,1.16,1.14,1.12,1.09,1.09,1.04,1.02,1.01,1.01,0.97,0.96,0.9,0.82,0.8,0.8,0.65,0.65,0.62,0.59,0.55,0.38,0.22,0.14,0.0,0.0,0.0,0.0,0.0,99.99
