,AMZN,TSLA,HD,MCD,NKE,LOW,SBUX,TGT,BKNG,TJX,GM,MELI,F,DG,ROST,EBAY,APTV,MAR,LULU,ORLY,CMG,YUM,HLT,DHI,AZO,LEN,BBY,VFC,EXPE,DLTR,PTON,BURL,TSCO,RCL,CCL,GRMN,MGM,CZR,ETSY,W,LVS,GPC,KMX,DRI,ULTA,POOL,NVR,LB,CVNA,DPZ,PHM,LKQ,WHR,WYNN,GME,MTN,WSM,AAP,MHK,BWA,TPR,HAS,PENN,NWL,LEA,NCLH,LAD,FIVE,RH,DECK,CHGG,SCI,ALV,KSS,GNTX,ARMK,CPRI,PVH,FND,BFAM,BC,TOL,PII,GPS,HOG,MAT,LEG,TPX,VAC,WH,CROX,CHDN,HBI,TXRH,THO,DKS,FOXF,SKX,YETI,FL,TMX,PLNT,BLD,RL,AN,M,TNL,AEO,BYD,GRUB,QRTEA,HELE,CHWY,HRB,GT,OLLI,SGMS,ADNT,CRI,FTDR,WEN,CHH,MTH,UAA,DAN,WING,LOPE,LGIH,EYE,KBH,ABG,HGV,LCII,UA,TMHC,MUSA,ELY,JWN,STAY,RRR,CBRL,BBBY,SIX,MDC,SHOO,SONO,SIG,VC,KTB,OSTK,RCII,TPH,CTB,COLM,H,WWW,SNBR,SHAK,STMP,SEAS,ANF,PAG,GPI,DORM,SKY,VSTO,GHC,IBP,CCS,URBN,EAT,PZZA,CAKE,SBH,SFIX,IRBT,JACK,BOOT,WGO,THRM,MHO,BLMN,WW,BIG,ODP,HOME,EVRI,CORE,VNE,GOLF,MNRO,BALY,LZB,CWH,CVCO,OXM,ATGE,PLAY,SSTK,HIBB,Cooper Tire & Rubber Co,SWBI,DDS,RVLV,TEN,RGR,BKE,LEVI,n/a,LBEUR,BBWI WI,MBUU,HMHC,GDEN,VSCO,LAUR,LRN,SUM
07/09/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/12/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/13/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/14/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/15/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/16/2021,21.87,8.85,6.47,3.29,3.21,2.73,2.53,2.17,1.85,1.55,1.47,1.16,1.11,0.98,0.88,0.82,0.79,0.77,0.77,0.76,0.7,0.7,0.68,0.65,0.64,0.54,0.53,0.52,0.48,0.45,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88
07/19/2021,22.78,9.39,6.31,3.18,3.54,2.66,2.43,2.26,1.67,1.51,1.43,1.3,1.1,1.02,0.84,0.92,0.81,0.72,0.85,0.79,0.77,0.66,0.64,0.6,0.67,0.53,0.51,0.52,0.44,0.45,0.47,0.42,0.43,0.38,0.36,0.41,0.4,0.38,0.49,0.4,0.35,0.36,0.42,0.38,0.37,0.37,0.35,0.34,0.38,0.36,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.28,0.24,0.24,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.23,0.21,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.18,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.12,0.0,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.09,0.11,0.1,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.0,0.08,0.08,0.1,0.08,0.08,0.09,0.08,0.11,0.08,0.07,0.09,0.07,0.07,0.0,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.05,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43
07/20/2021,22.78,9.39,6.31,3.18,3.54,2.66,2.43,2.26,1.67,1.51,1.43,1.3,1.1,1.02,0.84,0.92,0.81,0.72,0.85,0.79,0.77,0.66,0.64,0.6,0.67,0.53,0.51,0.52,0.44,0.45,0.47,0.42,0.43,0.38,0.36,0.41,0.4,0.38,0.49,0.4,0.35,0.36,0.42,0.38,0.37,0.37,0.35,0.34,0.38,0.36,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.28,0.24,0.24,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.23,0.21,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.18,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.12,0.0,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.09,0.11,0.1,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.0,0.08,0.08,0.1,0.08,0.08,0.09,0.08,0.11,0.08,0.07,0.09,0.07,0.07,0.0,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.05,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43
07/21/2021,22.78,9.39,6.31,3.18,3.54,2.66,2.43,2.26,1.67,1.51,1.43,1.3,1.1,1.02,0.84,0.92,0.81,0.72,0.85,0.79,0.77,0.66,0.64,0.6,0.67,0.53,0.51,0.52,0.44,0.45,0.47,0.42,0.43,0.38,0.36,0.41,0.4,0.38,0.49,0.4,0.35,0.36,0.42,0.38,0.37,0.37,0.35,0.34,0.38,0.36,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.28,0.24,0.24,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.23,0.21,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.18,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.12,0.0,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.09,0.11,0.1,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.0,0.08,0.08,0.1,0.08,0.08,0.09,0.08,0.11,0.08,0.07,0.09,0.07,0.07,0.0,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.05,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43
07/22/2021,22.78,9.39,6.31,3.18,3.54,2.66,2.43,2.26,1.67,1.51,1.43,1.3,1.1,1.02,0.84,0.92,0.81,0.72,0.85,0.79,0.77,0.66,0.64,0.6,0.67,0.53,0.51,0.52,0.44,0.45,0.47,0.42,0.43,0.38,0.36,0.41,0.4,0.38,0.49,0.4,0.35,0.36,0.42,0.38,0.37,0.37,0.35,0.34,0.38,0.36,0.3,0.29,0.28,0.26,0.26,0.26,0.25,0.28,0.24,0.24,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.22,0.22,0.23,0.21,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.19,0.18,0.17,0.15,0.17,0.16,0.15,0.15,0.15,0.16,0.14,0.15,0.18,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.12,0.14,0.12,0.0,0.12,0.13,0.13,0.11,0.12,0.11,0.12,0.1,0.11,0.1,0.11,0.1,0.09,0.1,0.09,0.11,0.1,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.0,0.08,0.08,0.1,0.08,0.08,0.09,0.08,0.11,0.08,0.07,0.09,0.07,0.07,0.0,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.05,0.06,0.06,0.07,0.07,0.06,0.08,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.06,0.0,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43
