,"2022-03-18 Invesco QQQ Trust, Series 1 C 3.13","2022-03-18 Invesco QQQ Trust, Series 1 P 313.14",US Dollar,"2022-03-18 Invesco QQQ Trust, Series 1 P 281.83","2022-03-18 Invesco QQQ Trust, Series 1 C 361.71",SUM
07/09/2021,104.95,3.29,0.83,-1.87,-7.2,100.0
07/12/2021,105.09,3.22,0.83,-1.82,-7.32,100.0
07/13/2021,105.09,3.22,0.83,-1.82,-7.32,100.0
07/22/2021,104.12,3.77,0.83,-2.17,-6.55,100.0
