,Cash & Cash Equivalents,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,SHOP,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,RY.TO,3690.HK,CBA.AX,6758.T,TD.TO,SIE.DE,HSBA.L,SAN.PA,TTE.PA,DGE.L,OR.PA,BHP.AX,ALV.DE,6861.T,GSK.L,CSL.AX,RIO.L,VALE3.SA,BP.L,SU.PA,9984.T,NPN.JO,BATS.L,RDSA.AS,AI.PA,RELIANCE.NS,ENB.TO,AIR.PA,BNS.TO,ENEL.MI,939.HK,DAI.DE,CNR.TO,388.HK,RYDBF,ADS.DE,DTE.DE,BAS.DE,6098.T,IBE.MC,BNP.PA,7974.T,WBC.AX,DPW.DE,8306.T,BAM.A.TO,KER.PA,8035.T,BMO.TO,NIO,RKT.L,JD,INFY.NS,NAB.AX,RITN.,SAN.MC,000660.KS,BHP.L,2318.HK,ANZ.AX,ZURN.SW,BAYN.DE,4063.T,HDFC.NS,ABBN.SW,6501.T,DG.PA,2269.HK,6594.T,UBSG.SW,ABI.BR,LONN.SW,REL.L,2317.TW,4502.T,7267.T,005935.KQ,IFX.DE,CM.TO,6981.T,AAL.L,BIDU,CP.TO,EL.PA,2454.TW,7741.T,PRU.L,INGA.AS,PDD,ADYEN.AS,9433.T,DSV.CO,WES.AX,CS.PA,1810.HK,GAZP.ME,SIKA.SW,TRP.TO,6367.T,PRX.AS,RMS.PA,ISP.MI,RI.PA,SAF.PA,NG.L,LLOY.L,NTES,035420.KS,8316.T,ICICIBANK.NS,VOD.L,6954.T,BN.PA,GLEN.L,035720.KS,VOW3.DE,BARC.L,D05.SI,PHIA.AS,9983.T,STLA.MI,SBER.ME,TCS.NS,CNQ.TO,GIVN.SW,BBVA.MC,ATCO A.ST,MQG.AX,VWS.CO,CPG.L,CRH.L,006400.KS,ITX.MC,INVE B.ST,1120.SR,ABX.TO,LKOH.ME,3382.T,ERIC B.ST,051910.KS,MUV2.DE,9434.T,EXPN.L,VOLV B.ST,4568.T,8031.T,SU.TO,MFC.TO,WOW.AX,VNA.DE,8411.T,ALC.SW,NDA SE.ST,AHT.L,LSEG.L,SGO.PA,BMW.DE,1398.HK,1180.SR,2413.T,9432.T,RIO.AX,PGHN.SW,CLNX.MC,M4B.,DSM.AS,DB1.DE,6702.T,6273.T,8058.T,NTR.TO,005380.KS,AD.AS,AMS.MC,8001.T,DSY.PA,FERG.L,CAP.PA,4503.T,NOKIA.HE,ENI.MI,ATD.B.TO,CSU.TO,DSYA.,ASSA B.ST,FMG.AX,GMAB.CO,8766.T,HEXA B.ST,WKL.AS,2010.SR,AMXL.MX,n/a,GEBN.SW,ORSTED.CO,669.HK,4543.T,BAM,CFR.SW,HINDUNILVR.NS,FLTR.L,STM.PA,MRK.DE,6902.T,4901.T,4661.T,SUM
07/09/2021,3.39,1.85,1.47,1.45,1.27,1.22,1.01,0.96,0.76,0.72,0.65,0.61,0.56,0.55,0.53,0.53,0.51,0.51,0.48,0.46,0.46,0.45,0.42,0.42,0.41,0.39,0.39,0.39,0.38,0.36,0.36,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.56
07/12/2021,3.54,1.83,1.43,1.36,1.3,1.18,1.03,0.98,0.78,0.74,0.65,0.6,0.56,0.56,0.52,0.55,0.53,0.51,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.39,0.39,0.39,0.39,0.37,0.35,0.35,0.33,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.23,0.21,0.22,0.22,0.21,0.19,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.88000000000001
07/13/2021,3.54,1.83,1.43,1.36,1.3,1.18,1.03,0.98,0.78,0.74,0.65,0.6,0.56,0.56,0.52,0.55,0.53,0.51,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.39,0.39,0.39,0.39,0.37,0.35,0.35,0.33,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.29,0.28,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.23,0.21,0.22,0.22,0.21,0.19,0.21,0.22,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.0,0.12,0.11,0.12,0.0,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.88000000000001
07/15/2021,3.59,1.84,1.41,1.37,1.29,1.18,1.04,0.98,0.78,0.74,0.65,0.59,0.57,0.56,0.52,0.55,0.52,0.52,0.47,0.47,0.47,0.44,0.43,0.41,0.42,0.39,0.39,0.39,0.4,0.36,0.36,0.35,0.34,0.34,0.32,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.24,0.27,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.21,0.23,0.23,0.22,0.23,0.23,0.22,0.21,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.22,0.2,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.19,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.12,0.12,0.11,0.11,0.0,0.11,0.0,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.88
07/16/2021,3.92,1.88,1.46,1.42,1.28,1.18,1.04,0.97,0.77,0.73,0.65,0.6,0.56,0.56,0.53,0.55,0.52,0.51,0.49,0.46,0.47,0.43,0.43,0.41,0.42,0.38,0.39,0.39,0.39,0.36,0.36,0.35,0.33,0.34,0.32,0.3,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.24,0.26,0.26,0.28,0.25,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.2,0.22,0.24,0.22,0.22,0.23,0.21,0.21,0.23,0.21,0.21,0.22,0.21,0.2,0.21,0.21,0.22,0.2,0.21,0.22,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.12,0.0,0.12,0.11,0.11,0.12,0.0,0.11,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
07/19/2021,3.73,1.92,1.49,1.46,1.28,1.2,1.05,0.97,0.77,0.72,0.66,0.57,0.54,0.55,0.53,0.55,0.53,0.52,0.48,0.46,0.47,0.43,0.41,0.41,0.41,0.38,0.39,0.39,0.4,0.36,0.36,0.34,0.33,0.34,0.32,0.29,0.31,0.31,0.31,0.29,0.28,0.29,0.28,0.27,0.28,0.27,0.27,0.24,0.27,0.26,0.28,0.25,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.2,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.23,0.21,0.21,0.22,0.21,0.19,0.21,0.21,0.21,0.19,0.22,0.22,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.11,0.11,0.11,0.12,0.0,0.12,0.0,0.12,0.11,0.12,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.93000000000001
07/22/2021,4.1,1.85,1.48,1.43,1.31,1.19,1.03,1.0,0.76,0.73,0.67,0.59,0.54,0.57,0.52,0.55,0.54,0.51,0.47,0.46,0.46,0.42,0.41,0.4,0.42,0.37,0.39,0.4,0.4,0.35,0.36,0.35,0.34,0.32,0.31,0.28,0.3,0.31,0.32,0.29,0.27,0.29,0.29,0.27,0.27,0.27,0.27,0.25,0.26,0.26,0.3,0.24,0.25,0.25,0.25,0.26,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.2,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.19,0.21,0.21,0.21,0.19,0.23,0.22,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.19,0.16,0.18,0.16,0.18,0.17,0.17,0.15,0.16,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.13,0.16,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.11,0.11,0.12,0.12,0.0,0.12,0.0,0.12,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98000000000001
07/23/2021,4.11,1.84,1.46,1.43,1.32,1.19,1.03,0.98,0.76,0.73,0.66,0.62,0.64,0.56,0.52,0.54,0.54,0.51,0.46,0.46,0.45,0.43,0.41,0.4,0.42,0.37,0.39,0.4,0.39,0.35,0.35,0.34,0.34,0.33,0.31,0.28,0.31,0.31,0.31,0.29,0.27,0.3,0.29,0.27,0.27,0.27,0.27,0.24,0.26,0.26,0.3,0.24,0.25,0.25,0.25,0.25,0.24,0.24,0.22,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.23,0.21,0.21,0.22,0.21,0.19,0.21,0.21,0.21,0.19,0.22,0.22,0.2,0.19,0.2,0.2,0.19,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.16,0.18,0.18,0.18,0.18,0.17,0.19,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.16,0.14,0.16,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.11,0.12,0.11,0.12,0.0,0.12,0.0,0.12,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.080000000000005
07/26/2021,3.94,1.85,1.44,1.45,1.28,1.19,1.09,0.94,0.77,0.72,0.65,0.63,0.64,0.52,0.53,0.52,0.54,0.51,0.47,0.47,0.45,0.43,0.43,0.4,0.42,0.37,0.39,0.4,0.4,0.36,0.35,0.34,0.35,0.33,0.32,0.28,0.31,0.3,0.32,0.29,0.27,0.29,0.29,0.27,0.28,0.27,0.27,0.24,0.26,0.26,0.3,0.24,0.25,0.25,0.25,0.25,0.25,0.24,0.22,0.24,0.24,0.23,0.24,0.23,0.22,0.22,0.21,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.23,0.21,0.21,0.22,0.21,0.19,0.21,0.22,0.2,0.19,0.21,0.22,0.21,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.15,0.14,0.15,0.16,0.14,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.13,0.16,0.14,0.16,0.14,0.14,0.13,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.11,0.11,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.98
07/29/2021,3.89,1.82,1.3,1.34,1.29,1.17,1.13,0.95,0.79,0.73,0.66,0.63,0.63,0.53,0.51,0.52,0.54,0.51,0.39,0.46,0.46,0.43,0.43,0.41,0.42,0.38,0.4,0.41,0.41,0.36,0.36,0.34,0.35,0.34,0.33,0.29,0.32,0.3,0.29,0.3,0.28,0.3,0.29,0.27,0.28,0.27,0.28,0.24,0.28,0.27,0.28,0.25,0.26,0.25,0.26,0.26,0.25,0.25,0.22,0.23,0.25,0.23,0.24,0.24,0.22,0.23,0.2,0.22,0.21,0.23,0.22,0.24,0.23,0.2,0.24,0.2,0.21,0.22,0.22,0.19,0.21,0.22,0.21,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.16,0.17,0.19,0.18,0.18,0.18,0.18,0.14,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.18,0.17,0.18,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.13,0.17,0.15,0.17,0.16,0.15,0.15,0.17,0.14,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.16,0.15,0.16,0.14,0.13,0.13,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.14,0.12,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.11,0.13,0.12,0.11,0.12,0.12,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.12,0.11,0.12,0.0,0.12,0.0,0.12,0.12,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.89000000000001
