,603799.SS,600111.SS,600392.SS,LYC.AX,1772.HK,600549.SS,MP,TROX,ILU.AX,PLS.AX,ERA.PA,601958.SS,AMG.AS,GXY.AX,ORE.AX,LTHM,LAC.TO,AXTI,5727.T,Standard Lithium Corp,5727.T.1,5727.T.2,5727.T.3,5727.T.4,5727.T.5,GVMXX,SLI.V,SUM
07/09/2021,8.82,7.41,6.61,6.42,6.08,5.39,4.91,4.63,4.61,4.58,4.41,4.36,4.32,4.27,4.26,4.19,4.15,3.18,2.78,2.77,1.15,0.68,0.02,0.0,0.0,0.0,0.0,100.0
08/31/2021,9.09,7.44,6.66,6.42,6.21,5.31,4.79,4.64,4.93,4.49,4.29,4.5,4.25,4.08,4.1,4.12,4.21,3.25,2.73,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.71,101.44
09/01/2021,9.09,7.44,6.66,6.42,6.21,5.31,4.79,4.64,4.93,4.49,4.29,4.5,4.25,4.08,4.1,4.12,4.21,3.25,2.73,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.71,101.44
09/02/2021,9.09,7.44,6.66,6.42,6.21,5.31,4.79,4.64,4.93,4.49,4.29,4.5,4.25,4.08,4.1,4.12,4.21,3.25,2.73,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.71,101.44
