,2269.HK,BGNE,300142 C2,300601 C2,000661 C2,ZLAB,300676 C2,1177.HK,300357 C2,002007 C2,1548.HK,600161 C1,603345 C1,300009 C2,300725 C2,603392 C1,002252 C2,002030 C2,002422 C2,603127 C1,1530.HK,300639 C2,9966.HK,9939.HK,1873.HK,002038 C2,6855.HK,000710 C2,688366 C1,000078 C2,603387 C1,2126.HK,603363 C1,002880 C2,CASH,n/a,SUM
07/09/2021,10.06,8.07,8.03,7.67,6.32,4.61,4.34,4.18,4.1,4.09,3.95,3.2,3.19,3.16,2.79,2.42,2.4,2.27,2.18,1.79,1.43,1.21,1.19,0.98,0.88,0.74,0.73,0.71,0.63,0.62,0.5,0.49,0.4,0.37,0.29,0.0,99.99000000000002
07/12/2021,10.14,7.94,8.87,7.25,6.58,4.6,4.29,4.11,4.04,3.89,4.23,3.09,3.05,3.27,2.86,2.37,2.35,2.25,2.11,1.81,1.32,1.18,1.13,0.93,0.94,0.72,0.69,0.68,0.75,0.6,0.48,0.47,0.38,0.36,0.28,0.0,100.01
07/13/2021,10.14,7.94,8.87,7.25,6.58,4.6,4.29,4.11,4.04,3.89,4.23,3.09,3.05,3.27,2.86,2.37,2.35,2.25,2.11,1.81,1.32,1.18,1.13,0.93,0.94,0.72,0.69,0.68,0.75,0.6,0.48,0.47,0.38,0.36,0.28,0.0,100.01
07/14/2021,10.49,8.06,9.03,7.07,6.56,4.63,4.18,4.0,4.02,3.88,4.11,3.23,3.07,3.19,2.85,2.31,2.33,2.24,2.14,1.82,1.32,1.17,1.16,0.89,0.88,0.71,0.7,0.68,0.71,0.6,0.47,0.48,0.38,0.37,0.28,0.0,100.01
07/15/2021,10.26,7.85,8.94,7.32,6.43,4.58,4.17,3.91,4.07,3.98,4.31,3.44,2.98,3.33,2.92,2.36,2.3,2.2,2.04,1.93,1.29,1.13,1.18,0.9,0.89,0.69,0.75,0.68,0.67,0.59,0.46,0.48,0.37,0.35,0.26,0.0,100.01
07/16/2021,9.9,7.81,9.2,7.47,6.28,4.52,4.12,3.91,4.23,3.96,4.29,3.33,3.13,3.33,2.95,2.49,2.29,2.19,2.01,1.99,1.26,1.15,1.19,0.88,0.82,0.7,0.74,0.66,0.68,0.58,0.46,0.47,0.37,0.35,0.26,0.0,99.97
07/19/2021,10.27,7.76,9.03,7.27,6.46,4.45,3.79,4.0,4.24,3.91,4.55,3.41,2.98,3.28,2.93,2.47,2.35,2.11,1.94,2.06,1.31,1.11,1.22,0.96,0.78,0.69,0.77,0.65,0.71,0.58,0.45,0.48,0.36,0.37,0.28,0.0,99.98
07/20/2021,10.27,7.76,9.03,7.27,6.46,4.45,3.79,4.0,4.24,3.91,4.55,3.41,2.98,3.28,2.93,2.47,2.35,2.11,1.94,2.06,1.31,1.11,1.22,0.96,0.78,0.69,0.77,0.65,0.71,0.58,0.45,0.48,0.36,0.37,0.28,0.0,99.98
07/21/2021,10.49,7.66,9.92,7.17,6.27,4.12,3.67,3.92,4.56,3.84,4.58,3.26,2.85,3.34,2.89,2.41,2.31,2.07,1.95,1.95,1.31,1.11,1.21,1.09,0.78,0.69,0.71,0.63,0.69,0.58,0.47,0.52,0.34,0.35,0.28,0.0,99.99
07/22/2021,10.38,7.47,9.84,7.16,6.74,4.02,3.64,3.93,4.68,3.84,4.73,3.35,2.75,3.37,2.88,2.4,2.3,2.02,1.91,1.92,1.32,1.08,1.16,1.15,0.82,0.69,0.7,0.62,0.66,0.57,0.46,0.51,0.32,0.35,0.28,0.0,100.01999999999998
07/23/2021,10.27,7.41,10.07,7.14,6.7,4.22,3.66,3.87,4.57,4.07,4.49,3.4,2.77,3.3,2.88,2.4,2.37,2.04,1.92,1.89,1.24,1.08,1.15,1.13,0.8,0.7,0.7,0.63,0.65,0.58,0.46,0.5,0.33,0.36,0.27,0.0,100.02
07/26/2021,10.09,7.61,10.34,6.9,6.32,4.26,3.69,3.92,4.43,4.07,4.32,3.44,2.69,3.22,2.93,2.4,2.37,2.06,1.99,1.99,1.23,1.09,1.22,1.25,0.83,0.71,0.82,0.66,0.65,0.58,0.47,0.51,0.33,0.36,0.27,0.0,100.02
07/27/2021,10.09,7.61,10.34,6.9,6.32,4.26,3.69,3.92,4.43,4.07,4.32,3.44,2.69,3.22,2.93,2.4,2.37,2.06,1.99,1.99,1.23,1.09,1.22,1.25,0.83,0.71,0.82,0.66,0.65,0.58,0.47,0.51,0.33,0.36,0.27,0.0,100.02
07/29/2021,9.69,7.14,11.06,6.74,6.09,3.82,3.92,4.07,4.54,4.18,4.05,3.31,2.8,3.35,2.85,2.53,2.51,2.21,2.07,2.14,1.18,1.15,1.16,1.24,0.79,0.74,0.8,0.68,0.61,0.62,0.48,0.48,0.35,0.36,0.29,0.0,100.0
07/30/2021,9.31,7.3,11.64,6.85,5.74,3.52,3.97,4.03,4.61,4.27,3.79,3.34,2.79,3.41,2.98,2.53,2.58,2.25,2.16,2.41,1.11,1.14,1.0,1.11,0.76,0.75,0.74,0.7,0.65,0.64,0.48,0.43,0.35,0.37,0.3,0.0,100.01
08/02/2021,9.92,7.79,11.87,6.82,5.45,3.79,3.97,3.89,4.24,4.07,4.13,3.14,2.67,3.2,3.1,2.54,2.41,2.39,1.99,2.31,1.08,1.1,1.06,1.18,0.78,0.7,0.75,0.65,0.62,0.6,0.44,0.41,0.31,0.33,0.28,0.0,99.98
08/03/2021,9.92,7.79,11.87,6.82,5.45,3.79,3.97,3.89,4.24,4.07,4.13,3.14,2.67,3.2,3.1,2.54,2.41,2.39,1.99,2.31,1.08,1.1,1.06,1.18,0.78,0.7,0.75,0.65,0.62,0.6,0.44,0.41,0.31,0.33,0.28,0.0,99.98
08/04/2021,9.43,7.9,12.29,6.58,5.37,4.04,4.29,3.87,4.1,4.06,4.11,3.08,2.57,3.2,3.04,2.58,2.42,2.52,2.03,2.2,1.05,1.15,1.04,1.22,0.76,0.69,0.72,0.65,0.6,0.61,0.44,0.47,0.32,0.33,0.28,0.0,100.00999999999998
08/05/2021,9.38,7.95,12.11,6.6,5.25,3.94,4.25,3.82,4.16,4.02,4.09,3.09,2.73,3.13,3.56,2.61,2.38,2.47,1.98,2.24,1.05,1.2,1.0,1.26,0.77,0.69,0.68,0.64,0.59,0.6,0.44,0.44,0.32,0.33,0.2,0.0,99.97
08/06/2021,9.41,7.99,12.01,6.76,5.24,3.86,4.29,3.76,4.08,4.03,4.38,3.01,2.7,3.15,3.54,2.6,2.32,2.61,1.94,2.29,1.0,1.25,0.98,1.22,0.73,0.69,0.66,0.66,0.56,0.6,0.47,0.43,0.31,0.32,0.19,0.0,100.04
08/10/2021,9.68,7.86,12.61,7.62,4.57,3.92,4.03,3.78,4.02,4.01,4.34,2.89,2.74,2.79,3.59,2.61,2.26,2.41,1.9,2.47,1.02,1.16,0.99,1.21,0.74,0.68,0.64,0.64,0.54,0.59,0.47,0.41,0.3,0.32,0.0,0.19,100.0
08/11/2021,9.6,7.84,12.11,7.35,4.77,4.07,4.06,3.98,4.03,4.02,4.47,2.88,2.6,2.82,3.58,2.6,2.35,2.43,1.97,2.47,1.05,1.16,0.99,1.14,0.76,0.7,0.67,0.65,0.56,0.6,0.47,0.42,0.32,0.32,0.0,0.2,100.01
08/12/2021,9.69,7.74,12.04,7.1,4.92,4.18,4.04,3.87,4.21,4.07,4.25,2.96,2.84,2.81,3.62,2.56,2.34,2.4,1.96,2.46,1.06,1.15,0.95,1.1,0.75,0.7,0.65,0.65,0.56,0.6,0.46,0.44,0.34,0.33,0.0,0.19,99.99
