,AGPXX,AMC,LSCC,n/a,OVV,SYNA,BJ,EGP,TTEK,M,WSC,CAR,STAG,THC,IIVI,CROX,SLAB,BHVN,CHK,FOXF,OMCL,FFIN,EME,SAIA,KBR,PFGC,GBCI,ASGN,INSP,NTLA,ARWR,CADE,SSB,TXRH,GT,SGMS,VLY,ROLL,ARNA,HELE,SWAV,TRNO,EXPO,HLI,SSD,AMBA,WCC,RPD,CCMP,GTLS,IIPR,NOVT,AMN,MEDP,BCPC,BPMC,HALO,UFPI,WTS,BL,ATKR,NSA,ESNT,AQUA,UBSI,AVNT,PDCE,SMTC,POWI,ROG,APG,AR,VG,BXMT,JBT,HR,ADNT,KNSL,ADC,FCNCA,SIG,WING,IRDM,MMS,APPS,KRG,CHX,HWC,POR,MUSA,UMBF,ONTO,DIOD,BKH,ZD,MXL,WK,HGV,CMC,FN,EXLS,VRNS,RLI,RHP,NEOG,FELE,MIME,SIGI,SPSC,TENB,HRI,MUR,LIVN,MTDR,ENV,ETRN,RRC,CWST,DOC,NSP,SFBS,ENSG,DNLI,ZWS,CNMD,ASAN,KFY,PPBI,DEN,WD,CBU,BKU,MAC,ABG,MTH,SWN,TGNA,SWX,VIAV,OPCH,FUL,SXT,ACIW,BIPC,OGS,LXP,TRTN,AIT,HOMB,UCBI,SAIL,INDB,HI,PNM,ALKS,RDN,STAA,BNL,ISBC,LTHM,TMHC,EYE,QTWO,SKY,QLYS,FATE,HASI,PZZA,ALRM,KLIC,NJR,REZI,AEO,EBC,AWR,CRC,SM,FHI,MC,DBRG,ARNC,GATX,MATX,OUT,ASB,ABCB,BOX,TNET,BEAM,LCII,CWT,SHOO,FLOW,HQY,SFNC,HLNE,DAN,ALE,PCH,BOOT,AX,IRTC,SAFM,WSFS,SFM,UPWK,BLKB,MSTR,KBH,BCO,AEL,FIX,APLE,AEIS,CNX,CATY,CBT,ENS,SR,ORA,AJRD,ESGR,CIM,ACAD,AVA,UNIT,BECN,ASO,OMI,ABM,CBRL,MTX,CYTK,TCBI,HP,FIBK,CARG,ARVN,APLS,SEAS,LHCG,ONB,BCRX,ITCI,FORM,FLR,SI,MP,ATI,HL,NSIT,SITM,BE,MGY,SJI,EQC,SONO,SUM
01/11/2022,4.18,0.39,0.36,0.34,0.33,0.33,0.32,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.13
01/12/2022,4.19,0.4,0.35,0.32,0.33,0.32,0.33,0.29,0.29,0.29,0.27,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.78
01/13/2022,4.19,0.4,0.35,0.31,0.33,0.31,0.33,0.29,0.3,0.28,0.27,0.28,0.27,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.21,0.21,0.22,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.19,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.0,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.13,0.14,0.13,0.14,0.13,0.15,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.0,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72
01/14/2022,4.17,0.39,0.35,0.15,0.34,0.32,0.32,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.25,0.24,0.24,0.25,0.23,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.21,0.21,0.22,0.21,0.22,0.22,0.2,0.21,0.21,0.2,0.19,0.2,0.19,0.21,0.19,0.19,0.21,0.19,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.19,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.0,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.17,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.0,0.13,0.0,0.0,0.14,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73
01/17/2022,4.36,0.36,0.33,0.18,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.21,0.22,0.19,0.2,0.22,0.22,0.2,0.22,0.2,0.21,0.19,0.2,0.19,0.21,0.19,0.19,0.21,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.15,0.17,0.18,0.18,0.17,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.0,0.16,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.14,0.14,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.14,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.0,0.12,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.63
01/18/2022,4.36,0.36,0.33,0.18,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.21,0.22,0.19,0.2,0.22,0.22,0.2,0.22,0.2,0.21,0.19,0.2,0.19,0.21,0.19,0.19,0.21,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.15,0.17,0.18,0.18,0.17,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.0,0.16,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.14,0.14,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.14,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.0,0.12,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.63
01/19/2022,4.36,0.36,0.33,0.18,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.21,0.22,0.19,0.2,0.22,0.22,0.2,0.22,0.2,0.21,0.19,0.2,0.19,0.21,0.19,0.19,0.21,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.15,0.17,0.18,0.18,0.17,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.0,0.16,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.14,0.14,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.14,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.0,0.12,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.63
01/20/2022,4.36,0.36,0.33,0.18,0.34,0.31,0.32,0.29,0.29,0.29,0.28,0.27,0.27,0.28,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.21,0.22,0.19,0.2,0.22,0.22,0.2,0.22,0.2,0.21,0.19,0.2,0.19,0.21,0.19,0.19,0.21,0.19,0.18,0.19,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.18,0.15,0.17,0.18,0.18,0.17,0.17,0.18,0.19,0.16,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.19,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.0,0.16,0.15,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.16,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.17,0.14,0.14,0.14,0.15,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.14,0.14,0.0,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.12,0.12,0.13,0.12,0.13,0.0,0.12,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.63
01/21/2022,4.45,0.33,0.32,0.29,0.35,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.28,0.26,0.24,0.23,0.22,0.26,0.22,0.23,0.24,0.23,0.23,0.24,0.24,0.23,0.21,0.21,0.18,0.19,0.22,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.18,0.17,0.19,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.15,0.17,0.17,0.18,0.17,0.17,0.17,0.19,0.16,0.18,0.17,0.18,0.16,0.17,0.18,0.17,0.19,0.17,0.18,0.16,0.17,0.17,0.15,0.16,0.0,0.16,0.14,0.15,0.16,0.14,0.16,0.18,0.17,0.16,0.15,0.16,0.15,0.14,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.13,0.15,0.15,0.14,0.15,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.14,0.16,0.16,0.14,0.15,0.14,0.15,0.14,0.0,0.13,0.13,0.13,0.14,0.15,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.15,0.0,0.13,0.14,0.14,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.12,0.0,0.13,0.0,0.12,0.0,0.12,0.13,0.12,0.12,0.0,0.0,0.12,0.0,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.47
01/24/2022,4.53,0.33,0.31,0.37,0.35,0.29,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.28,0.25,0.24,0.22,0.22,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.21,0.18,0.2,0.22,0.21,0.2,0.22,0.2,0.21,0.19,0.21,0.2,0.17,0.19,0.18,0.19,0.18,0.17,0.19,0.17,0.19,0.17,0.17,0.17,0.16,0.16,0.18,0.15,0.17,0.17,0.18,0.17,0.17,0.17,0.19,0.16,0.18,0.17,0.19,0.16,0.17,0.18,0.16,0.18,0.18,0.18,0.16,0.16,0.16,0.15,0.16,0.0,0.16,0.14,0.15,0.16,0.13,0.16,0.17,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.16,0.14,0.16,0.14,0.16,0.15,0.15,0.13,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.16,0.16,0.14,0.15,0.14,0.14,0.14,0.0,0.14,0.13,0.13,0.13,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.16,0.14,0.14,0.12,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.13,0.12,0.13,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.0,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.12,0.0,0.13,0.12,0.12,0.0,0.0,0.13,0.12,0.12,0.0,0.0,0.13,0.0,0.13,0.13,0.12,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.540000000000006
