,VGIT,VOO,SPDW,SPBO,VGLT,VWO,FGXXX,SUM
10/15/2021,27.61,20.44,20.16,13.62,13.19,4.64,0.34,100.0
10/18/2021,27.45,20.3,20.22,13.64,13.41,4.65,0.33,100.0
10/19/2021,27.3,20.5,20.29,13.6,13.36,4.62,0.33,100.0
10/20/2021,27.17,20.62,20.43,13.54,13.27,4.67,0.3,100.0
10/21/2021,27.14,20.68,20.35,13.53,13.31,4.66,0.33,100.0
10/22/2021,27.14,20.68,20.35,13.53,13.31,4.66,0.33,100.0
10/25/2021,27.07,20.89,20.53,13.43,13.04,4.71,0.33,100.0
10/26/2021,27.04,20.98,20.46,13.43,13.05,4.68,0.36,100.0
10/27/2021,27.04,20.98,20.46,13.43,13.05,4.68,0.36,100.0
10/28/2021,27.04,20.98,20.46,13.43,13.05,4.68,0.36,99.99999999999999
