,PSA,WELL,AVB,EQR,EXR,INVH,VTR,MAA,SUI,ESS,PEAK,UDR,ELS,CPT,MPW,AMH,CUBE,OHI,LSI,AIRC,ACC,HTA,HR,SBRA,DOC,NSA,NHI,CTRE,IRT,LTC,NXRT,USD,CHCT,CSR,AIV,DHC,UMH,GMRE,UHT,SNR,XTSLA,APTS,BRG,BRT,JPFFT,DJEU1,MARGIN_EUR,MARGIN_JPY,MARGIN_TRY,DJEZ1,WRE,SUM
07/09/2021,10.18,7.8,6.53,6.38,4.91,4.83,4.75,4.53,4.45,4.36,4.35,3.73,3.35,3.25,2.97,2.8,2.42,2.19,2.14,1.95,1.67,1.49,1.09,1.0,1.0,0.91,0.74,0.51,0.48,0.38,0.31,0.3,0.29,0.27,0.26,0.25,0.22,0.22,0.2,0.19,0.13,0.13,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/12/2021,10.13,7.77,6.63,6.48,4.86,4.89,4.73,4.62,4.48,4.44,4.37,3.79,3.37,3.28,2.91,2.8,2.39,2.15,2.13,1.93,1.66,1.46,1.07,0.97,0.98,0.9,0.73,0.5,0.47,0.37,0.31,0.14,0.29,0.27,0.26,0.24,0.22,0.21,0.19,0.18,0.16,0.12,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,10.13,7.77,6.63,6.48,4.86,4.89,4.73,4.62,4.48,4.44,4.37,3.79,3.37,3.28,2.91,2.8,2.39,2.15,2.13,1.93,1.66,1.46,1.07,0.97,0.98,0.9,0.73,0.5,0.47,0.37,0.31,0.14,0.29,0.27,0.26,0.24,0.22,0.21,0.19,0.18,0.16,0.12,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,10.1,7.77,6.62,6.48,4.88,4.87,4.73,4.61,4.47,4.43,4.36,3.78,3.36,3.28,2.93,2.82,2.4,2.16,2.14,1.93,1.67,1.46,1.06,0.98,0.99,0.91,0.73,0.5,0.47,0.38,0.31,0.22,0.29,0.27,0.26,0.24,0.22,0.21,0.2,0.18,0.11,0.13,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,10.11,7.86,6.67,6.47,4.86,4.86,4.78,4.63,4.45,4.46,4.35,3.79,3.35,3.29,2.88,2.82,2.38,2.15,2.12,1.92,1.67,1.45,1.06,0.97,0.98,0.91,0.72,0.49,0.48,0.37,0.32,0.12,0.29,0.27,0.26,0.24,0.23,0.21,0.2,0.19,0.11,0.13,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,10.06,7.89,6.68,6.53,4.82,4.81,4.74,4.64,4.47,4.48,4.39,3.8,3.35,3.29,2.88,2.81,2.37,2.12,2.11,1.96,1.68,1.46,1.05,0.95,0.97,0.91,0.72,0.47,0.49,0.37,0.32,0.1,0.28,0.28,0.26,0.24,0.23,0.21,0.19,0.18,0.16,0.13,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/20/2021,10.06,7.89,6.68,6.53,4.82,4.81,4.74,4.64,4.47,4.48,4.39,3.8,3.35,3.29,2.88,2.81,2.37,2.12,2.11,1.96,1.68,1.46,1.05,0.95,0.97,0.91,0.72,0.47,0.49,0.37,0.32,0.1,0.28,0.28,0.26,0.24,0.23,0.21,0.19,0.18,0.16,0.13,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,10.07,7.64,6.73,6.57,4.78,4.82,4.68,4.7,4.49,4.5,4.42,3.86,3.4,3.34,2.91,2.81,2.36,2.11,2.12,1.94,1.66,1.5,1.08,0.95,0.98,0.9,0.72,0.48,0.49,0.38,0.32,0.0,0.28,0.28,0.24,0.22,0.22,0.21,0.19,0.18,0.21,0.12,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/23/2021,9.91,7.75,6.72,6.59,4.71,4.81,4.75,4.67,4.53,4.49,4.43,3.86,3.42,3.34,2.93,2.8,2.33,2.12,2.08,1.94,1.68,1.51,1.08,0.95,0.98,0.9,0.72,0.47,0.49,0.38,0.33,0.07,0.28,0.28,0.25,0.23,0.23,0.21,0.19,0.18,0.15,0.12,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/27/2021,9.9,7.74,6.64,6.56,4.69,4.8,4.79,4.67,4.55,4.47,4.47,3.9,3.44,3.35,2.95,2.78,2.34,2.12,2.1,1.96,1.67,1.51,1.08,0.95,0.98,0.92,0.72,0.53,0.49,0.37,0.32,0.0,0.28,0.29,0.24,0.22,0.23,0.21,0.19,0.19,0.17,0.12,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/29/2021,9.96,7.71,6.64,6.55,4.71,4.81,4.72,4.66,4.57,4.49,4.47,3.92,3.45,3.33,2.92,2.8,2.36,2.12,2.12,1.95,1.66,1.5,1.07,0.95,0.97,1.03,0.71,0.53,0.49,0.37,0.33,0.0,0.28,0.29,0.24,0.23,0.23,0.22,0.19,0.18,0.13,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.11
07/30/2021,9.91,7.72,6.66,6.54,4.71,4.83,4.72,4.67,4.62,4.47,4.52,3.91,3.47,3.32,2.9,2.8,2.35,2.12,2.12,1.94,1.68,1.5,1.07,0.95,0.97,1.02,0.72,0.53,0.44,0.37,0.32,0.03,0.28,0.29,0.25,0.23,0.23,0.22,0.19,0.18,0.02,0.12,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/02/2021,9.82,7.66,6.69,6.5,4.75,4.82,4.67,4.78,4.69,4.45,4.53,3.92,3.46,3.36,2.89,2.79,2.37,2.1,2.14,1.95,1.65,1.49,1.06,0.96,0.97,1.01,0.71,0.52,0.46,0.36,0.32,0.03,0.28,0.29,0.25,0.22,0.23,0.21,0.19,0.18,0.02,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,9.86,7.59,6.64,6.48,4.77,4.83,4.69,4.79,4.71,4.42,4.51,3.89,3.49,3.38,2.92,2.79,2.39,2.05,2.14,1.97,1.65,1.49,1.07,0.95,0.98,1.01,0.71,0.5,0.47,0.36,0.31,0.05,0.28,0.28,0.25,0.22,0.23,0.21,0.18,0.18,0.05,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,9.86,7.59,6.64,6.48,4.77,4.83,4.69,4.79,4.71,4.42,4.51,3.89,3.49,3.38,2.92,2.79,2.39,2.05,2.14,1.97,1.65,1.49,1.07,0.95,0.98,1.01,0.71,0.5,0.47,0.36,0.31,0.05,0.28,0.28,0.25,0.22,0.23,0.21,0.18,0.18,0.05,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,9.86,7.59,6.64,6.48,4.77,4.83,4.69,4.79,4.71,4.42,4.51,3.89,3.49,3.38,2.92,2.79,2.39,2.05,2.14,1.97,1.65,1.49,1.07,0.95,0.98,1.01,0.71,0.5,0.47,0.36,0.31,0.05,0.28,0.28,0.25,0.22,0.23,0.21,0.18,0.18,0.05,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,9.8,7.64,6.7,6.52,4.86,4.81,4.68,4.77,4.73,4.43,4.5,3.91,3.5,3.37,2.85,2.8,2.43,1.96,2.18,1.96,1.63,1.48,1.06,0.93,0.97,1.02,0.71,0.5,0.48,0.35,0.32,0.0,0.28,0.29,0.24,0.22,0.23,0.21,0.18,0.18,0.09,0.13,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,9.7,7.51,6.73,6.58,4.85,4.8,4.61,4.78,4.75,4.44,4.48,3.91,3.5,3.37,2.84,2.82,2.43,2.0,2.22,1.95,1.65,1.51,1.07,0.9,0.97,1.02,0.7,0.49,0.49,0.34,0.32,0.11,0.28,0.3,0.25,0.23,0.24,0.21,0.19,0.18,0.0,0.14,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/11/2021,9.7,7.51,6.73,6.58,4.85,4.8,4.61,4.78,4.75,4.44,4.48,3.91,3.5,3.37,2.84,2.82,2.43,2.0,2.22,1.95,1.65,1.51,1.07,0.9,0.97,1.02,0.7,0.49,0.49,0.34,0.32,0.11,0.28,0.3,0.25,0.23,0.24,0.21,0.19,0.18,0.0,0.14,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/13/2021,10.07,7.63,6.67,6.5,4.89,4.74,4.58,4.72,4.77,4.39,4.43,3.9,3.47,3.32,2.81,2.79,2.46,2.02,2.24,1.93,1.63,1.54,1.05,0.88,0.96,1.05,0.67,0.48,0.49,0.34,0.32,0.09,0.28,0.31,0.24,0.22,0.23,0.21,0.19,0.18,0.04,0.14,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,10.17,7.49,6.63,6.47,4.9,4.77,4.54,4.74,4.81,4.34,4.4,3.85,3.5,3.36,2.83,2.78,2.48,2.01,2.25,1.92,1.65,1.54,1.05,0.88,0.97,1.05,0.67,0.46,0.5,0.34,0.32,0.16,0.28,0.31,0.24,0.22,0.23,0.21,0.18,0.18,0.04,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/17/2021,10.08,7.55,6.65,6.47,4.89,4.78,4.55,4.75,4.82,4.33,4.44,3.84,3.51,3.35,2.84,2.77,2.47,2.0,2.23,1.92,1.63,1.56,1.04,0.88,0.98,1.05,0.67,0.47,0.5,0.34,0.32,0.15,0.28,0.31,0.25,0.22,0.23,0.21,0.18,0.18,0.07,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,10.2,7.57,6.67,6.47,4.89,4.78,4.51,4.78,4.81,4.33,4.42,3.84,3.51,3.38,2.82,2.77,2.48,1.96,2.23,1.93,1.62,1.53,1.04,0.85,0.96,1.06,0.65,0.45,0.49,0.34,0.32,0.17,0.28,0.31,0.24,0.21,0.23,0.21,0.18,0.18,0.07,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,10.24,7.6,6.65,6.47,4.92,4.78,4.48,4.77,4.8,4.36,4.43,3.81,3.51,3.37,2.82,2.74,2.49,1.97,2.25,1.91,1.62,1.52,1.03,0.85,0.96,1.06,0.65,0.46,0.49,0.34,0.32,0.16,0.28,0.31,0.23,0.21,0.23,0.21,0.18,0.17,0.07,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/23/2021,10.38,7.5,6.66,6.48,4.94,4.87,4.37,4.77,4.84,4.38,4.38,3.82,3.54,3.39,2.79,2.76,2.5,1.88,2.24,1.91,1.62,1.58,1.03,0.81,0.97,1.05,0.63,0.49,0.49,0.32,0.33,0.14,0.27,0.32,0.23,0.2,0.22,0.21,0.19,0.17,0.09,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,10.39,7.48,6.65,6.46,4.95,4.88,4.35,4.8,4.85,4.37,4.36,3.81,3.52,3.37,2.81,2.78,2.51,1.86,2.25,1.9,1.63,1.56,1.03,0.8,0.97,1.05,0.63,0.49,0.5,0.32,0.33,0.06,0.27,0.32,0.24,0.21,0.23,0.21,0.18,0.17,0.17,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/25/2021,10.39,7.48,6.65,6.46,4.95,4.88,4.35,4.8,4.85,4.37,4.36,3.81,3.52,3.37,2.81,2.78,2.51,1.86,2.25,1.9,1.63,1.56,1.03,0.8,0.97,1.05,0.63,0.49,0.5,0.32,0.33,0.06,0.27,0.32,0.24,0.21,0.23,0.21,0.18,0.17,0.17,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/26/2021,10.36,7.52,6.65,6.49,4.97,4.89,4.35,4.78,4.82,4.36,4.36,3.8,3.49,3.34,2.84,2.77,2.5,1.88,2.26,1.92,1.63,1.57,1.02,0.82,0.96,1.06,0.63,0.49,0.5,0.32,0.33,0.06,0.27,0.31,0.24,0.21,0.22,0.21,0.19,0.17,0.17,0.14,0.06,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,10.27,7.56,6.62,6.46,4.99,4.88,4.38,4.74,4.84,4.34,4.39,3.78,3.5,3.3,2.87,2.76,2.5,1.92,2.27,1.9,1.64,1.58,1.03,0.84,0.97,1.04,0.64,0.5,0.5,0.33,0.33,0.06,0.27,0.31,0.25,0.21,0.22,0.21,0.19,0.17,0.17,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,10.18,7.55,6.67,6.51,5.08,4.88,4.36,4.79,4.84,4.38,4.38,3.79,3.48,3.36,2.81,2.75,2.56,1.88,2.27,1.93,1.67,1.55,1.03,0.82,0.95,1.06,0.64,0.49,0.5,0.32,0.33,0.0,0.27,0.32,0.25,0.21,0.22,0.21,0.18,0.17,0.18,0.15,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.09
08/31/2021,10.14,7.58,6.66,6.5,5.09,4.87,4.39,4.76,4.83,4.37,4.38,3.78,3.48,3.36,2.82,2.72,2.57,1.88,2.26,1.92,1.68,1.56,1.02,0.83,0.95,1.07,0.63,0.49,0.5,0.32,0.34,0.0,0.27,0.32,0.25,0.21,0.23,0.21,0.18,0.17,0.11,0.15,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,10.14,7.58,6.66,6.5,5.09,4.87,4.39,4.76,4.83,4.37,4.38,3.78,3.48,3.36,2.82,2.72,2.57,1.88,2.26,1.92,1.68,1.56,1.02,0.83,0.95,1.07,0.63,0.49,0.5,0.32,0.34,0.0,0.27,0.32,0.25,0.21,0.23,0.21,0.18,0.17,0.11,0.15,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/02/2021,10.11,7.5,6.66,6.51,5.09,4.91,4.35,4.79,4.86,4.4,4.37,3.78,3.5,3.37,2.82,2.79,2.57,1.86,2.27,1.93,1.67,1.57,1.02,0.82,0.95,1.07,0.62,0.49,0.5,0.32,0.34,0.0,0.27,0.32,0.25,0.21,0.23,0.21,0.18,0.17,0.11,0.15,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,10.16,7.61,6.66,6.45,5.1,4.86,4.37,4.75,4.81,4.43,4.37,3.8,3.52,3.38,2.83,2.78,2.56,1.88,2.26,1.89,1.66,1.57,1.01,0.82,0.95,1.06,0.62,0.49,0.49,0.32,0.34,0.0,0.27,0.32,0.25,0.21,0.23,0.21,0.18,0.17,0.11,0.15,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,10.16,7.46,6.61,6.45,5.12,4.91,4.33,4.74,4.89,4.42,4.35,3.82,3.58,3.37,2.91,2.76,2.55,1.86,2.27,1.9,1.66,1.58,1.01,0.81,0.95,1.06,0.63,0.49,0.49,0.32,0.34,0.0,0.27,0.32,0.26,0.21,0.23,0.21,0.17,0.17,0.13,0.15,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/07/2021,10.17,7.39,6.62,6.43,5.18,4.86,4.31,4.75,4.89,4.41,4.32,3.82,3.58,3.38,2.93,2.76,2.57,1.86,2.3,1.91,1.66,1.59,1.02,0.82,0.95,1.07,0.62,0.49,0.5,0.31,0.35,0.0,0.27,0.32,0.26,0.21,0.23,0.21,0.17,0.17,0.13,0.15,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/08/2021,10.17,7.39,6.62,6.43,5.18,4.86,4.31,4.75,4.89,4.41,4.32,3.82,3.58,3.38,2.93,2.76,2.57,1.86,2.3,1.91,1.66,1.59,1.02,0.82,0.95,1.07,0.62,0.49,0.5,0.31,0.35,0.0,0.27,0.32,0.26,0.21,0.23,0.21,0.17,0.17,0.13,0.15,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/09/2021,10.17,7.39,6.62,6.43,5.18,4.85,4.3,4.75,4.89,4.41,4.32,3.82,3.57,3.38,2.93,2.76,2.57,1.86,2.3,1.91,1.66,1.59,1.02,0.82,0.95,1.07,0.62,0.49,0.5,0.31,0.35,0.0,0.27,0.32,0.26,0.21,0.23,0.21,0.17,0.17,0.13,0.15,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,10.23,7.38,6.59,6.38,5.2,4.87,4.34,4.74,4.92,4.38,4.33,3.78,3.55,3.38,2.97,2.73,2.59,1.86,2.32,1.91,1.66,1.59,1.01,0.83,0.95,1.08,0.62,0.49,0.48,0.31,0.35,0.0,0.27,0.32,0.25,0.21,0.24,0.21,0.17,0.17,0.13,0.15,0.05,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.06
09/13/2021,10.2,7.51,6.57,6.34,5.12,4.87,4.4,4.75,4.89,4.41,4.33,3.78,3.54,3.4,2.98,2.73,2.55,1.89,2.3,1.9,1.66,1.58,1.01,0.85,0.95,1.08,0.62,0.49,0.49,0.32,0.34,0.0,0.27,0.33,0.25,0.2,0.24,0.21,0.17,0.17,0.09,0.14,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/14/2021,10.26,7.63,6.56,6.32,5.16,4.82,4.44,4.74,4.83,4.37,4.34,3.76,3.52,3.41,2.94,2.72,2.58,1.88,2.31,1.9,1.65,1.58,1.03,0.85,0.94,1.08,0.61,0.49,0.48,0.32,0.34,0.0,0.26,0.32,0.25,0.2,0.23,0.21,0.18,0.17,0.1,0.14,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/15/2021,10.26,7.63,6.56,6.32,5.16,4.82,4.44,4.74,4.83,4.37,4.34,3.76,3.52,3.41,2.94,2.72,2.58,1.88,2.31,1.9,1.65,1.58,1.03,0.85,0.94,1.08,0.61,0.49,0.48,0.32,0.34,0.0,0.26,0.32,0.25,0.2,0.23,0.21,0.18,0.17,0.1,0.14,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/16/2021,10.16,7.73,6.54,6.34,5.13,4.83,4.53,4.73,4.8,4.38,4.34,3.78,3.48,3.41,2.9,2.72,2.57,1.85,2.31,1.91,1.67,1.59,1.02,0.84,0.94,1.09,0.62,0.49,0.48,0.32,0.33,0.0,0.26,0.32,0.25,0.2,0.23,0.21,0.18,0.18,0.1,0.14,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,10.07,7.7,6.58,6.34,5.07,4.85,4.53,4.79,4.82,4.4,4.34,3.8,3.5,3.44,2.88,2.71,2.55,1.84,2.25,1.9,1.66,1.61,1.03,0.81,0.94,1.07,0.61,0.49,0.49,0.31,0.33,0.1,0.27,0.32,0.25,0.2,0.23,0.21,0.18,0.18,0.09,0.14,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,10.08,7.72,6.57,6.35,5.05,4.84,4.55,4.78,4.76,4.44,4.34,3.83,3.48,3.43,2.86,2.7,2.54,1.84,2.27,1.88,1.64,1.61,1.05,0.82,0.95,1.08,0.6,0.37,0.5,0.31,0.33,0.28,0.27,0.32,0.25,0.2,0.23,0.21,0.18,0.18,0.07,0.14,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/21/2021,9.87,7.64,6.45,6.22,4.97,4.84,4.78,4.51,4.68,4.53,4.52,3.79,3.43,3.48,2.86,2.7,2.52,1.83,2.29,1.87,1.61,1.61,1.06,0.84,0.95,1.11,0.6,0.38,0.52,0.31,0.33,0.12,0.27,0.33,0.24,0.19,0.24,0.22,0.18,0.18,0.07,0.15,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.52,99.97
09/22/2021,9.87,7.64,6.45,6.22,4.97,4.84,4.78,4.51,4.68,4.53,4.52,3.79,3.43,3.48,2.86,2.7,2.52,1.83,2.29,1.87,1.61,1.61,1.06,0.84,0.95,1.11,0.6,0.38,0.52,0.31,0.33,0.12,0.27,0.33,0.24,0.19,0.24,0.22,0.18,0.18,0.07,0.15,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.52,99.97
09/23/2021,9.9,7.62,6.46,6.25,4.97,4.83,4.73,4.52,4.67,4.51,4.5,3.78,3.46,3.49,2.88,2.71,2.52,1.84,2.29,1.88,1.62,1.61,1.07,0.83,0.95,1.11,0.6,0.37,0.52,0.31,0.33,0.12,0.27,0.34,0.24,0.19,0.24,0.22,0.17,0.17,0.07,0.15,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.52,99.99
09/24/2021,9.88,7.63,6.46,6.25,4.95,4.84,4.88,4.51,4.68,4.54,4.46,3.79,3.46,3.52,2.94,2.72,2.52,1.79,2.29,1.86,1.62,1.59,1.07,0.82,0.95,1.11,0.6,0.37,0.52,0.31,0.33,0.0,0.27,0.34,0.24,0.2,0.24,0.22,0.18,0.0,0.24,0.15,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.51,100.01
09/27/2021,9.63,7.58,6.62,6.35,4.86,4.88,4.86,4.57,4.66,4.62,4.45,3.82,3.4,3.52,2.97,2.71,2.45,1.8,2.24,1.88,1.65,1.6,1.08,0.82,0.96,1.09,0.6,0.37,0.53,0.31,0.34,0.14,0.27,0.34,0.25,0.2,0.25,0.22,0.18,0.0,0.09,0.16,0.08,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.52,99.99
09/28/2021,9.7,7.47,6.69,6.37,4.79,4.84,4.84,4.58,4.64,4.64,4.46,3.85,3.42,3.53,2.98,2.7,2.44,1.79,2.22,1.9,1.67,1.59,1.07,0.82,0.96,1.09,0.6,0.37,0.53,0.31,0.34,0.16,0.27,0.34,0.25,0.2,0.25,0.22,0.18,0.0,0.1,0.15,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.52,100.0
09/30/2021,9.63,7.55,6.66,6.36,4.78,4.79,4.94,4.57,4.63,4.61,4.47,3.85,3.39,3.53,2.99,2.68,2.44,1.81,2.19,1.9,1.69,1.61,1.07,0.83,0.96,1.08,0.6,0.37,0.53,0.31,0.35,0.15,0.27,0.33,0.25,0.2,0.25,0.22,0.18,0.0,0.11,0.16,0.08,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.53,99.98
10/01/2021,9.71,7.57,6.67,6.38,4.83,4.78,4.91,4.58,4.62,4.6,4.47,3.84,3.38,3.55,2.97,2.67,2.44,1.79,2.21,1.89,1.68,1.61,1.06,0.81,0.95,1.08,0.6,0.37,0.53,0.31,0.34,0.16,0.27,0.33,0.26,0.2,0.25,0.22,0.18,0.0,0.1,0.16,0.09,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.52,100.01999999999998
10/20/2021,9.92,7.33,6.62,6.42,4.94,4.77,4.74,4.65,4.6,4.58,4.4,3.76,3.43,3.61,2.91,2.61,2.47,1.76,2.3,1.88,1.67,1.72,1.11,0.79,0.94,1.12,0.58,0.47,0.53,0.31,0.35,0.08,0.26,0.33,0.26,0.21,0.24,0.22,0.17,0.0,0.11,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,99.98
10/21/2021,9.98,7.24,6.58,6.42,4.96,4.77,4.71,4.66,4.62,4.57,4.38,3.78,3.46,3.64,2.87,2.65,2.49,1.76,2.31,1.88,1.66,1.71,1.11,0.79,0.94,1.13,0.58,0.47,0.53,0.32,0.34,0.07,0.26,0.33,0.26,0.21,0.24,0.23,0.17,0.0,0.11,0.15,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,100.01
10/22/2021,9.99,7.33,6.57,6.39,4.96,4.78,4.74,4.65,4.64,4.55,4.38,3.77,3.47,3.59,2.87,2.64,2.48,1.77,2.3,1.86,1.64,1.72,1.12,0.79,0.95,1.12,0.59,0.47,0.53,0.32,0.35,0.05,0.26,0.33,0.26,0.21,0.24,0.23,0.17,0.0,0.13,0.15,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,100.03
10/25/2021,9.95,7.19,6.62,6.42,4.97,4.75,4.73,4.67,4.7,4.55,4.39,3.8,3.47,3.61,2.88,2.63,2.48,1.73,2.31,1.86,1.65,1.69,1.12,0.79,0.94,1.12,0.58,0.47,0.54,0.31,0.36,0.05,0.26,0.33,0.26,0.21,0.24,0.23,0.18,0.0,0.13,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.97
10/26/2021,10.05,7.0,6.63,6.43,4.98,4.81,4.62,4.71,4.73,4.57,4.37,3.8,3.5,3.62,2.85,2.67,2.5,1.71,2.33,1.88,1.64,1.68,1.11,0.77,0.94,1.13,0.57,0.47,0.55,0.3,0.37,0.05,0.26,0.34,0.26,0.21,0.24,0.23,0.17,0.0,0.13,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.98000000000002
