,NEM,FNV.TO,WPM.TO,ABX.TO,KL.TO,K.TO,EDV.TO,HL,BTO.TO,KNT.TO,YRI.TO,CG.TO,SSRM,AGI.TO,SSL.TO,ELD.TO,PVG.TO,DPM.TO,TXG.TO,AEM.TO,OR.TO,OGC.NE,RGLD,CDE,NG,IMG.TO,EQX,EDG.,AU,WDO.TO,SEA.TO,HAM.,NGD.TO,Osisko Mining Corp,State Street Instl Trs Pls MMkt Premier,Cash,SDA.AX,SUM
07/23/2021,12.23,11.43,8.55,8.47,5.95,4.6,4.51,3.26,3.48,3.32,3.57,3.46,3.54,3.44,3.12,2.85,2.82,2.65,2.35,1.94,0.4,0.37,0.38,0.31,0.33,0.33,0.29,0.33,0.33,0.32,0.3,0.32,0.26,0.2,0.1,-0.1,0.0,100.01
07/26/2021,12.01,11.47,8.64,8.48,5.88,4.56,4.54,3.34,3.53,3.26,3.52,3.55,3.51,3.48,3.12,2.88,2.84,2.65,2.37,1.91,0.4,0.38,0.39,0.32,0.33,0.3,0.3,0.32,0.32,0.32,0.31,0.31,0.26,0.21,0.1,-0.1,0.0,100.01
07/27/2021,12.1,11.37,8.67,8.51,5.94,4.62,4.53,3.31,3.5,3.23,3.54,3.56,3.48,3.49,3.12,2.86,2.82,2.64,2.37,1.91,0.4,0.37,0.39,0.31,0.33,0.3,0.29,0.32,0.32,0.32,0.31,0.31,0.25,0.2,0.1,-0.11,0.0,99.98
07/28/2021,12.1,11.37,8.67,8.51,5.94,4.62,4.53,3.31,3.5,3.23,3.54,3.56,3.48,3.49,3.12,2.86,2.82,2.64,2.37,1.91,0.4,0.37,0.39,0.31,0.33,0.3,0.29,0.32,0.32,0.32,0.31,0.31,0.25,0.2,0.1,-0.11,0.0,99.98
07/29/2021,11.97,11.5,8.62,8.46,5.82,4.59,4.54,3.31,3.54,3.21,3.52,3.59,3.52,3.54,3.15,2.88,2.82,2.66,2.41,1.92,0.4,0.37,0.39,0.32,0.33,0.31,0.31,0.32,0.32,0.32,0.31,0.31,0.25,0.2,0.1,-0.11,0.0,100.02
07/30/2021,12.16,11.44,8.67,8.53,5.77,4.56,4.57,3.23,3.51,3.21,3.53,3.61,3.51,3.51,3.1,2.88,2.78,2.65,2.39,1.92,0.4,0.37,0.39,0.31,0.33,0.31,0.31,0.33,0.33,0.32,0.31,0.31,0.24,0.2,0.1,-0.11,0.0,99.97999999999998
08/02/2021,11.9,11.65,8.63,8.48,5.99,4.67,4.52,3.28,3.52,3.3,3.55,3.51,3.48,3.43,3.09,2.89,2.78,2.59,2.36,1.94,0.39,0.36,0.38,0.31,0.32,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.26,0.2,0.09,-0.1,0.0,99.98000000000002
08/03/2021,11.9,11.65,8.63,8.48,5.99,4.67,4.52,3.28,3.52,3.3,3.55,3.51,3.48,3.43,3.09,2.89,2.78,2.59,2.36,1.94,0.39,0.36,0.38,0.31,0.32,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.26,0.2,0.09,-0.1,0.0,99.98000000000002
08/04/2021,11.9,11.65,8.63,8.48,5.99,4.67,4.52,3.28,3.52,3.3,3.55,3.51,3.48,3.43,3.09,2.89,2.78,2.59,2.36,1.94,0.39,0.36,0.38,0.31,0.32,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.26,0.2,0.09,-0.1,0.0,99.98000000000002
08/05/2021,11.9,11.65,8.63,8.48,5.99,4.67,4.52,3.28,3.52,3.3,3.55,3.51,3.48,3.43,3.09,2.89,2.78,2.59,2.36,1.94,0.39,0.36,0.38,0.31,0.32,0.31,0.31,0.33,0.32,0.32,0.31,0.31,0.26,0.2,0.09,-0.1,0.0,99.98000000000002
