,1810.HK,603501.SS,002475.SZ,601138.SS,000725.SZ,2382.HK,SHENZHEN TRANS-A,ZTCOF,002241.SZ,600703.SS,600745.SS,002371.SZ,285.HK,002049.SZ,002841.SZ,300782.SZ,002938.SZ,002236.SZ,GDS,688012.SS,300628.SZ,603986.SS,300408.SZ,688008.SS,NATIONAL SILIC-A,002600.SZ,600584.SS,300316.SZ,603160.SS,1347.HK,Cash,Chinese Yuan Renminbi,688036.SS,688126.SS,600460.SS,300223.SZ,n/a,002129.SZ,300763.SZ,603290.SS,300751.SZ,300661.SZ,688396.SS,SUM
07/09/2021,9.78,8.25,7.6,6.95,5.91,5.21,4.03,4.0,3.53,3.45,3.23,2.67,2.64,2.41,2.38,2.29,2.17,1.97,1.96,1.93,1.91,1.9,1.9,1.84,1.7,1.65,1.61,1.61,1.58,1.28,0.66,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/02/2021,7.87,6.26,7.17,5.44,4.97,6.09,0.0,3.24,4.95,4.51,4.86,4.51,2.07,3.6,1.33,2.06,2.21,1.99,1.56,2.41,1.73,1.72,1.97,2.58,0.0,0.0,1.5,2.57,0.0,1.76,0.0,0.0,3.26,2.06,1.97,1.76,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2022,6.78,4.27,9.07,6.9,5.03,3.67,0.0,3.45,4.91,0.0,2.52,4.63,0.0,4.09,0.0,1.6,2.83,1.59,0.0,2.79,2.46,2.96,1.93,2.53,0.0,0.0,0.0,2.79,0.0,0.95,0.0,0.0,1.99,1.92,1.86,0.0,0.15,4.43,2.66,2.43,2.34,2.26,2.21,100.00000000000001
