,UNH,GS,HD,MSFT,CRM,AMGN,V,BA,MCD,HON,CAT,MMM,DIS,AXP,JNJ,NKE,JPM,TRV,AAPL,WMT,IBM,PG,CVX,MRK,DOW,VZ,INTC,KO,CSCO,WBA,U.S. Dollar,AN22.L,OGN,n/a,KD WI,KD,SUM
07/09/2021,7.81,7.04,6.08,5.29,4.76,4.64,4.56,4.5,4.43,4.16,4.06,3.75,3.31,3.23,3.2,3.05,2.92,2.87,2.7,2.66,2.64,2.59,1.98,1.49,1.18,1.07,1.07,1.03,1.01,0.91,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.84,6.86,6.09,5.31,4.7,4.67,4.52,4.53,4.45,4.19,4.06,3.79,3.3,3.2,3.23,3.07,2.89,2.84,2.74,2.67,2.69,2.62,1.96,1.49,1.17,1.06,1.06,1.04,1.02,0.89,0.02,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,7.84,6.86,6.09,5.31,4.7,4.67,4.52,4.53,4.45,4.19,4.06,3.79,3.3,3.2,3.23,3.07,2.89,2.84,2.74,2.67,2.69,2.62,1.96,1.49,1.17,1.06,1.06,1.04,1.02,0.89,0.02,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,7.76,7.0,6.07,5.24,4.62,4.62,4.49,4.51,4.44,4.23,4.1,3.79,3.33,3.24,3.2,3.03,2.93,2.89,2.73,2.64,2.67,2.58,1.96,1.47,1.19,1.06,1.05,1.03,1.01,0.89,0.0,0.24,0.0,0.0,0.0,0.0,100.01
07/15/2021,7.82,7.15,6.05,5.21,4.57,4.59,4.47,4.48,4.43,4.23,4.11,3.76,3.47,3.26,3.19,3.04,2.97,2.9,2.72,2.63,2.65,2.58,1.96,1.46,1.19,1.06,1.07,1.02,1.0,0.89,0.0,0.1,0.0,0.0,0.0,0.0,100.03
07/16/2021,7.9,7.09,5.98,5.3,4.6,4.62,4.57,4.31,4.46,4.23,4.06,3.77,3.47,3.26,3.19,3.05,2.94,2.89,2.75,2.65,2.65,2.58,1.96,1.46,1.18,1.06,1.07,1.04,1.01,0.89,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,7.9,7.02,6.07,5.29,4.47,4.64,4.68,4.19,4.46,4.38,3.98,3.81,3.46,3.25,3.17,3.04,2.93,2.93,2.79,2.67,2.64,2.62,1.91,1.47,1.16,1.06,1.05,1.06,1.01,0.87,0.01,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/20/2021,7.96,6.92,6.1,5.32,4.52,4.7,4.71,4.13,4.45,4.37,3.94,3.78,3.4,3.22,3.19,3.03,2.88,2.97,2.78,2.68,2.63,2.66,1.87,1.48,1.14,1.07,1.04,1.07,1.02,0.87,0.0,0.09,0.0,0.0,0.0,0.0,99.99
07/21/2021,7.96,6.92,6.1,5.32,4.52,4.7,4.71,4.13,4.45,4.37,3.94,3.78,3.4,3.22,3.19,3.03,2.88,2.97,2.78,2.68,2.63,2.66,1.87,1.48,1.14,1.07,1.04,1.07,1.02,0.87,0.0,0.09,0.0,0.0,0.0,0.0,99.99
07/22/2021,7.96,6.92,6.1,5.32,4.52,4.7,4.71,4.13,4.45,4.37,3.94,3.78,3.4,3.22,3.19,3.03,2.88,2.97,2.78,2.68,2.63,2.66,1.87,1.48,1.14,1.07,1.04,1.07,1.02,0.87,0.0,0.09,0.0,0.0,0.0,0.0,99.99
07/23/2021,7.87,6.95,6.2,5.32,4.58,4.71,4.63,4.14,4.47,4.38,3.96,3.83,3.37,3.22,3.21,3.04,2.85,2.88,2.79,2.7,2.67,2.66,1.84,1.45,1.12,1.06,1.05,1.06,1.02,0.88,0.0,0.09,0.0,0.0,0.0,0.0,100.0
07/26/2021,7.85,7.04,6.17,5.41,4.69,4.62,4.61,4.17,4.51,4.4,3.95,3.76,3.31,3.23,3.21,3.09,2.85,2.79,2.77,2.67,2.66,2.6,1.87,1.45,1.14,1.06,1.06,1.07,1.03,0.88,0.0,0.09,0.0,0.0,0.0,0.0,100.01
