,4SPX  211130C02173100,4XSP  211130C00217320,4SPX  211130P04346200,4SPX  211130P03440730,4XSP  211130P00434640,4XSP  211130P00344070,4XSP  211130P00217320,4XSP  211130P00235420,Cash&Other,4SPX  211130P02354180,4XSP  211130C00434640,4SPX  211130P02173100,4XSP  211130C00386630,4SPX  211130C04346200,4SPX  211130C03866290,SUM
07/09/2021,107.23,5.56,4.51,0.85,0.23,0.04,-0.01,-0.01,-0.09,-0.16,-0.2,-0.24,-0.68,-3.91,-13.13,99.99
07/12/2021,108.61,5.63,4.19,0.83,0.22,0.04,-0.01,-0.01,-0.1,-0.15,-0.22,-0.24,-0.71,-4.32,-13.76,100.0
07/13/2021,108.61,5.63,4.19,0.83,0.22,0.04,-0.01,-0.01,-0.1,-0.15,-0.22,-0.24,-0.71,-4.32,-13.76,100.0
07/14/2021,108.61,5.63,4.19,0.83,0.22,0.04,-0.01,-0.01,-0.1,-0.15,-0.22,-0.24,-0.71,-4.32,-13.76,100.0
07/15/2021,109.43,5.67,4.03,0.79,0.21,0.04,-0.01,-0.01,-0.1,-0.15,-0.24,-0.22,-0.73,-4.59,-14.14,99.98000000000002
07/16/2021,108.72,5.64,4.28,0.85,0.22,0.04,-0.01,-0.01,-0.1,-0.15,-0.23,-0.23,-0.72,-4.44,-13.87,99.98999999999998
07/19/2021,108.09,5.6,4.41,0.86,0.23,0.04,-0.01,-0.01,-0.11,-0.14,-0.22,-0.21,-0.7,-4.26,-13.59,99.98
07/20/2021,106.61,5.53,4.86,0.96,0.25,0.05,-0.01,-0.01,-0.11,-0.16,-0.2,-0.24,-0.67,-3.87,-12.98,100.01
07/21/2021,106.61,5.53,4.86,0.96,0.25,0.05,-0.01,-0.01,-0.11,-0.16,-0.2,-0.24,-0.67,-3.87,-12.98,100.01
07/22/2021,103.99,5.39,5.72,1.19,0.3,0.06,-0.02,-0.01,-0.12,-0.21,-0.17,-0.32,-0.62,-3.25,-11.95,99.98
07/23/2021,106.9,5.54,4.79,0.99,0.25,0.05,-0.01,-0.01,-0.12,-0.18,-0.2,-0.27,-0.68,-3.94,-13.11,100.0
07/26/2021,108.83,5.64,4.18,0.82,0.22,0.04,-0.01,-0.01,-0.13,-0.15,-0.23,-0.23,-0.72,-4.4,-13.87,99.97999999999998
07/27/2021,110.57,5.73,3.83,0.76,0.2,0.04,-0.01,-0.01,-0.13,-0.14,-0.26,-0.22,-0.76,-4.97,-14.64,99.99
07/28/2021,110.57,5.73,3.83,0.76,0.2,0.04,-0.01,-0.01,-0.13,-0.14,-0.26,-0.22,-0.76,-4.97,-14.64,99.99
07/29/2021,111.27,5.77,3.68,0.72,0.19,0.04,-0.01,-0.01,-0.13,-0.13,-0.27,-0.21,-0.77,-5.2,-14.94,100.0
07/30/2021,110.0,5.7,4.03,0.82,0.21,0.04,-0.01,-0.01,-0.13,-0.16,-0.25,-0.24,-0.75,-4.83,-14.42,100.0
08/02/2021,110.56,5.9,3.72,0.72,0.2,0.04,-0.01,-0.01,-0.05,-0.13,-0.27,-0.21,-0.78,-5.0,-14.67,100.01000000000002
08/03/2021,110.05,5.87,3.81,0.73,0.2,0.04,-0.01,-0.01,-0.05,-0.14,-0.26,-0.21,-0.77,-4.83,-14.44,99.98000000000002
08/04/2021,110.05,5.87,3.81,0.73,0.2,0.04,-0.01,-0.01,-0.05,-0.14,-0.26,-0.21,-0.77,-4.83,-14.44,99.98000000000002
08/05/2021,109.55,5.84,3.97,0.77,0.21,0.04,-0.01,-0.01,-0.05,-0.14,-0.25,-0.22,-0.76,-4.7,-14.23,100.01
08/06/2021,110.7,5.9,3.62,0.7,0.19,0.04,-0.01,-0.01,-0.06,-0.13,-0.27,-0.19,-0.78,-5.0,-14.71,99.99
08/10/2021,111.58,5.95,3.22,0.57,0.17,0.03,-0.01,-0.01,-0.07,-0.1,-0.27,-0.16,-0.8,-5.11,-15.01,99.98000000000005
08/11/2021,111.58,5.95,3.22,0.57,0.17,0.03,-0.01,-0.01,-0.07,-0.1,-0.27,-0.16,-0.8,-5.11,-15.01,99.98000000000005
08/13/2021,111.43,5.94,3.25,0.57,0.17,0.03,-0.01,-0.01,-0.07,-0.1,-0.27,-0.15,-0.8,-5.06,-14.95,99.97
08/16/2021,112.58,6.0,2.88,0.49,0.15,0.03,-0.01,0.0,-0.08,-0.08,-0.28,-0.12,-0.82,-5.34,-15.4,100.0
08/17/2021,112.94,6.02,2.8,0.48,0.15,0.02,-0.01,0.0,-0.08,-0.08,-0.29,-0.12,-0.83,-5.44,-15.57,99.98999999999998
08/18/2021,112.94,6.02,2.8,0.48,0.15,0.02,-0.01,0.0,-0.08,-0.08,-0.29,-0.12,-0.83,-5.44,-15.57,99.98999999999998
08/19/2021,113.55,6.06,2.72,0.47,0.14,0.02,-0.01,0.0,-0.08,-0.08,-0.3,-0.12,-0.85,-5.68,-15.85,99.99
08/20/2021,111.76,6.33,3.06,0.53,0.17,0.03,-0.01,-0.01,-0.05,-0.09,-0.3,-0.13,-0.86,-5.25,-15.2,99.98000000000002
08/23/2021,110.06,6.24,3.66,0.7,0.21,0.04,-0.01,-0.01,-0.05,-0.12,-0.28,-0.18,-0.82,-4.9,-14.55,99.99
08/24/2021,111.36,6.31,3.17,0.58,0.18,0.03,-0.01,-0.01,-0.06,-0.1,-0.29,-0.14,-0.85,-5.15,-15.04,99.98
08/25/2021,111.36,6.31,3.17,0.58,0.18,0.03,-0.01,-0.01,-0.06,-0.1,-0.29,-0.14,-0.85,-5.15,-15.04,99.98
08/26/2021,113.37,6.43,2.63,0.47,0.15,0.03,-0.01,0.0,-0.06,-0.08,-0.32,-0.12,-0.9,-5.71,-15.89,99.99
08/27/2021,113.52,6.44,2.62,0.47,0.15,0.03,-0.01,0.0,-0.06,-0.07,-0.33,-0.11,-0.91,-5.76,-15.97,100.01
08/30/2021,112.86,6.4,2.76,0.49,0.16,0.03,-0.01,0.0,-0.07,-0.08,-0.31,-0.12,-0.89,-5.56,-15.67,99.99
08/31/2021,115.48,5.65,2.29,0.39,0.11,0.02,-0.01,0.0,-0.04,-0.07,-0.3,-0.11,-0.81,-6.08,-16.54,99.98000000000002
09/01/2021,115.48,5.65,2.29,0.39,0.11,0.02,-0.01,0.0,-0.04,-0.07,-0.3,-0.11,-0.81,-6.08,-16.54,99.98000000000002
09/02/2021,116.39,5.7,2.17,0.38,0.11,0.02,0.0,0.0,-0.04,-0.06,-0.31,-0.08,-0.83,-6.45,-16.98,100.01999999999998
09/03/2021,116.34,5.69,2.17,0.38,0.11,0.02,0.0,0.0,-0.04,-0.05,-0.31,-0.08,-0.83,-6.44,-16.94,100.02
09/06/2021,117.7,4.79,2.03,0.33,0.08,0.01,0.0,0.0,-0.02,-0.06,-0.27,-0.08,-0.7,-6.56,-17.26,99.99
09/07/2021,117.6,4.78,2.04,0.36,0.08,0.01,0.0,0.0,-0.02,-0.05,-0.27,-0.07,-0.7,-6.53,-17.24,99.99000000000002
09/08/2021,117.6,4.78,2.04,0.36,0.08,0.01,0.0,0.0,-0.02,-0.05,-0.27,-0.07,-0.7,-6.53,-17.24,99.99000000000002
09/09/2021,117.6,4.78,2.04,0.36,0.08,0.01,0.0,0.0,-0.02,-0.05,-0.27,-0.07,-0.7,-6.53,-17.24,99.99000000000002
09/10/2021,116.77,4.75,2.21,0.39,0.09,0.02,0.0,0.0,-0.02,-0.05,-0.25,-0.08,-0.68,-6.26,-16.86,100.03
09/13/2021,116.02,4.25,2.33,0.37,0.09,0.01,0.0,0.0,0.01,-0.05,-0.21,-0.07,-0.6,-5.81,-16.34,100.0
