,FJUN,FMAY,FFEB,FAPR,FMAR,FJAN,FNOV,FDEC,FOCT,FAUG,FSEP,FJUL,US Dollar,FT Cboe Vest US Equity Buffer ETF Jul,688180.SS,MISXX,Morgan Stanley Instl Lqudty Trs Instl,FT Cboe Vest US Equity Buffer ETF Sep,FT Cboe Vest US Equity Buffer ETF Aug,n/a,601019.SS,SUM
09/03/2021,8.35,8.36,8.42,8.36,8.35,8.33,8.3,8.28,8.26,8.34,8.23,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,100.0
09/06/2021,8.35,8.36,8.43,8.36,8.36,8.34,8.3,8.28,8.25,8.34,8.23,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,100.0
09/07/2021,8.35,8.35,8.43,8.36,8.36,8.33,8.3,8.28,8.25,8.35,8.23,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,100.01
09/08/2021,8.35,8.35,8.43,8.36,8.36,8.33,8.3,8.28,8.25,8.35,8.23,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,100.01
09/09/2021,8.35,8.35,8.43,8.36,8.36,8.33,8.3,8.28,8.25,8.35,8.22,8.37,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,8.34,8.35,8.42,8.36,8.36,8.34,8.31,8.29,8.26,8.34,8.24,8.35,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,8.34,8.34,8.42,8.36,8.35,8.35,8.31,8.3,8.28,8.33,8.24,8.35,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,8.33,8.33,8.41,8.35,8.35,8.36,8.32,8.31,8.29,8.31,8.27,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/15/2021,8.33,8.33,8.41,8.35,8.35,8.36,8.32,8.31,8.29,8.31,8.27,8.32,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,8.33,8.33,8.42,8.36,8.35,8.35,8.32,8.31,8.29,8.31,8.27,8.33,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/17/2021,8.33,8.33,8.41,8.35,8.35,8.35,8.34,8.32,8.29,8.3,8.27,8.32,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/20/2021,8.33,8.34,8.42,8.35,8.35,8.35,8.32,8.31,8.29,8.32,8.27,8.33,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/21/2021,8.32,8.33,8.41,8.34,8.35,8.34,8.34,8.31,8.31,8.29,8.3,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,100.0
09/22/2021,8.32,8.33,8.41,8.34,8.35,8.34,8.34,8.31,8.31,8.29,8.3,8.32,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,8.32,8.32,8.39,8.32,8.34,8.35,8.36,8.33,8.35,8.28,8.29,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,99.99000000000002
09/24/2021,8.32,8.32,8.41,8.32,8.35,8.34,8.37,8.33,8.35,8.28,8.28,8.29,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,8.33,8.34,8.43,8.34,8.34,8.34,8.33,8.31,8.29,8.3,8.3,8.33,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,8.32,8.33,8.44,8.34,8.34,8.34,8.33,8.3,8.29,8.31,8.31,8.33,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/29/2021,8.32,8.33,8.44,8.34,8.34,8.34,8.33,8.3,8.29,8.31,8.31,8.33,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/30/2021,8.32,8.32,8.42,8.34,8.35,8.36,8.33,8.3,8.3,8.29,8.3,8.33,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.98999999999998
10/01/2021,8.31,8.31,8.41,8.32,8.35,8.36,8.37,8.34,8.36,8.27,8.27,8.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,8.31,8.3,8.41,8.3,8.35,8.37,8.4,8.35,8.38,8.25,8.25,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,99.99
10/05/2021,8.32,8.3,8.41,8.32,8.35,8.37,8.37,8.34,8.36,8.26,8.26,8.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,8.32,8.3,8.41,8.32,8.35,8.37,8.37,8.34,8.36,8.26,8.26,8.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,8.29,8.29,8.4,8.31,8.36,8.37,8.41,8.35,8.41,8.25,8.24,8.29,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/08/2021,8.32,8.3,8.41,8.31,8.36,8.37,8.39,8.35,8.37,8.26,8.23,8.29,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,99.99
10/11/2021,8.32,8.32,8.42,8.33,8.36,8.36,8.37,8.32,8.33,8.27,8.26,8.32,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
10/12/2021,8.31,8.31,8.42,8.33,8.36,8.36,8.37,8.34,8.34,8.27,8.27,8.3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
10/13/2021,8.31,8.31,8.42,8.33,8.36,8.36,8.37,8.34,8.34,8.27,8.27,8.3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
10/14/2021,8.31,8.31,8.42,8.33,8.36,8.36,8.37,8.34,8.34,8.27,8.27,8.3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,8.31,8.31,8.41,8.31,8.36,8.37,8.39,8.35,8.36,8.27,8.25,8.3,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
10/18/2021,8.32,8.32,8.43,8.34,8.36,8.36,8.35,8.33,8.29,8.28,8.28,8.31,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/19/2021,8.33,8.33,8.43,8.35,8.36,8.36,8.33,8.31,8.27,8.29,8.29,8.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
10/20/2021,8.33,8.33,8.43,8.35,8.36,8.36,8.33,8.31,8.27,8.29,8.29,8.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
10/21/2021,8.32,8.33,8.43,8.35,8.36,8.35,8.32,8.31,8.28,8.3,8.3,8.33,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
10/22/2021,8.33,8.34,8.43,8.35,8.36,8.34,8.29,8.3,8.28,8.31,8.3,8.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/25/2021,8.33,8.34,8.43,8.36,8.35,8.33,8.27,8.28,8.29,8.32,8.33,8.35,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99999999999996
10/26/2021,8.33,8.34,8.43,8.36,8.35,8.33,8.27,8.28,8.29,8.32,8.33,8.35,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99999999999996
10/27/2021,8.33,8.34,8.44,8.35,8.35,8.33,8.27,8.29,8.29,8.32,8.33,8.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.99999999999996
10/28/2021,8.33,8.34,8.42,8.36,8.35,8.33,8.26,8.28,8.31,8.33,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.01
10/29/2021,8.33,8.34,8.42,8.36,8.35,8.33,8.25,8.27,8.3,8.34,8.33,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
11/01/2021,8.33,8.34,8.42,8.36,8.35,8.32,8.25,8.27,8.32,8.35,8.34,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.01999999999998
11/02/2021,8.33,8.35,8.43,8.36,8.34,8.31,8.24,8.26,8.31,8.34,8.34,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
11/03/2021,8.33,8.35,8.43,8.36,8.34,8.31,8.24,8.26,8.31,8.34,8.34,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
11/04/2021,8.33,8.35,8.43,8.36,8.34,8.31,8.24,8.26,8.31,8.34,8.34,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
11/05/2021,8.33,8.35,8.42,8.36,8.34,8.29,8.23,8.25,8.32,8.35,8.36,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.98999999999998
11/08/2021,8.33,8.35,8.42,8.37,8.35,8.29,8.2,8.23,8.33,8.37,8.37,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/09/2021,8.33,8.35,8.42,8.37,8.34,8.3,8.2,8.22,8.34,8.37,8.37,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/10/2021,8.33,8.35,8.42,8.37,8.34,8.3,8.2,8.22,8.34,8.37,8.37,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/11/2021,8.34,8.36,8.42,8.37,8.33,8.29,8.2,8.23,8.34,8.37,8.37,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/12/2021,8.34,8.35,8.42,8.37,8.34,8.29,8.22,8.24,8.33,8.36,8.36,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/15/2021,8.33,8.35,8.42,8.37,8.34,8.31,8.23,8.25,8.33,8.35,8.35,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/16/2021,8.33,8.35,8.42,8.37,8.34,8.31,8.23,8.25,8.33,8.35,8.35,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/17/2021,8.33,8.35,8.42,8.38,8.34,8.3,8.21,8.24,8.34,8.36,8.36,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/18/2021,8.33,8.36,8.43,8.38,8.34,8.3,8.21,8.23,8.33,8.37,8.36,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/19/2021,8.33,8.36,8.42,8.38,8.34,8.3,8.2,8.23,8.34,8.37,8.36,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/22/2021,8.33,8.36,8.42,8.38,8.34,8.3,8.2,8.23,8.34,8.37,8.36,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/23/2021,8.33,8.36,8.42,8.38,8.34,8.3,8.2,8.23,8.34,8.37,8.36,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/24/2021,8.36,8.33,8.33,8.33,8.33,8.34,8.33,8.32,8.33,8.35,8.32,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/25/2021,8.35,8.33,8.32,8.33,8.32,8.34,8.33,8.33,8.33,8.35,8.32,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/26/2021,8.34,8.33,8.34,8.34,8.33,8.34,8.31,8.34,8.32,8.34,8.32,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000001
