,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust C 3.54,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust P 337.56,US Dollar,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust P 248.73,2021-11-19 SPDRu00ae S&P 500u00ae ETF Trust C 382.87,SUM
07/09/2021,113.5,0.75,0.55,-0.19,-14.61,100.0
07/12/2021,114.19,0.73,0.55,-0.19,-15.28,100.0
07/13/2021,114.19,0.73,0.55,-0.19,-15.28,100.0
07/22/2021,111.88,1.08,0.55,-0.29,-13.23,99.98999999999998
