,MSFT,AMZN,ADBE,NVDA,GOOG,GOOGL,NKE,AAPL,INTU,CRM,V,PYPL,ASML,ZTS,NOW,LIN,A,AMD,LOW,ADI,WDAY,ALGN,TEL,UNH,n/a,LULU,ISRG,BLL,ECL,TEAM,CMG,APTV,EL,MA,MCO,HLT,DHR,FLNC,IQV,TECH,MSCI,VEEV,SQ,PH,BFAM,ADSK,MS,COMP,MCD,MRNA,RIVN,SUM
12/01/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/02/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/06/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/07/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/08/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/09/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/10/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/13/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/14/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/15/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
