,Cash & Cash Equivalents,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,CBA.AX,6758.T,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,BHP.AX,ALV.DE,6861.T,GSK.L,CSL.AX,RIO.L,SU.PA,BP.L,BATS.L,9984.T,AI.PA,RDSA.AS,AIR.PA,ENEL.MI,DAI.DE,RYDBF,388.HK,IBE.MC,BAS.DE,DTE.DE,ADS.DE,WBC.AX,BNP.PA,6098.T,DPW.DE,7974.T,8306.T,KER.PA,SAN.MC,NAB.AX,RKT.L,8035.T,RITN.,BHP.L,4063.T,ABBN.SW,ANZ.AX,BAYN.DE,ZURN.SW,6501.T,DG.PA,UBSG.SW,LONN.SW,REL.L,ABI.BR,7267.T,6594.T,4502.T,AAL.L,IFX.DE,7741.T,EL.PA,PRU.L,9433.T,DSV.CO,INGA.AS,ADYEN.AS,WES.AX,CS.PA,SAF.PA,6954.T,6367.T,BN.PA,SIKA.SW,6981.T,RMS.PA,RI.PA,PRX.AS,ISP.MI,LLOY.L,VOW3.DE,8316.T,INVE B.ST,NG.L,VOD.L,PHIA.AS,9983.T,GIVN.SW,BBVA.MC,GLEN.L,D05.SI,BARC.L,ATCO A.ST,VWS.CO,MQG.AX,STLA.MI,CRH.L,CPG.L,6702.T,MUV2.DE,ITX.MC,ERIC B.ST,8031.T,9434.T,NDA SE.ST,3382.T,VNA.DE,LSEG.L,EXPN.L,PGHN.SW,ALC.SW,8058.T,8411.T,4568.T,8001.T,VOLV B.ST,WOW.AX,SGO.PA,RIO.AX,BMW.DE,6273.T,AHT.L,CLNX.MC,9432.T,DSM.AS,DB1.DE,DSY.PA,AMS.MC,4503.T,ASSA B.ST,FLTR.L,2413.T,FERG.L,AD.AS,O39.SI,CAP.PA,HEIA.AS,ENI.MI,4452.T,HOLN.SW,TCL.AX,6902.T,4661.T,8766.T,HEXA B.ST,NOKIA.HE,EVO.ST,LR.PA,FMG.AX,SAND.ST,4911.T,ORSTED.CO,GEBN.SW,GMAB.CO,KNEBV.HE,6752.T,SREN.SW,ML.PA,WKL.AS,4901.T,ZAL.DE,EOAN.DE,STM.PA,DBK.DE,GMG.AX,NESTE.HE,MRK.DE,5108.T,CSGN.SW,4519.T,4543.T,6503.T,RACE.MI,TSCO.L,VIV.PA,UCG.MI,RWE.DE,ENGI.PA,BT.A.L,SAMPO.HE,669.HK,TEP.PA,4523.T,GLE.PA,2914.T,TEF.MC,WLN.PA,BA.L,7733.T,AKZA.AS,DSYA.,DHER.DE,FRE.DE,7751.T,MT.AS,KRZ.IR,6301.T,n/a,U11.SI,SSE.L,CFR.SW,SE,7309.T,SEB A.ST,8591.T,EQNR.OL,8750.T,6869.T,6326.T,G.MI,9022.T,VIE.PA,KBC.BR,LGEN.L,SUM
07/09/2021,3.26,2.04,1.64,1.53,1.23,1.16,1.07,0.9,0.89,0.86,0.85,0.84,0.75,0.73,0.68,0.67,0.66,0.64,0.64,0.63,0.62,0.59,0.57,0.57,0.54,0.52,0.49,0.49,0.48,0.48,0.47,0.46,0.44,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.09
07/12/2021,2.79,2.07,1.66,1.55,1.25,1.18,1.06,0.9,0.9,0.84,0.89,0.86,0.75,0.72,0.69,0.67,0.67,0.64,0.63,0.64,0.63,0.6,0.57,0.57,0.54,0.54,0.5,0.5,0.48,0.48,0.47,0.47,0.45,0.44,0.43,0.43,0.44,0.41,0.43,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.38,0.37,0.37,0.36,0.36,0.36,0.38,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1
07/13/2021,2.79,2.07,1.66,1.55,1.25,1.18,1.06,0.9,0.9,0.84,0.89,0.86,0.75,0.72,0.69,0.67,0.67,0.64,0.63,0.64,0.63,0.6,0.57,0.57,0.54,0.54,0.5,0.5,0.48,0.48,0.47,0.47,0.45,0.44,0.43,0.43,0.44,0.41,0.43,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.38,0.37,0.37,0.36,0.36,0.36,0.38,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1
07/14/2021,2.79,2.07,1.66,1.55,1.25,1.18,1.06,0.9,0.9,0.84,0.89,0.86,0.75,0.72,0.69,0.67,0.67,0.64,0.63,0.64,0.63,0.6,0.57,0.57,0.54,0.54,0.5,0.5,0.48,0.48,0.47,0.47,0.45,0.44,0.43,0.43,0.44,0.41,0.43,0.41,0.41,0.4,0.39,0.39,0.39,0.37,0.37,0.38,0.37,0.37,0.36,0.36,0.36,0.38,0.33,0.36,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.3,0.29,0.3,0.3,0.31,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.26,0.27,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1
07/15/2021,2.95,2.06,1.67,1.55,1.25,1.17,1.07,0.9,0.89,0.83,0.88,0.85,0.75,0.74,0.69,0.66,0.68,0.63,0.63,0.64,0.64,0.59,0.58,0.57,0.54,0.54,0.5,0.49,0.48,0.49,0.48,0.46,0.44,0.44,0.42,0.42,0.44,0.41,0.42,0.41,0.41,0.4,0.39,0.4,0.39,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.37,0.33,0.35,0.34,0.34,0.34,0.33,0.33,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.27,0.25,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.14999999999999
07/16/2021,3.43,2.05,1.68,1.54,1.24,1.16,1.07,0.9,0.89,0.85,0.89,0.85,0.74,0.74,0.69,0.66,0.67,0.64,0.62,0.63,0.63,0.58,0.58,0.57,0.54,0.53,0.5,0.48,0.48,0.49,0.47,0.46,0.43,0.44,0.42,0.41,0.45,0.4,0.42,0.41,0.41,0.39,0.39,0.39,0.39,0.37,0.38,0.37,0.35,0.36,0.36,0.35,0.36,0.37,0.33,0.35,0.33,0.33,0.34,0.34,0.32,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.29,0.29,0.3,0.28,0.29,0.29,0.27,0.29,0.28,0.28,0.26,0.28,0.28,0.26,0.27,0.27,0.27,0.26,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.25,0.24,0.24,0.25,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.0,0.17,0.18,0.19,0.16,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.28
07/19/2021,3.16,2.05,1.7,1.55,1.25,1.16,1.08,0.86,0.89,0.85,0.88,0.86,0.74,0.75,0.67,0.66,0.67,0.64,0.62,0.64,0.65,0.59,0.58,0.56,0.53,0.54,0.5,0.47,0.48,0.49,0.48,0.45,0.44,0.44,0.42,0.41,0.45,0.4,0.42,0.41,0.41,0.39,0.39,0.4,0.39,0.37,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.37,0.33,0.35,0.33,0.34,0.34,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.31,0.31,0.3,0.29,0.29,0.3,0.29,0.3,0.29,0.28,0.3,0.28,0.28,0.26,0.27,0.28,0.26,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.27,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.21,0.22,0.22,0.22,0.2,0.22,0.22,0.2,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.22,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.0,0.17,0.19,0.19,0.16,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.13,0.14,0.13,0.14,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22
07/20/2021,3.16,2.05,1.7,1.55,1.25,1.16,1.08,0.86,0.89,0.85,0.88,0.86,0.74,0.75,0.67,0.66,0.67,0.64,0.62,0.64,0.65,0.59,0.58,0.56,0.53,0.54,0.5,0.47,0.48,0.49,0.48,0.45,0.44,0.44,0.42,0.41,0.45,0.4,0.42,0.41,0.41,0.39,0.39,0.4,0.39,0.37,0.38,0.38,0.36,0.36,0.36,0.36,0.36,0.37,0.33,0.35,0.33,0.34,0.34,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.31,0.31,0.3,0.29,0.29,0.3,0.29,0.3,0.29,0.28,0.3,0.28,0.28,0.26,0.27,0.28,0.26,0.28,0.27,0.27,0.26,0.27,0.25,0.26,0.27,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.25,0.23,0.24,0.25,0.21,0.22,0.22,0.22,0.2,0.22,0.22,0.2,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.22,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.0,0.17,0.19,0.19,0.16,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.0,0.13,0.14,0.13,0.14,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.22
07/22/2021,3.43,2.1,1.67,1.59,1.22,1.17,1.1,0.87,0.91,0.84,0.88,0.89,0.74,0.73,0.66,0.64,0.68,0.64,0.6,0.65,0.64,0.57,0.58,0.56,0.55,0.51,0.49,0.45,0.48,0.49,0.48,0.43,0.42,0.42,0.41,0.39,0.47,0.4,0.41,0.4,0.4,0.39,0.37,0.4,0.39,0.37,0.38,0.37,0.35,0.36,0.37,0.36,0.36,0.36,0.33,0.35,0.33,0.33,0.34,0.33,0.31,0.31,0.31,0.31,0.29,0.3,0.31,0.31,0.29,0.28,0.29,0.29,0.28,0.3,0.29,0.27,0.3,0.29,0.28,0.26,0.27,0.29,0.27,0.28,0.27,0.27,0.26,0.27,0.24,0.24,0.26,0.25,0.26,0.26,0.24,0.25,0.24,0.26,0.23,0.23,0.23,0.22,0.25,0.21,0.23,0.21,0.22,0.2,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.21,0.21,0.2,0.22,0.21,0.2,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.0,0.17,0.19,0.19,0.16,0.17,0.18,0.18,0.17,0.18,0.17,0.16,0.18,0.17,0.17,0.16,0.16,0.18,0.17,0.18,0.16,0.17,0.18,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.16,0.15,0.14,0.16,0.15,0.16,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.13,0.14,0.2,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.25999999999999
07/23/2021,3.48,2.11,1.67,1.57,1.23,1.17,1.08,1.04,0.9,0.84,0.87,0.88,0.74,0.71,0.67,0.64,0.68,0.64,0.6,0.65,0.62,0.58,0.57,0.56,0.56,0.52,0.49,0.45,0.47,0.48,0.48,0.43,0.43,0.42,0.41,0.39,0.47,0.4,0.42,0.4,0.4,0.38,0.38,0.39,0.39,0.36,0.37,0.37,0.35,0.36,0.36,0.35,0.36,0.37,0.33,0.35,0.33,0.34,0.34,0.32,0.31,0.33,0.31,0.31,0.29,0.29,0.31,0.31,0.29,0.28,0.29,0.29,0.28,0.3,0.29,0.27,0.29,0.29,0.28,0.26,0.26,0.29,0.27,0.28,0.27,0.27,0.26,0.27,0.25,0.25,0.26,0.25,0.26,0.25,0.24,0.25,0.23,0.26,0.23,0.24,0.23,0.23,0.26,0.21,0.22,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.22,0.21,0.21,0.21,0.19,0.22,0.21,0.2,0.2,0.2,0.2,0.21,0.19,0.21,0.2,0.19,0.19,0.19,0.2,0.19,0.2,0.2,0.18,0.0,0.17,0.19,0.19,0.16,0.17,0.18,0.18,0.17,0.18,0.17,0.16,0.18,0.17,0.17,0.16,0.16,0.17,0.17,0.18,0.16,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.17,0.15,0.14,0.16,0.15,0.14,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.0,0.0,0.14,0.13,0.13,0.14,0.13,0.13,0.19,0.13,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.31
