,NTES,BIDU,700.HK,BILI,WB,788.HK,IQ,002624 C2,002602 C2,603444 C1,MOMO,1060.HK,1024.HK,300413 C2,002555 C2,HUYA,002027 C2,300251 C2,YY,ATHM,002127 C2,002558 C2,DOYU,300418 C2,002131 C2,601098 C1,CASH,TME,772.HK,1236 HK,n/a,600050 C1,002602.SZ,603444.SS,MOMOUSD,300413.SZ,002555.SZ,002027.SZ,002624.SZ,300251.SZ,002127.SZ,300418.SZ,002558.SZ,FRGXX,002131.SZ,601098.SS,1236EUR,3888.HK,SUM
07/09/2021,10.3,9.74,9.14,6.91,4.41,4.38,3.79,3.6,3.32,3.29,3.29,3.1,3.1,3.06,3.05,3.02,2.99,2.77,2.75,2.71,2.32,2.06,1.98,1.91,1.43,1.43,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,10.26,9.5,8.95,6.6,4.72,4.5,3.53,3.54,3.32,3.47,3.26,3.18,3.01,3.03,3.14,2.91,3.0,2.76,2.69,2.93,2.55,2.11,2.04,1.92,1.47,1.46,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/13/2021,10.26,9.5,8.95,6.6,4.72,4.5,3.53,3.54,3.32,3.47,3.26,3.18,3.01,3.03,3.14,2.91,3.0,2.76,2.69,2.93,2.55,2.11,2.04,1.92,1.47,1.46,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/14/2021,10.42,9.67,9.01,6.95,4.69,4.48,3.55,3.39,3.28,3.46,3.18,3.14,2.84,2.99,3.06,2.89,3.0,2.67,2.73,2.86,2.58,2.08,1.99,1.97,1.47,1.48,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/15/2021,10.51,9.65,8.97,6.98,4.72,4.5,3.54,3.12,3.29,3.57,3.18,3.21,2.78,3.03,3.14,2.85,3.03,2.86,2.64,2.85,2.51,2.09,1.82,2.02,1.5,1.48,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,10.54,9.61,9.08,7.02,4.74,4.38,3.46,3.1,3.23,3.44,3.15,3.19,2.86,3.1,3.13,2.94,3.01,2.81,2.76,2.87,2.53,2.03,1.86,2.03,1.54,1.45,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,10.77,9.68,9.25,7.01,4.79,4.39,3.35,3.23,3.14,3.15,3.15,3.2,2.81,3.07,3.2,2.96,3.02,2.7,2.79,2.84,2.73,1.95,1.71,2.0,1.5,1.46,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/20/2021,10.77,9.68,9.25,7.01,4.79,4.39,3.35,3.23,3.14,3.15,3.15,3.2,2.81,3.07,3.2,2.96,3.02,2.7,2.79,2.84,2.73,1.95,1.71,2.0,1.5,1.46,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97999999999998
07/21/2021,10.68,9.49,9.35,7.03,4.67,4.44,3.28,3.3,3.28,3.44,3.02,3.24,2.78,3.09,3.28,2.91,2.97,2.76,2.75,2.78,2.72,1.95,1.66,2.02,1.51,1.47,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,10.87,9.47,9.25,7.11,4.75,4.51,3.33,3.23,3.3,3.46,2.93,3.29,2.66,3.07,3.28,2.77,3.01,2.8,2.66,2.78,2.75,1.98,1.64,1.98,1.51,1.49,0.09,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
