,2330.TW,700.HK,9988.HK,005930.KS,3690.HK,NPN.JO,VALE3.SA,RELIANCE.NS,939.HK,INFY.NS,XTSLA,JD,NIO,2318.HK,2269.HK,000660.KS,HDFC.NS,005935.KQ,BIDU,PDD,2454.TW,2317.TW,1810.HK,NTES,035420.KS,SBER.ME,GAZP.ME,ICICIBANK.NS,035720.KS,TCS.NS,LKOH.ME,1120.SR,006400.KS,051910.KS,1180.SR,1398.HK,M4B.,127.HK,005380.KS,2010.SR,ITUB4.SA,3988.HK,PETR4.SA,YUMC,HINDUNILVR.NS,2331.HK,AMXL.MX,BBDC4.SA,2020.HK,600519.SS,BBCA.JK,AXISBANK.NS,127.HK.1,068270.KS,005490.KS,2303.TW,BY6.,PETR3.SA,2382.HK,BAJFINANCE.NS,QNBK.QA,GMKN.ME,YNDX,7010.SR,000270.KS,2308.TW,NVTK.L,2313.HK,B3SA3.SA,FAB.,2222.SR,BILI,NBK.,2603.TW,127.HK.2,105560.KS,2319.HK,FSR.JO,TCOM,175.HK,127.HK.3,BHARTIARTL.NS,GFNORTEO.MX,2881.TW,BEKE,012330.KS,2002.TW,FEMSAUBD.MX,WALMEX.MX,ABEV3.SA,1303.TW,BGNE,ASIANPAINT.NS,LI,055550.KS,066570.KS,2688.HK,6098.HK,BBRI.JK,2412.TW,GMEXICOB.MX,2882.TW,1301.TW,PBBANK.KL,HCLTECH.NS,CHL.,XPEV,051900.KS,2891.TW,MARUTI.NS,LT.NS,IMP.JO,ZLAB,1801.HK,3711.TW,1109.HK,1093.HK,127.HK.4,KOTAKBANK.NS,291.HK,ZTO,CEMEXCPO.MX,1216.TW,MGLU3.SA,2886.TW,MTN.JO,207940.KS,300750.SZ,SNPMF,PTT-R.BK,OTP.BD,096770.KS,086790.KS,036570.KS,KFH.,WEGE3.SA,SSW.JO,EDU,SBK.JO,3008.TW,000858.SZ,017670.KS,1326.TW,2609.TW,CPALL-R.BK,NTCO3.SA,600036.SS,6415.TW,TCS.L,ETISALAT.,2333.HK,2884.TW,SCVUF,TATN.ME,TLKM.JK,3034.TW,857.HK,011200.KS,TME,SBIN.NS,1177.HK,960.HK,ITSA4.SA,WIPRO.NS,028260.KS,1010.SR,TATASTEEL.NS,968.HK,CPI.JO,HTHT,384.HK,ULTRACEMCO.NS,2357.TW,EMIRATESNBD.DB,2885.TW,TECHM.NS,5871.TW,ROSN.ME,M&M.NS,1288.HK,1101.TW,TAL,SUZB3.SA,1918.HK,GNDI3.SA,009150.KS,DRREDDY.NS,SOL.JO,688.HK,PKO.WA,2382.TW,241.HK,2379.TW,2007.HK,GLOB,VIPS,091990.KQ,268.HK,TITAN.NS,GFI.JO,HINDALCO.NS,DIVISLAB.NS,SUNPHARMA.NS,JSWSTEEL.NS,ANG.JO,2892.TW,NESTLEIND.NS,1211.SR,ITC.NS,033780.KS,2899.HK,DMART.NS,POLY.L,SUM
07/09/2021,6.07,4.99,4.85,3.94,1.66,1.05,1.05,0.95,0.88,0.84,0.84,0.77,0.76,0.71,0.71,0.69,0.67,0.62,0.62,0.61,0.61,0.58,0.57,0.54,0.53,0.53,0.52,0.51,0.51,0.48,0.45,0.43,0.41,0.4,0.4,0.39,0.38,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44
08/10/2021,6.45,4.13,4.57,4.23,1.21,0.99,1.04,0.99,0.83,0.92,0.8,0.75,0.71,0.68,0.69,0.71,0.76,0.66,0.54,0.48,0.63,0.61,0.61,0.46,0.57,0.56,0.57,0.6,0.5,0.5,0.43,0.47,0.44,0.42,0.41,0.38,0.36,0.14,0.34,0.37,0.34,0.34,0.29,0.32,0.32,0.32,0.35,0.26,0.31,0.25,0.29,0.28,0.0,0.28,0.27,0.31,0.34,0.23,0.28,0.28,0.27,0.27,0.25,0.27,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.16,0.24,0.16,0.0,0.22,0.22,0.23,0.15,0.26,0.0,0.23,0.21,0.22,0.0,0.2,0.19,0.21,0.21,0.18,0.2,0.19,0.19,0.19,0.18,0.18,0.22,0.14,0.18,0.19,0.18,0.19,0.17,0.17,0.19,0.15,0.21,0.15,0.18,0.16,0.18,0.18,0.14,0.15,0.19,0.14,0.15,0.0,0.16,0.14,0.15,0.15,0.16,0.14,0.16,0.16,0.16,0.16,0.14,0.13,0.15,0.13,0.14,0.14,0.15,0.14,0.15,0.0,0.14,0.13,0.11,0.13,0.13,0.0,0.12,0.12,0.12,0.13,0.13,0.14,0.19,0.13,0.12,0.12,0.14,0.14,0.11,0.11,0.0,0.13,0.11,0.1,0.12,0.13,0.13,0.12,0.15,0.14,0.12,0.09,0.12,0.13,0.1,0.11,0.11,0.13,0.13,0.11,0.11,0.1,0.12,0.0,0.1,0.0,0.1,0.12,0.0,0.11,0.1,0.11,0.0,0.0,0.12,0.1,0.12,0.1,0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,68.66
