,XLF,XLV,QQQ,XLK,VLUE,PSCT,IWM,VDE,SCHV,XLY,XHB,ITB,SMH,IBB,SPDR® S&P Biotech ETF,Us Dollars,2424.T,2424.T.1,2424.T.2,Us Dollar Broker,Us Dollar Collateral,Qqq Us 07/19/21 C358,SUM
07/09/2021,12.04,10.84,9.7,9.12,7.69,6.45,6.42,6.1,5.93,5.6,4.64,4.53,3.64,2.86,2.37,1.57,0.89,0.21,-0.61,0.0,0.0,0.0,99.99
07/12/2021,11.89,11.08,9.92,9.32,7.66,6.38,6.35,5.9,5.96,5.71,4.63,4.49,3.62,2.87,2.34,1.09,0.0,0.0,0.0,1.24,0.22,-0.67,100.0
07/13/2021,11.89,11.08,9.92,9.32,7.66,6.38,6.35,5.9,5.96,5.71,4.63,4.49,3.62,2.87,2.34,1.09,0.0,0.0,0.0,1.24,0.22,-0.67,100.0
07/14/2021,12.06,10.97,9.84,9.27,7.69,6.4,6.39,5.94,5.97,5.69,4.63,4.47,3.63,2.86,2.34,1.07,0.0,0.0,0.0,0.91,0.21,-0.36,99.97999999999998
