,2330.TW,BABA,700.HK,005930.KS,INFY.NS,TCS.L,2382.HK,China Construction Bank Corporation (Class H),TCS.NS,Sberbank PAO,NTES,JD,"Ping An Insurance (Group) Company of China, Ltd. (Class H)",SID,2303.TW,IMP.JO,992.HK,2688.HK,3690.HK,Rosneft Oil Company,2313.HK,2379.TW,WIPRO.NS,881.HK,INDUSINDBK.NS,KIO.JO,ASIANPAINT.NS,754.HK,DIVISLAB.NS,PIDILITIND.NS,Severstal PAO,EXX.JO,WALMEX.MX,MMC Norilsk Nickel PJSC,HCLTECH.NS,Q.MX,INFY,TSM,HINDUNILVR.NS,1093.HK,ATCO,NILSY,PBR,1030.HK,2889.TW,S68.SI,Dabur India Limited,AUROPHARMA.NS,WB,BATS.L,EQTL3.SA,2345.TW,MGLU3.SA,GOAU4.SA,US Dollar,VALE3.SA,IEMG,960.HK,MBT.PM,BRITANNIA.NS,021240.KS,VOD.JO,384.HK,1313.HK,VIPS,1918.HK,"International Games System Co., Ltd.",2007.HK,Anhui Conch Cement Company Limited (Class H),ACP.WA,ICBP.JK,EREGL.IS,Gemdale Properties and Investment Corporation Limited,SISE.IS,SUNTV.NS,ATHM,ECOPETROL.BC,CPFE3.SA,3380.HK,NPN.JO,UPL.NS,"Weichai Power Co., Ltd. (Class H)",GGAL,Sinotruk (Hong Kong) Limited,586.HK,Centrais Eletricas Brasileiras S.A. (Electrobras),HDFCAMC.NS,BVXB.,"Shanghai Baosight Software Co., Ltd. (Class B)",EBR,ELET6.SA,743.HK,DOHOL.IS,TOPGLOV.KL,RELIANCE.NS,"United Integrated Services Co., Ltd.",2777.HK,MOMO,JUBLFOOD.NS,TIMS3.SA,VAKBN.IS,"China Life Insurance Co., Limited (Class H)","China Vanke Co, Ltd. (Class H)",SUPERMX.KL,1628.HK,1516.HK,BRITIN 5.5 06/03/24,BRITIN 5.5 06/03/24 N3,SUM
07/09/2021,7.13,5.66,5.62,3.97,2.13,2.08,1.65,1.64,1.54,1.47,1.43,1.4,1.4,1.36,1.34,1.25,1.23,1.19,1.12,1.11,1.11,1.1,1.1,1.09,1.06,1.06,1.05,1.0,0.99,0.98,0.98,0.97,0.97,0.91,0.89,0.89,0.88,0.86,0.83,0.83,0.83,0.8,0.8,0.8,0.78,0.78,0.77,0.75,0.74,0.73,0.72,0.7,0.69,0.67,0.67,0.66,0.64,0.64,0.64,0.63,0.63,0.62,0.61,0.61,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.56,0.56,0.56,0.53,0.52,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.4,0.39,0.36,0.35,0.32,0.31,0.3,0.3,0.28,0.27,0.24,0.22,0.21,0.21,0.19,0.02,0.01,0.0,99.96
07/12/2021,7.08,5.57,5.47,3.86,2.16,2.07,1.65,1.5,1.53,1.49,1.42,1.44,1.35,1.39,1.31,1.23,1.26,1.19,1.09,1.12,1.09,1.11,1.1,1.13,1.08,1.12,1.06,0.97,1.02,1.01,1.06,1.06,0.99,0.93,0.9,0.92,0.9,0.87,0.83,0.86,0.82,0.82,0.8,0.8,0.79,0.79,0.79,0.74,0.77,0.74,0.72,0.7,0.71,0.66,0.73,0.66,0.64,0.62,0.62,0.63,0.6,0.63,0.61,0.61,0.6,0.58,0.58,0.58,0.57,0.6,0.59,0.57,0.55,0.57,0.53,0.54,0.51,0.51,0.48,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.45,0.45,0.44,0.44,0.4,0.38,0.35,0.34,0.31,0.31,0.29,0.29,0.28,0.27,0.24,0.2,0.2,0.22,0.21,0.02,0.01,0.0,99.96
07/13/2021,7.08,5.57,5.47,3.86,2.16,2.07,1.65,1.5,1.53,1.49,1.42,1.44,1.35,1.39,1.31,1.23,1.26,1.19,1.09,1.12,1.09,1.11,1.1,1.13,1.08,1.12,1.06,0.97,1.02,1.01,1.06,1.06,0.99,0.93,0.9,0.92,0.9,0.87,0.83,0.86,0.82,0.82,0.8,0.8,0.79,0.79,0.79,0.74,0.77,0.74,0.72,0.7,0.71,0.66,0.73,0.66,0.64,0.62,0.62,0.63,0.6,0.63,0.61,0.61,0.6,0.58,0.58,0.58,0.57,0.6,0.59,0.57,0.55,0.57,0.53,0.54,0.51,0.51,0.48,0.5,0.5,0.49,0.47,0.46,0.45,0.44,0.45,0.45,0.44,0.44,0.4,0.38,0.35,0.34,0.31,0.31,0.29,0.29,0.28,0.27,0.24,0.2,0.2,0.22,0.21,0.02,0.01,0.0,99.96
08/03/2021,7.19,5.38,4.96,3.89,2.27,1.96,1.72,1.49,1.54,1.56,1.37,1.42,1.31,1.47,1.49,1.37,1.04,1.34,0.86,1.1,1.05,1.29,1.25,1.09,1.05,1.25,1.06,0.74,1.11,1.04,1.21,1.08,1.04,0.99,0.97,0.96,0.95,0.86,0.8,0.91,0.79,0.87,0.8,0.66,0.8,0.86,0.81,0.73,0.74,0.73,0.74,0.7,0.69,0.72,0.88,0.65,0.63,0.56,0.57,0.63,0.69,0.64,0.64,0.57,0.55,0.5,0.63,0.55,0.56,0.62,0.57,0.66,0.49,0.58,0.61,0.4,0.49,0.5,0.4,0.51,0.51,0.51,0.46,0.45,0.42,0.43,0.45,0.47,0.47,0.43,0.39,0.37,0.35,0.36,0.32,0.3,0.24,0.27,0.35,0.28,0.25,0.19,0.17,0.22,0.18,0.02,0.0,0.01,100.02000000000002
