,Cash,Bloomberg Silver Subindex Swap - Citibank Na,Silver Future Sep21,Bloomberg Silver Subindex Swap - Goldman Sachs,Bloomberg Silver Subindex Swap - Ms,Bloomberg Silver Subindex Swap - Ubs Ag,Bloomberg Silver Subindex Swap - Ubs Ag - Cash Offset,Bloomberg Silver Subindex Swap - Ms - Cash Offset,Bloomberg Silver Subindex Swap - Goldman Sachs - Cash Offset,Silver Future Sep21 - Cash Offset,Bloomberg Silver Subindex Swap - Citibank Na - Cash Offset,SUM
07/09/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/12/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/13/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/14/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/15/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/16/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/19/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/20/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/21/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/22/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,100.0
07/23/2021,100.0,46.89,43.88,39.52,36.82,32.89,-32.89,-36.82,-39.52,-43.88,-46.89,99.99999999999999
