,SHOP,SE,AMZN,FVRR,MELI,PYPL,SQ,DOCU,CVNA,ADYEY,AVLR,UBER,RBLX,700.HK,FB,—,CRWD,3690.HK,Z,BKNG,TWLO,ATVI,JD,WIX,LSPD.TO,PDD,ZI,DASH,APT.AX,V,MTCH,CHWY,CHGG,ZEN,ZNGA,CSGP,BABA,ABNB,BILI,RDFN,OLO,DHER.DE,BEKE,RVLV,6618.HK,PLD,OCDO.L,MANH,OZON,KAKZF,PTON,ZAL.DE,OSTK,W,ZO1.DE,3092.T,ETSY,SPOT,COUP,STNE,LYFT,TDOC,7974.T,FTCH,MGLU3.SA,PAGS,REAL,DLO,Us Dollar,Jd Health International Inc Common Stock Usd.0000005,DLocal Ltd Class A,BIGC,6618,LSPD.NE,BILL,NVEI.TO,ADE.OL,TRST.L,n/a,SUM
07/09/2021,6.27,5.94,5.52,4.65,4.21,3.87,3.55,3.54,3.36,2.54,2.5,2.25,2.06,1.88,1.88,1.85,1.84,1.82,1.8,1.75,1.7,1.7,1.68,1.56,1.2,1.13,1.1,1.09,1.08,1.03,1.02,0.98,0.94,0.93,0.92,0.92,0.9,0.88,0.86,0.84,0.75,0.7,0.68,0.65,0.62,0.61,0.61,0.58,0.57,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.47,0.45,0.42,0.4,0.38,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,6.1,5.89,5.73,4.68,4.23,3.99,3.47,3.62,3.5,2.57,2.46,2.16,2.11,1.81,1.88,1.89,1.87,1.72,1.75,1.74,1.69,1.7,1.68,1.56,1.18,1.12,1.11,1.09,1.17,1.04,1.03,0.96,0.94,0.9,0.9,0.95,0.87,0.87,0.81,0.84,0.75,0.73,0.64,0.62,0.61,0.63,0.62,0.58,0.56,0.56,0.55,0.54,0.55,0.52,0.53,0.51,0.52,0.49,0.5,0.47,0.48,0.47,0.44,0.42,0.41,0.35,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,6.1,5.89,5.73,4.68,4.23,3.99,3.47,3.62,3.5,2.57,2.46,2.16,2.11,1.81,1.88,1.89,1.87,1.72,1.75,1.74,1.69,1.7,1.68,1.56,1.18,1.12,1.11,1.09,1.17,1.04,1.03,0.96,0.94,0.9,0.9,0.95,0.87,0.87,0.81,0.84,0.75,0.73,0.64,0.62,0.61,0.63,0.62,0.58,0.56,0.56,0.55,0.54,0.55,0.52,0.53,0.51,0.52,0.49,0.5,0.47,0.48,0.47,0.44,0.42,0.41,0.35,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,6.14,5.99,5.63,4.66,4.24,4.0,3.5,3.56,3.46,2.6,2.44,2.19,2.06,1.82,1.88,1.4,1.85,1.77,1.75,1.74,1.7,1.68,1.72,1.55,1.21,1.12,1.11,1.08,1.11,1.04,1.04,1.0,0.93,0.9,0.87,0.95,0.88,0.9,0.85,0.85,0.76,0.71,0.66,0.66,0.59,0.63,0.62,0.58,0.56,0.55,0.52,0.54,0.59,0.52,0.51,0.5,0.51,0.5,0.49,0.46,0.48,0.46,0.43,0.42,0.41,0.36,0.35,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,6.15,6.0,5.64,4.53,4.17,4.05,3.53,3.57,3.48,2.65,2.4,2.17,2.07,1.81,1.9,1.39,1.83,1.81,1.73,1.75,1.71,1.69,1.71,1.56,1.2,1.12,1.12,1.07,1.12,1.04,1.04,0.99,0.93,0.88,0.88,0.95,0.88,0.88,0.86,0.82,0.8,0.73,0.62,0.67,0.62,0.64,0.63,0.57,0.56,0.57,0.53,0.54,0.58,0.51,0.51,0.5,0.51,0.5,0.49,0.45,0.47,0.45,0.44,0.42,0.42,0.35,0.35,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,6.24,6.11,5.58,4.48,4.23,4.02,3.51,3.51,3.47,2.64,2.38,2.15,2.01,1.88,1.89,1.39,1.83,1.87,1.67,1.74,1.69,1.7,1.79,1.56,1.17,1.14,1.12,1.06,1.11,1.06,1.05,0.98,0.93,0.87,0.88,0.94,0.9,0.86,0.89,0.78,0.8,0.73,0.65,0.67,0.64,0.63,0.62,0.56,0.55,0.57,0.53,0.54,0.59,0.49,0.54,0.5,0.49,0.5,0.48,0.45,0.46,0.45,0.44,0.43,0.43,0.35,0.35,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,6.14,6.06,5.7,4.21,4.27,4.1,3.53,3.55,3.46,2.75,2.3,2.15,1.92,1.98,1.92,1.44,1.81,1.91,1.65,1.78,1.65,1.71,1.86,1.52,1.17,1.16,1.09,1.04,1.02,1.12,1.08,0.94,0.93,0.88,0.88,1.0,0.95,0.86,0.91,0.78,0.76,0.75,0.66,0.63,0.65,0.66,0.61,0.57,0.57,0.58,0.51,0.54,0.54,0.51,0.55,0.5,0.49,0.49,0.43,0.43,0.46,0.44,0.45,0.42,0.47,0.35,0.34,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/20/2021,6.15,6.04,5.62,4.11,4.28,4.08,3.58,3.62,3.48,2.77,2.33,2.14,1.93,1.98,1.9,0.0,1.81,1.92,1.64,1.76,1.69,1.73,1.83,1.51,1.16,1.13,1.09,1.04,1.0,1.12,1.07,0.93,0.93,0.89,0.89,1.0,0.94,0.84,0.91,0.76,0.78,0.75,0.66,0.64,0.0,0.66,0.6,0.57,0.57,0.57,0.5,0.53,0.51,0.49,0.57,0.51,0.5,0.48,0.41,0.42,0.45,0.44,0.45,0.42,0.48,0.36,0.34,0.0,1.63,0.63,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/21/2021,6.15,6.04,5.62,4.11,4.28,4.08,3.58,3.62,3.48,2.77,2.33,2.14,1.93,1.98,1.9,0.0,1.81,1.92,1.64,1.76,1.69,1.73,1.83,1.51,1.16,1.13,1.09,1.04,1.0,1.12,1.07,0.93,0.93,0.89,0.89,1.0,0.94,0.84,0.91,0.76,0.78,0.75,0.66,0.64,0.0,0.66,0.6,0.57,0.57,0.57,0.5,0.53,0.51,0.49,0.57,0.51,0.5,0.48,0.41,0.42,0.45,0.44,0.45,0.42,0.48,0.36,0.34,0.0,1.63,0.63,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,6.28,6.16,5.59,4.38,4.24,4.09,3.52,3.72,3.46,2.72,2.36,2.12,1.97,1.93,1.88,1.44,1.82,1.82,1.65,1.7,1.71,1.71,1.8,1.59,1.14,1.1,1.1,1.1,1.01,1.09,1.02,1.0,0.95,0.88,0.89,0.99,0.93,0.82,0.9,0.77,0.78,0.74,0.63,0.63,0.65,0.66,0.59,0.58,0.56,0.56,0.54,0.53,0.51,0.51,0.54,0.51,0.51,0.48,0.42,0.42,0.43,0.46,0.44,0.41,0.45,0.36,0.33,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
