,NVDA,AMZN,AAPL,MSFT,FB,GOOGL,CRM,DIS,ADBE,GILD,NFLX,V,ORCL,MRNA,INTC,IBM,PYPL,MA,NOW,TXN,REGN,QCOM,DOCU,CRWD,EQIX,AMD,ISRG,MELI,PANW,TWLO,SNOW,FTNT,OKTA,SGEN,INTU,EBAY,DLR,SNAP,ADSK,ADI,HPQ,PLTR,SQ,TWTR,AKAM,FIS,ZS,PINS,HUBS,ETSY,CTXS,MCHP,FISV,SPLK,XLNX,MDB,VMW,WDC,GPN,BAH,ANSS,AME,NTAP,PFPT,NTLA,JNPR,FICO,FATE,NVTA,VRNS,CACI,EXEL,SRPT,TWST,PTC,DBX,GDDY,EVBG,BPMC,SAIC,LUMN,CONE,CGNX,RPD,FEYE,SAIL,FLT,NTNX,MKTX,BSY,ALRM,TENB,QLYS,SSNC,EDIT,FSLY,TDC,COR,NSTG,BCRX,QTS,BILL,PSTG,APPN,SWTX,PEGA,LSCC,CLDR,CALX,VIR,MSTR,AVLR,AYX,XTSLA,BKI,JKHY,SLAB,MANT,SPT,MCFE,CVLT,GWRE,LGND,BLUE,FGEN,INO,TW,ALLO,WEX,MGNX,DDD,BL,SWCH,CNST,DOMO,SGMO,EEFT,AIMC,PRGS,IRBT,PSNL,PRLB,ACIW,VXRT,WK,AGEN,ADS,ZUO,QTWO,ALTR,FUBO,OMF,PING,DCT,FARO,TCRR,ZIOP,VIRT,ATEN,ISEE,SUMO,ARCT,NCNO,FOUR,LPRO,BCOR,WRLD,DFIN,ENVA,EPAY,EVOP,CEVA,RPAY,MSP,GDOT,EBIX,IIIV,SGAFT,IXTU1,USD,NQU1,RTYU1,RTYZ1,IXTZ1,SUM
07/09/2021,4.34,4.23,4.16,4.08,3.94,3.89,3.8,3.32,2.99,2.62,2.48,2.46,2.46,2.43,2.38,2.11,2.09,2.0,1.87,1.86,1.8,1.67,1.59,1.49,1.25,1.2,1.17,1.16,1.08,1.07,1.06,0.99,0.9,0.84,0.81,0.77,0.73,0.71,0.68,0.65,0.64,0.59,0.58,0.57,0.55,0.54,0.5,0.45,0.45,0.43,0.41,0.41,0.4,0.4,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.29,0.27,0.25,0.25,0.24,0.2,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,4.21,4.33,4.23,4.11,3.89,3.88,3.77,3.33,3.06,2.61,2.45,2.45,2.55,2.45,2.37,2.16,2.12,1.98,1.89,1.84,1.8,1.65,1.6,1.49,1.27,1.15,1.19,1.15,1.07,1.06,1.11,1.01,0.91,0.82,0.82,0.77,0.75,0.64,0.69,0.64,0.64,0.55,0.56,0.55,0.55,0.54,0.51,0.43,0.46,0.42,0.42,0.4,0.4,0.39,0.35,0.35,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.29,0.28,0.26,0.25,0.24,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/13/2021,4.21,4.33,4.23,4.11,3.89,3.88,3.77,3.33,3.06,2.61,2.45,2.45,2.55,2.45,2.37,2.16,2.12,1.98,1.89,1.84,1.8,1.65,1.6,1.49,1.27,1.15,1.19,1.15,1.07,1.06,1.11,1.01,0.91,0.82,0.82,0.77,0.75,0.64,0.69,0.64,0.64,0.55,0.56,0.55,0.55,0.54,0.51,0.43,0.46,0.42,0.42,0.4,0.4,0.39,0.35,0.35,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.29,0.28,0.26,0.25,0.24,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
07/14/2021,4.2,4.27,4.25,4.08,3.91,3.86,3.72,3.38,3.02,2.61,2.45,2.45,2.59,2.43,2.38,2.15,2.14,1.98,1.89,1.84,1.8,1.68,1.58,1.49,1.25,1.16,1.17,1.16,1.07,1.07,1.19,1.01,0.9,0.81,0.81,0.77,0.74,0.68,0.68,0.64,0.64,0.55,0.57,0.56,0.55,0.54,0.51,0.43,0.45,0.42,0.41,0.41,0.4,0.38,0.35,0.35,0.36,0.36,0.34,0.34,0.32,0.33,0.31,0.29,0.28,0.26,0.25,0.24,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.14,0.13,0.13,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,4.25,4.23,4.27,4.14,3.93,3.93,3.71,3.51,3.03,2.6,2.48,2.49,2.58,2.46,2.42,2.13,2.15,2.04,1.87,1.86,1.79,1.68,1.56,1.47,1.25,1.15,1.18,1.16,1.07,1.06,1.17,1.02,0.89,0.79,0.82,0.77,0.74,0.66,0.68,0.65,0.6,0.53,0.57,0.57,0.54,0.55,0.51,0.41,0.43,0.41,0.41,0.41,0.4,0.38,0.35,0.35,0.34,0.36,0.34,0.34,0.32,0.33,0.3,0.29,0.26,0.26,0.25,0.22,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.12,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/19/2021,4.02,4.22,4.39,4.17,3.88,3.95,3.65,3.55,3.07,2.64,2.51,2.58,2.58,2.74,2.39,2.16,2.14,2.09,1.89,1.84,1.84,1.69,1.54,1.42,1.28,1.12,1.19,1.14,1.08,1.01,1.12,1.02,0.86,0.8,0.82,0.77,0.76,0.63,0.69,0.64,0.6,0.52,0.56,0.56,0.55,0.56,0.49,0.4,0.42,0.4,0.41,0.39,0.41,0.37,0.34,0.33,0.35,0.34,0.35,0.35,0.33,0.33,0.3,0.29,0.26,0.27,0.25,0.21,0.17,0.17,0.18,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.13,0.12,0.13,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,100.03
07/20/2021,4.02,4.22,4.39,4.17,3.88,3.95,3.65,3.55,3.07,2.64,2.51,2.58,2.58,2.74,2.39,2.16,2.14,2.09,1.89,1.84,1.84,1.69,1.54,1.42,1.28,1.12,1.19,1.14,1.08,1.01,1.12,1.02,0.86,0.8,0.82,0.77,0.76,0.63,0.69,0.64,0.6,0.52,0.56,0.56,0.55,0.56,0.49,0.4,0.42,0.4,0.41,0.39,0.41,0.37,0.34,0.33,0.35,0.34,0.35,0.35,0.33,0.33,0.3,0.29,0.26,0.27,0.25,0.21,0.17,0.17,0.18,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.16,0.13,0.12,0.13,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.06,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,100.03
07/22/2021,4.01,4.15,4.24,4.14,3.83,3.9,3.67,3.36,3.07,2.65,2.48,2.51,2.62,3.33,2.36,2.13,2.14,1.97,1.89,1.84,1.84,1.67,1.62,1.43,1.29,1.12,1.17,1.14,1.09,1.05,1.13,1.03,0.88,0.81,0.82,0.78,0.76,0.62,0.67,0.63,0.6,0.52,0.56,0.55,0.56,0.54,0.51,0.41,0.43,0.42,0.41,0.38,0.4,0.38,0.34,0.34,0.35,0.33,0.34,0.34,0.32,0.33,0.3,0.29,0.26,0.25,0.25,0.22,0.18,0.18,0.18,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.07,0.08,0.07,0.08,0.07,0.08,0.08,0.1,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.06,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/23/2021,3.92,4.12,4.29,4.12,3.82,3.9,3.66,3.38,3.06,2.65,2.44,2.5,2.63,3.22,2.35,2.13,2.13,1.99,1.9,1.83,1.83,1.66,1.66,1.42,1.27,1.11,1.18,1.16,1.1,1.07,1.13,1.05,0.89,0.8,0.82,0.78,0.75,0.64,0.69,0.62,0.6,0.53,0.58,0.56,0.55,0.54,0.51,0.4,0.43,0.42,0.41,0.39,0.4,0.38,0.34,0.34,0.35,0.33,0.34,0.34,0.32,0.33,0.3,0.29,0.27,0.26,0.26,0.23,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.13,0.12,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.09,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/27/2021,4.06,4.13,4.24,4.15,3.87,3.9,3.72,3.3,3.08,2.59,2.32,2.47,2.65,3.33,2.35,2.11,2.14,2.0,1.9,1.76,1.79,1.67,1.67,1.46,1.23,1.15,1.19,1.18,1.08,1.09,1.16,1.06,0.88,0.78,0.83,0.79,0.73,0.64,0.7,0.62,0.58,0.52,0.6,0.56,0.54,0.54,0.52,0.41,0.44,0.43,0.4,0.39,0.4,0.39,0.35,0.34,0.35,0.32,0.34,0.34,0.32,0.33,0.29,0.28,0.27,0.25,0.26,0.23,0.17,0.18,0.18,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.17,0.14,0.13,0.12,0.12,0.1,0.1,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.1,0.07,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.03,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
