,CDXS,OPRX,MDB,ATEC,SQ,APPS,TWTR,VYGR.CN,TWLO,OMER,Z,SI,MNTV,PI,AERI,APLS,TLS,DKNG,PRCH,n/a,ARCT,FB,GOOG,HRTX,DMTK,GLXY.TO,AMRS,CDNA,KRYS,NET,TWST,CRSP,CEVA,SDGR,FATE,BABA,TCEHY,TRHC,FGXXX,MAPS,IDYA,VOYG.TO,DOCS,UCD.,VYGVF,BRPHF,CVT,ROVR,BEAM,SUM
08/25/2021,5.62,5.44,5.39,4.99,4.85,4.75,4.63,4.58,4.45,4.27,4.21,3.97,3.72,3.48,2.91,2.85,2.6,2.43,2.36,2.12,2.08,2.07,1.91,1.76,1.22,1.19,1.14,1.12,1.06,1.0,0.97,0.92,0.92,0.89,0.88,0.66,0.5,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/26/2021,5.68,5.54,5.31,5.0,4.8,4.81,4.58,4.59,4.39,4.16,4.13,4.1,3.73,3.51,2.88,2.77,2.59,2.4,2.59,0.1,2.12,2.01,1.88,1.79,1.23,1.12,1.14,1.11,1.08,1.0,1.0,0.95,0.91,0.9,0.91,0.65,0.49,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,5.75,5.68,5.34,5.0,4.72,4.97,4.49,4.41,4.41,4.19,4.05,4.09,3.64,3.52,2.79,2.7,2.65,2.5,2.69,2.04,2.11,1.99,1.84,1.83,1.22,1.11,1.12,1.13,1.06,0.98,1.04,0.94,0.9,0.97,0.89,0.68,0.53,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/30/2021,5.93,5.73,5.41,4.89,4.44,4.8,4.41,4.23,4.39,4.25,4.06,4.08,3.64,3.67,2.74,2.84,2.71,2.35,2.79,1.96,2.26,1.78,1.72,1.83,1.2,1.03,1.18,1.12,1.07,0.96,0.98,0.91,0.9,0.92,0.89,0.48,0.51,0.0,0.07,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/31/2021,5.93,5.73,5.41,4.89,4.44,4.8,4.41,4.23,4.39,4.25,4.06,4.08,3.64,3.67,2.74,2.84,2.71,2.35,2.79,1.96,2.26,1.78,1.72,1.83,1.2,1.03,1.18,1.12,1.07,0.96,0.98,0.91,0.9,0.92,0.89,0.48,0.51,0.0,0.07,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,6.06,5.76,5.35,4.88,4.41,4.8,4.34,4.13,4.36,4.21,4.01,4.15,3.6,3.83,2.72,2.86,2.69,2.37,2.85,1.98,2.27,1.77,1.7,1.79,1.22,1.06,1.21,1.13,1.06,0.95,0.99,0.9,0.92,0.94,0.88,0.45,0.48,0.0,0.07,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,6.06,5.76,5.35,4.88,4.41,4.8,4.34,4.13,4.36,4.21,4.01,4.15,3.6,3.83,2.72,2.86,2.69,2.37,2.85,1.98,2.27,1.77,1.7,1.79,1.22,1.06,1.21,1.13,1.06,0.95,0.99,0.9,0.92,0.94,0.88,0.45,0.48,0.0,0.07,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,6.04,5.81,5.39,5.05,4.5,4.7,4.45,4.08,4.45,4.21,3.91,4.05,3.58,3.77,2.71,2.83,2.67,2.36,2.81,0.07,2.16,1.82,1.73,1.81,1.22,1.07,1.15,1.14,1.06,0.96,0.98,0.88,0.93,0.94,0.87,0.46,0.48,0.0,0.0,2.03,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/06/2021,6.19,5.64,5.19,5.39,4.3,5.31,4.37,4.36,4.22,4.16,3.88,4.07,3.5,3.59,2.68,2.71,2.6,2.32,2.95,2.03,2.2,1.77,1.67,1.78,1.22,1.08,1.09,1.04,1.1,0.95,1.01,0.9,0.91,0.98,0.89,0.48,0.52,0.0,0.07,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,6.12,5.77,5.23,5.33,4.21,5.56,4.25,4.32,4.16,4.11,3.85,4.16,3.53,3.55,2.66,2.59,2.61,2.32,3.03,0.0,2.21,1.72,1.64,1.78,1.22,1.16,1.09,1.05,1.1,0.96,1.0,0.89,0.89,0.99,0.88,0.47,0.5,0.0,0.01,2.18,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
