,PGR,ALL,CB,TRV,AIG,SIGI,RLI,AIZ,ACGL,WRB,THG,RNR,KMPR,CINF,RE,HIG,AFG,AXS,MCY,SPNT,HMN,JRVR,PRA,UVE,Cash/Receivables/Payables,AGPXX,95IE.L,n/a,ALS.,SUM
01/05/2022,8.25,0.0,8.04,7.95,8.07,4.05,4.07,3.83,4.11,4.01,4.02,4.1,3.54,3.74,3.99,3.9,3.84,4.09,2.78,1.25,1.52,1.02,1.29,0.5,0.0,0.0,0.0,-0.06,8.08,99.98
01/06/2022,8.21,0.0,7.98,7.93,8.16,3.98,4.07,3.84,4.13,3.97,4.03,4.07,3.61,3.71,3.98,3.93,3.8,4.07,2.8,1.28,1.52,1.01,1.28,0.5,0.0,0.0,0.0,-0.01,8.14,99.99
01/07/2022,8.11,0.0,8.05,7.99,8.28,3.9,4.03,3.83,4.12,3.97,4.05,3.95,3.6,3.75,3.93,3.95,3.81,4.07,2.8,1.27,1.51,0.98,1.28,0.5,0.0,0.02,0.0,0.0,8.22,99.97
01/10/2022,8.3,0.0,8.08,8.09,8.24,3.84,4.01,3.75,4.07,3.96,4.03,3.93,3.58,3.74,3.92,3.96,3.77,4.09,2.83,1.27,1.5,0.98,1.26,0.54,0.0,0.02,0.0,0.0,8.25,100.01
01/11/2022,8.45,8.33,8.06,8.14,8.3,3.79,3.94,3.75,4.01,3.97,4.03,3.88,3.66,3.75,3.92,3.92,3.71,4.01,2.84,1.25,1.5,0.98,1.25,0.52,0.0,0.05,0.0,0.0,0.0,100.01
01/12/2022,8.45,8.33,8.06,8.14,8.3,3.79,3.94,3.75,4.01,3.97,4.03,3.88,3.66,3.75,3.92,3.92,3.71,4.01,2.84,1.25,1.5,0.98,1.25,0.52,0.0,0.05,0.0,0.0,0.0,100.01
01/13/2022,8.54,8.2,8.0,8.06,8.43,3.81,3.94,3.71,4.11,3.97,4.02,3.91,3.55,3.75,3.94,3.92,3.69,4.02,2.8,1.26,1.49,1.01,1.26,0.55,0.0,0.05,0.0,0.0,0.0,99.99
01/14/2022,8.43,0.0,8.0,7.99,8.45,3.82,3.9,3.72,4.13,3.99,4.02,3.92,3.62,3.77,4.01,3.94,3.67,4.06,2.81,1.26,1.47,0.98,1.24,0.55,0.0,0.05,0.0,0.0,8.19,99.99
01/17/2022,8.45,8.2,7.91,7.97,8.45,3.82,3.85,3.68,4.16,4.04,4.08,3.95,3.65,3.82,3.99,3.93,3.64,4.09,2.79,1.21,1.49,0.99,1.24,0.55,0.0,0.05,0.0,0.0,0.0,100.0
01/18/2022,8.47,8.19,7.84,7.97,8.44,3.75,3.84,3.65,4.21,4.01,4.1,3.99,3.71,3.76,4.06,3.93,3.64,4.11,2.78,1.2,1.5,0.98,1.25,0.55,0.0,0.05,0.0,0.0,0.0,99.98
01/19/2022,8.47,8.19,7.84,7.97,8.44,3.75,3.84,3.65,4.21,4.01,4.1,3.99,3.71,3.76,4.06,3.93,3.64,4.11,2.78,1.2,1.5,0.98,1.25,0.55,0.0,0.05,0.0,0.0,0.0,99.98
01/20/2022,8.47,8.19,7.84,7.97,8.44,3.75,3.84,3.65,4.21,4.01,4.1,3.99,3.71,3.76,4.06,3.93,3.64,4.11,2.78,1.2,1.5,0.98,1.25,0.55,0.0,0.05,0.0,0.0,0.0,99.97999999999999
