,AAPL,MSFT,ON,COP,DVN,HSY,NEE,EXR,IQV,AZO,CSL,RSG,TMO,ADM,GIS,GOOG,NTAP,BX,KR,WST,BLDR,WRB,HST,CVX,HPQ,BG,IPG,NVDA,CF,MRO,JLL,PFE,ARW,COST,MPWR,RHI,ALB,PSTG,ABBV,WEX,KEYS,PAYX,PANW,AFG,GPK,NFG,ANET,EQR,AN,MCK,PSA,RJF,MCHP,LOW,DLTR,AVT,MRK,UNVR,CBRE,EOG,CC,CACC,DDOG,PAG,ULTA,WLK,PKG,VST,AMZN,VLO,JBL,HRB,GO,ALGM,SBNY,n/a,JNPR,CB,RS,SUM
08/03/2022,7.82,6.39,3.37,3.15,2.76,2.51,2.38,2.18,2.13,2.13,2.02,2.0,1.96,1.95,1.91,1.84,1.81,1.8,1.78,1.77,1.76,1.72,1.67,1.65,1.6,1.59,1.5,1.48,1.35,1.32,1.24,1.16,1.16,1.15,1.12,1.11,1.09,1.03,0.98,0.97,0.95,0.91,0.9,0.84,0.83,0.83,0.8,0.79,0.77,0.72,0.72,0.69,0.68,0.64,0.64,0.63,0.61,0.6,0.59,0.58,0.51,0.5,0.5,0.46,0.44,0.43,0.35,0.34,0.3,0.21,0.18,0.14,0.13,0.13,0.11,0.11,0.08,0.06,0.04,100.05
08/05/2022,7.8,6.34,3.22,3.08,2.71,2.54,2.41,2.18,2.12,2.16,2.01,1.99,1.94,1.99,1.94,1.82,1.83,1.82,1.8,1.75,1.9,1.7,1.68,1.62,1.62,1.62,1.5,1.5,1.34,1.28,1.24,1.17,1.16,1.16,1.12,1.12,1.08,1.03,0.96,0.97,0.95,0.9,0.92,0.82,0.84,0.83,0.8,0.77,0.78,0.73,0.72,0.69,0.69,0.65,0.64,0.64,0.6,0.6,0.59,0.56,0.5,0.51,0.51,0.48,0.45,0.43,0.34,0.34,0.3,0.21,0.18,0.14,0.13,0.13,0.11,0.11,0.08,0.06,0.04,99.99000000000001
