,2SPY  220930C00003480,2SPY  220930C00429150,2SPY  220930P00429170,Cash&Other,2SPY  220930P00390530,2SPY  220930C00452740,SUM
10/15/2021,98.23,8.09,7.54,0.77,-4.86,-9.78,99.99
10/18/2021,99.22,9.07,6.79,0.76,-4.38,-11.47,99.99
10/19/2021,99.63,9.62,6.54,0.76,-4.23,-12.32,100.0
10/20/2021,99.63,9.62,6.54,0.76,-4.23,-12.32,100.0
10/21/2021,99.89,9.94,6.48,0.76,-4.22,-12.85,100.0
10/22/2021,100.47,10.29,6.08,0.75,-3.95,-13.65,99.98999999999998
10/25/2021,100.52,10.52,5.79,0.73,-3.74,-13.84,99.98
10/26/2021,100.75,10.56,5.9,0.74,-3.82,-14.14,99.99
10/27/2021,100.75,10.56,5.9,0.74,-3.82,-14.14,99.99
10/28/2021,100.91,10.94,5.63,0.74,-3.62,-14.59,100.00999999999998
10/29/2021,101.19,10.99,5.63,0.74,-3.63,-14.91,100.01
11/01/2021,101.49,11.35,5.6,0.73,-3.63,-15.54,100.0
11/02/2021,101.63,11.74,5.47,0.72,-3.54,-16.01,100.00999999999998
11/03/2021,101.63,11.74,5.47,0.72,-3.54,-16.01,100.00999999999998
11/04/2021,101.69,11.8,5.44,0.72,-3.52,-16.13,100.0
11/05/2021,102.05,11.91,5.31,0.72,-3.42,-16.56,100.01
11/08/2021,102.7,12.68,5.01,0.71,-3.21,-17.89,100.0
11/09/2021,102.94,12.94,5.01,0.7,-3.24,-18.35,100.0
11/10/2021,102.94,12.94,5.01,0.7,-3.24,-18.35,100.0
11/11/2021,103.06,13.08,5.01,0.7,-3.25,-18.59,100.01
11/12/2021,102.78,12.86,5.12,0.7,-3.32,-18.14,100.0
11/15/2021,102.3,12.27,5.22,0.69,-3.36,-17.13,99.99
11/16/2021,102.78,12.81,4.91,0.69,-3.16,-18.03,100.0
11/17/2021,102.78,12.81,4.91,0.69,-3.16,-18.03,100.0
11/18/2021,101.82,12.62,4.9,1.47,-3.16,-17.66,99.99
11/19/2021,102.21,12.99,4.82,1.48,-3.13,-18.36,100.01
11/22/2021,102.1,12.88,5.05,1.48,-3.31,-18.2,100.0
11/23/2021,102.1,12.88,5.05,1.48,-3.31,-18.2,100.0
11/24/2021,102.38,13.13,5.01,1.47,-3.28,-18.71,100.0
11/25/2021,102.25,13.0,5.13,1.47,-3.36,-18.49,100.0
11/26/2021,102.21,12.93,5.12,1.46,-3.34,-18.38,99.99999999999999
