,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,NVDA,TSLA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,PFE,ABT,KO,NKE,ABBV,PEP,T,TMO,CVX,MRK,ACN,AVGO,WMT,LLY,WFC,DHR,TXN,COST,MCD,MDT,QCOM,ORCL,UPS,PM,HON,LIN,BMY,UNP,NEE,C,AMGN,LOW,INTU,SBUX,MS,BA,RTX,AMAT,IBM,AMT,BLK,GS,TGT,CAT,AMD,MMM,GE,ISRG,NOW,AXP,DE,CVS,SCHW,SQ,CHTR,SPGI,ANTM,LMT,ZTS,XTSLA,BKNG,MU,PLD,FIS,LRCX,MDLZ,MO,ZM,ADP,GILD,TMUS,CCI,SYK,PNC,TJX,COP,CI,DUK,USB,UBER,CME,EL,BDX,COF,MRNA,FDX,MMC,CB,GM,TFC,EQIX,CSX,ATVI,CL,ILMN,NSC,BX,ICE,EW,SHW,ADSK,SO,REGN,BSX,D,ADI,FISV,APD,TWLO,SNAP,ITW,F,DOCU,HCA,GPN,PGR,EMR,HUM,MCO,ETN,CRWD,DG,ECL,VRTX,FCX,BIIB,AON,WM,IDXX,TWTR,NXPI,NOC,JCI,KLAC,IQV,MRVL,EOG,ROP,NEM,ROKU,SNPS,SLB,MET,MTCH,ALGN,DXCM,INFO,CNC,DLR,GD,APTV,CMG,PINS,TROW,EXC,A,PSA,DOW,TT,KMB,MSCI,LHX,WDAY,ROST,TEL,EBAY,LULU,VEEV,STZ,CARR,ALL,PH,BK,AEP,AIG,MCHP,PRU,SYY,TRV,PPG,ALXN,CDNS,ORLY,SRE,EA,BAX,SPG,DD,GIS,PANW,USD,APH,Usd Cash,RMD,YUM,CTSH,GE.,DFS,KKR,MSI,IFF,SBAC,XLNX,SNOW,ABNB,PLTR,FTNT,MAR,MPC,SIVB,PXD,n/a,NET,DDOG,SUM
07/09/2021,4.97,4.67,3.52,1.89,1.69,1.65,1.17,1.15,1.13,1.04,0.99,0.9,0.86,0.77,0.76,0.74,0.73,0.7,0.67,0.64,0.59,0.58,0.54,0.52,0.52,0.51,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.4,0.4,0.39,0.39,0.39,0.38,0.36,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4
07/12/2021,5.05,4.69,3.59,1.86,1.69,1.65,1.17,1.11,1.13,1.03,1.0,0.9,0.87,0.78,0.76,0.75,0.73,0.71,0.66,0.65,0.6,0.57,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.47,0.45,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.39,0.4,0.39,0.4,0.39,0.39,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44
07/13/2021,5.05,4.69,3.59,1.86,1.69,1.65,1.17,1.11,1.13,1.03,1.0,0.9,0.87,0.78,0.76,0.75,0.73,0.71,0.66,0.65,0.6,0.57,0.53,0.52,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.46,0.47,0.45,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.39,0.4,0.39,0.4,0.39,0.39,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.27,0.28,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.21,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.09,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.44
07/14/2021,5.05,4.64,3.54,1.86,1.68,1.64,1.18,1.11,1.12,1.05,0.99,0.9,0.86,0.78,0.76,0.74,0.72,0.71,0.67,0.64,0.59,0.57,0.53,0.51,0.5,0.5,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.4,0.39,0.39,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.29
07/15/2021,5.05,4.64,3.54,1.86,1.68,1.64,1.18,1.11,1.12,1.05,0.99,0.9,0.86,0.78,0.76,0.74,0.72,0.71,0.67,0.64,0.59,0.57,0.53,0.51,0.5,0.5,0.5,0.49,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.4,0.39,0.39,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.27,0.28,0.28,0.28,0.28,0.27,0.27,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.29
07/16/2021,5.08,4.71,3.51,1.88,1.7,1.66,1.18,1.12,1.15,1.05,1.0,0.91,0.88,0.79,0.75,0.75,0.75,0.74,0.67,0.64,0.59,0.57,0.53,0.52,0.5,0.51,0.5,0.49,0.47,0.48,0.46,0.46,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.4,0.39,0.39,0.4,0.39,0.38,0.35,0.35,0.34,0.34,0.35,0.34,0.34,0.32,0.33,0.31,0.31,0.31,0.31,0.31,0.31,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.21,0.21,0.23,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.15,0.14,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.73
07/19/2021,5.21,4.73,3.48,1.85,1.71,1.67,1.19,1.06,1.12,1.05,0.99,0.94,0.89,0.78,0.77,0.76,0.76,0.75,0.65,0.65,0.59,0.56,0.54,0.52,0.49,0.5,0.51,0.5,0.46,0.49,0.46,0.46,0.48,0.45,0.45,0.44,0.44,0.45,0.44,0.43,0.41,0.42,0.4,0.39,0.41,0.4,0.38,0.36,0.35,0.34,0.35,0.36,0.34,0.34,0.33,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.27,0.29,0.27,0.28,0.29,0.28,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.21,0.21,0.14,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.17,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.15,0.17,0.17,0.16,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.14,0.13,0.13,0.15,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81
07/20/2021,5.21,4.73,3.48,1.85,1.71,1.67,1.19,1.06,1.12,1.05,0.99,0.94,0.89,0.78,0.77,0.76,0.76,0.75,0.65,0.65,0.59,0.56,0.54,0.52,0.49,0.5,0.51,0.5,0.46,0.49,0.46,0.46,0.48,0.45,0.45,0.44,0.44,0.45,0.44,0.43,0.41,0.42,0.4,0.39,0.41,0.4,0.38,0.36,0.35,0.34,0.35,0.36,0.34,0.34,0.33,0.34,0.32,0.32,0.31,0.31,0.31,0.31,0.27,0.29,0.27,0.28,0.29,0.28,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.21,0.22,0.22,0.22,0.21,0.21,0.14,0.2,0.19,0.21,0.21,0.2,0.2,0.2,0.17,0.2,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.15,0.17,0.17,0.16,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.14,0.13,0.13,0.15,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.09,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.81
07/21/2021,5.17,4.76,3.45,1.85,1.72,1.69,1.19,1.02,1.12,1.04,1.0,0.95,0.89,0.78,0.77,0.78,0.76,0.73,0.64,0.65,0.59,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.47,0.49,0.46,0.47,0.49,0.46,0.46,0.43,0.45,0.45,0.43,0.44,0.42,0.41,0.41,0.39,0.41,0.39,0.38,0.36,0.36,0.34,0.35,0.36,0.34,0.34,0.33,0.34,0.31,0.32,0.31,0.31,0.32,0.31,0.27,0.29,0.26,0.28,0.29,0.28,0.28,0.28,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.21,0.22,0.23,0.22,0.21,0.21,0.14,0.2,0.19,0.21,0.21,0.19,0.2,0.2,0.17,0.2,0.19,0.2,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.15,0.17,0.17,0.16,0.16,0.2,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.14,0.14,0.13,0.15,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.1,0.12,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.91
07/22/2021,5.11,4.77,3.48,1.85,1.71,1.68,1.18,1.07,1.14,1.02,1.01,0.93,0.88,0.79,0.78,0.79,0.73,0.72,0.64,0.66,0.59,0.54,0.54,0.53,0.5,0.5,0.52,0.51,0.48,0.49,0.46,0.47,0.49,0.45,0.47,0.42,0.45,0.45,0.43,0.44,0.43,0.41,0.41,0.39,0.42,0.39,0.38,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.33,0.35,0.31,0.32,0.31,0.31,0.31,0.3,0.26,0.28,0.27,0.28,0.29,0.27,0.28,0.28,0.26,0.24,0.26,0.24,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.22,0.23,0.22,0.21,0.22,0.15,0.19,0.19,0.21,0.2,0.19,0.21,0.2,0.17,0.2,0.2,0.19,0.2,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.15,0.17,0.17,0.16,0.16,0.22,0.16,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.15,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.1,0.11,0.1,0.0,0.12,0.11,0.11,0.1,0.09,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.09,0.0,0.09,0.09,0.09,0.1,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.87
