,600519.SS,300750.SZ,600036.SS,000858.SZ,601318.SS,601888.SS,300760.SZ,600900.SS,002594.SZ,601166.SS,000001.SZ,601012.SS,603288.SS,600276.SS,600809.SS,603259.SS,600309.SS,300015.SZ,Cash & Cash Equivalents,000568.SZ,300059.SZ,002714.SZ,002475.SZ,601398.SS,002304.SZ,601919.SS,002352.SZ,600000.SS,603501.SS,600436.SS,300122.SZ,600030.SS,000333.SZ,000002.SZ,601288.SS,002142.SZ,600031.SS,600887.SS,601816.SS,002812.SZ,000725.SZ,601899.SS,601601.SS,300124.SZ,601668.SS,300014.SZ,601328.SS,600438.SS,002493.SZ,600019.SS,600104.SS,600585.SS,300782.SZ,600346.SS,600690.SS,600016.SS,601818.SS,002460.SZ,300274.SZ,002241.SZ,600048.SS,600028.SS,000661.SZ,002371.SZ,603799.SS,000538.SZ,002230.SZ,300433.SZ,600703.SS,600999.SS,600196.SS,601088.SS,601658.SS,002311.SZ,600406.SS,600893.SS,000625.SZ,601066.SS,300759.SZ,000063.SZ,601211.SS,600745.SS,002027.SZ,603986.SS,601225.SS,002129.SZ,000338.SZ,603486.SS,601688.SS,600763.SS,601857.SS,601100.SS,601229.SS,300413.SZ,000100.SZ,601009.SS,600837.SS,600919.SS,601988.SS,601390.SS,601989.SS,600660.SS,601633.SS,601169.SS,000166.SZ,300454.SZ,603993.SS,600588.SS,300601.SZ,300999.SZ,603659.SS,601336.SS,002049.SZ,600132.SS,000596.SZ,601628.SS,002709.SZ,601155.SS,603806.SS,300498.SZ,601138.SS,000776.SZ,000895.SZ,001979.SZ,600570.SS,600926.SS,300142.SZ,600760.SS,600989.SS,600111.SS,002179.SZ,300595.SZ,002050.SZ,601985.SS,600015.SS,000799.SZ,300408.SZ,600460.SS,600741.SS,603899.SS,300628.SZ,002841.SZ,002821.SZ,600600.SS,600584.SS,601901.SS,002601.SZ,600010.SS,002001.SZ,600547.SS,600426.SS,600150.SS,600886.SS,000963.SZ,600779.SS,300496.SZ,002007.SZ,601600.SS,603833.SS,000938.SZ,601916.SS,002736.SZ,601877.SS,002064.SZ,000768.SZ,603369.SS,688185.SS,002236.SZ,600845.SS,603737.SS,601939.SS,000069.SZ,300529.SZ,600176.SS,601788.SS,000876.SZ,000157.SZ,002414.SZ,002600.SZ,000786.SZ,002648.SZ,300347.SZ,300316.SZ,000301.SZ,603882.SS,601669.SS,002568.SZ,601360.SS,601377.SS,002024.SZ,002791.SZ,601233.SS,600029.SS,300661.SZ,601799.SS,002916.SZ,300033.SZ,601966.SS,600958.SS,600183.SS,002074.SZ,300207.SZ,601618.SS,600161.SS,002340.SZ,603185.SS,600089.SS,601636.SS,002938.SZ,300223.SZ,002459.SZ,600219.SS,000825.SZ,600115.SS,300724.SZ,600061.SS,300751.SZ,300450.SZ,002202.SZ,n/a,601865.SS,002625.SZ,000723.SZ,601117.SS,600188.SS,688002.SS,000807.SZ,601766.SS,600050.SS,300896.SZ,688012.SS,688111.SS,603392.SS,000009.SZ,601727.SS,688126.SS,603290.SS,688169.SS,000425.SZ,600918.SS,601995.SS,000983.SZ,601216.SS,600362.SS,002080.SZ,600018.SS,002120.SZ,600011.SS,300037.SZ,002602.SZ,601021.SS,688036.SS,002013.SZ,002920.SZ,688008.SS,600233.SS,600039.SS,600875.SS,SUM
07/09/2021,5.89,2.75,2.55,2.46,1.56,1.25,1.2,1.05,1.05,1.03,1.02,1.0,0.95,0.9,0.88,0.86,0.85,0.77,0.77,0.77,0.75,0.74,0.72,0.71,0.71,0.68,0.67,0.67,0.66,0.64,0.64,0.57,0.55,0.54,0.54,0.52,0.51,0.49,0.49,0.48,0.48,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.55
07/12/2021,5.76,2.91,2.37,2.4,1.51,1.18,1.23,1.06,1.05,0.97,0.95,1.11,0.91,0.9,0.9,0.89,0.89,0.79,0.64,0.73,0.78,0.7,0.74,0.69,0.63,0.63,0.7,0.66,0.67,0.62,0.65,0.57,0.55,0.53,0.53,0.48,0.5,0.48,0.49,0.51,0.49,0.47,0.43,0.46,0.44,0.51,0.43,0.44,0.39,0.39,0.39,0.36,0.36,0.33,0.37,0.35,0.34,0.39,0.39,0.32,0.33,0.33,0.35,0.37,0.37,0.31,0.31,0.32,0.32,0.31,0.29,0.3,0.29,0.28,0.33,0.32,0.3,0.29,0.31,0.29,0.28,0.28,0.28,0.29,0.24,0.28,0.26,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.26,0.23,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.23,0.23,0.23,0.27,0.23,0.21,0.23,0.25,0.21,0.24,0.21,0.21,0.2,0.24,0.21,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.23,0.24,0.19,0.25,0.21,0.19,0.19,0.17,0.17,0.17,0.18,0.19,0.17,0.17,0.17,0.18,0.18,0.16,0.18,0.17,0.17,0.2,0.16,0.17,0.18,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35999999999999
07/13/2021,5.76,2.91,2.37,2.4,1.51,1.18,1.23,1.06,1.05,0.97,0.95,1.11,0.91,0.9,0.9,0.89,0.89,0.79,0.64,0.73,0.78,0.7,0.74,0.69,0.63,0.63,0.7,0.66,0.67,0.62,0.65,0.57,0.55,0.53,0.53,0.48,0.5,0.48,0.49,0.51,0.49,0.47,0.43,0.46,0.44,0.51,0.43,0.44,0.39,0.39,0.39,0.36,0.36,0.33,0.37,0.35,0.34,0.39,0.39,0.32,0.33,0.33,0.35,0.37,0.37,0.31,0.31,0.32,0.32,0.31,0.29,0.3,0.29,0.28,0.33,0.32,0.3,0.29,0.31,0.29,0.28,0.28,0.28,0.29,0.24,0.28,0.26,0.25,0.26,0.26,0.25,0.26,0.24,0.24,0.26,0.23,0.25,0.24,0.25,0.24,0.24,0.25,0.26,0.23,0.23,0.23,0.27,0.23,0.21,0.23,0.25,0.21,0.24,0.21,0.21,0.2,0.24,0.21,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.23,0.24,0.19,0.25,0.21,0.19,0.19,0.17,0.17,0.17,0.18,0.19,0.17,0.17,0.17,0.18,0.18,0.16,0.18,0.17,0.17,0.2,0.16,0.17,0.18,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.35999999999999
07/15/2021,5.64,2.97,2.36,2.4,1.47,1.25,1.25,1.02,1.1,0.97,0.93,1.09,0.92,0.9,0.87,0.93,0.9,0.81,0.72,0.75,0.81,0.7,0.71,0.67,0.64,0.65,0.67,0.65,0.69,0.6,0.65,0.57,0.56,0.52,0.52,0.47,0.49,0.47,0.48,0.54,0.48,0.48,0.42,0.46,0.43,0.56,0.42,0.42,0.41,0.38,0.38,0.35,0.35,0.34,0.36,0.35,0.34,0.42,0.38,0.31,0.32,0.32,0.35,0.37,0.4,0.3,0.31,0.31,0.33,0.31,0.3,0.26,0.28,0.28,0.34,0.32,0.3,0.29,0.34,0.31,0.28,0.28,0.27,0.29,0.23,0.29,0.26,0.24,0.26,0.26,0.24,0.27,0.24,0.24,0.25,0.22,0.25,0.23,0.24,0.24,0.24,0.25,0.25,0.23,0.23,0.27,0.27,0.23,0.23,0.23,0.27,0.21,0.24,0.2,0.22,0.2,0.23,0.2,0.23,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.23,0.24,0.2,0.27,0.21,0.19,0.19,0.17,0.17,0.17,0.19,0.19,0.17,0.18,0.17,0.18,0.19,0.16,0.18,0.17,0.17,0.21,0.16,0.16,0.18,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.13,0.15,0.15,0.14,0.16,0.18,0.14,0.14,0.13,0.15,0.14,0.14,0.13,0.14,0.0,0.13,0.14,0.0,0.0,0.13,0.13,0.0,0.14,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.44999999999999
07/16/2021,5.68,2.94,2.33,2.43,1.47,1.26,1.22,1.03,1.09,0.96,0.92,1.06,0.97,0.88,0.95,0.91,0.89,0.81,0.73,0.75,0.79,0.7,0.67,0.67,0.65,0.87,0.68,0.65,0.66,0.59,0.66,0.56,0.57,0.52,0.52,0.47,0.5,0.48,0.48,0.53,0.48,0.47,0.43,0.43,0.44,0.54,0.39,0.44,0.41,0.38,0.38,0.35,0.3,0.34,0.39,0.34,0.34,0.43,0.38,0.31,0.32,0.32,0.34,0.36,0.39,0.31,0.31,0.3,0.32,0.31,0.29,0.26,0.28,0.28,0.34,0.32,0.29,0.28,0.34,0.32,0.28,0.28,0.28,0.27,0.24,0.3,0.26,0.25,0.26,0.26,0.24,0.26,0.24,0.25,0.25,0.22,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.23,0.23,0.28,0.26,0.24,0.23,0.23,0.24,0.21,0.22,0.21,0.22,0.2,0.24,0.2,0.23,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.23,0.25,0.2,0.27,0.21,0.19,0.18,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.16,0.16,0.17,0.17,0.23,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.17,0.15,0.17,0.15,0.16,0.16,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.14,0.14,0.15,0.16,0.14,0.14,0.13,0.15,0.0,0.15,0.15,0.15,0.15,0.18,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.0,0.0,0.14,0.13,0.0,0.13,0.13,0.0,0.15,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5
07/19/2021,5.72,2.96,2.37,2.47,1.48,1.24,1.24,1.03,0.97,0.97,0.95,1.1,1.01,0.86,1.04,0.95,0.91,0.82,0.81,0.76,0.81,0.69,0.66,0.67,0.65,0.61,0.68,0.65,0.64,0.62,0.68,0.56,0.56,0.51,0.52,0.49,0.48,0.49,0.48,0.55,0.48,0.46,0.43,0.43,0.44,0.54,0.39,0.42,0.44,0.4,0.36,0.35,0.31,0.37,0.38,0.34,0.34,0.42,0.42,0.32,0.32,0.32,0.35,0.37,0.37,0.31,0.3,0.3,0.31,0.31,0.31,0.26,0.3,0.28,0.35,0.31,0.27,0.28,0.35,0.32,0.28,0.27,0.28,0.26,0.25,0.32,0.26,0.28,0.25,0.27,0.23,0.28,0.24,0.25,0.25,0.23,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.22,0.27,0.27,0.23,0.23,0.23,0.24,0.21,0.22,0.22,0.21,0.19,0.22,0.19,0.24,0.19,0.19,0.2,0.2,0.19,0.2,0.18,0.23,0.24,0.2,0.29,0.2,0.19,0.18,0.17,0.17,0.18,0.2,0.17,0.16,0.18,0.19,0.17,0.18,0.16,0.16,0.18,0.17,0.24,0.16,0.15,0.17,0.15,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.17,0.14,0.15,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.13,0.13,0.15,0.0,0.15,0.15,0.15,0.15,0.18,0.13,0.14,0.15,0.14,0.14,0.13,0.15,0.15,0.0,0.13,0.13,0.13,0.0,0.0,0.13,0.0,0.16,0.0,0.0,0.13,0.0,0.15,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.69
07/22/2021,5.71,2.76,2.39,2.5,1.48,1.28,1.26,1.0,0.93,0.97,0.94,1.05,0.97,0.88,1.05,0.98,0.89,0.82,0.78,0.77,0.8,0.63,0.67,0.67,0.7,0.63,0.67,0.66,0.64,0.66,0.71,0.57,0.56,0.51,0.52,0.51,0.48,0.48,0.48,0.48,0.49,0.46,0.43,0.43,0.44,0.52,0.39,0.41,0.45,0.4,0.36,0.34,0.3,0.36,0.38,0.34,0.34,0.42,0.41,0.33,0.31,0.31,0.38,0.36,0.36,0.32,0.31,0.3,0.32,0.31,0.34,0.27,0.31,0.27,0.34,0.34,0.27,0.28,0.31,0.34,0.29,0.26,0.27,0.26,0.25,0.32,0.26,0.24,0.26,0.27,0.23,0.3,0.24,0.24,0.26,0.23,0.26,0.24,0.24,0.24,0.23,0.24,0.23,0.21,0.23,0.26,0.27,0.24,0.23,0.23,0.22,0.21,0.23,0.22,0.21,0.2,0.19,0.19,0.23,0.18,0.19,0.2,0.19,0.19,0.2,0.18,0.26,0.24,0.21,0.29,0.21,0.19,0.17,0.17,0.17,0.17,0.19,0.16,0.16,0.17,0.19,0.18,0.18,0.16,0.16,0.18,0.17,0.22,0.16,0.15,0.17,0.16,0.16,0.16,0.17,0.15,0.16,0.17,0.16,0.19,0.15,0.16,0.15,0.15,0.17,0.16,0.13,0.16,0.15,0.14,0.13,0.14,0.15,0.15,0.14,0.0,0.0,0.14,0.0,0.14,0.15,0.15,0.15,0.17,0.13,0.14,0.15,0.14,0.14,0.13,0.15,0.15,0.13,0.15,0.13,0.14,0.0,0.0,0.14,0.0,0.15,0.0,0.0,0.13,0.0,0.14,0.14,0.13,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.49
07/23/2021,5.73,2.79,2.35,2.51,1.45,1.29,1.23,0.99,0.95,0.95,0.91,1.07,0.98,0.91,1.05,0.96,0.86,0.82,0.82,0.76,0.8,0.64,0.68,0.67,0.7,0.61,0.66,0.66,0.64,0.66,0.71,0.57,0.55,0.51,0.52,0.49,0.5,0.48,0.48,0.52,0.48,0.45,0.43,0.45,0.44,0.51,0.39,0.41,0.45,0.38,0.36,0.34,0.31,0.35,0.38,0.33,0.34,0.43,0.41,0.33,0.31,0.31,0.37,0.35,0.37,0.31,0.3,0.29,0.35,0.3,0.34,0.27,0.3,0.28,0.34,0.35,0.28,0.27,0.3,0.34,0.29,0.26,0.27,0.27,0.25,0.32,0.27,0.24,0.26,0.28,0.23,0.3,0.24,0.25,0.26,0.22,0.26,0.24,0.24,0.24,0.23,0.23,0.24,0.21,0.23,0.25,0.27,0.23,0.22,0.22,0.23,0.21,0.24,0.22,0.21,0.2,0.2,0.19,0.23,0.18,0.2,0.2,0.19,0.19,0.2,0.18,0.26,0.24,0.21,0.3,0.21,0.2,0.17,0.17,0.17,0.17,0.19,0.17,0.16,0.17,0.19,0.18,0.19,0.17,0.16,0.17,0.17,0.23,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.14,0.17,0.17,0.16,0.19,0.15,0.16,0.15,0.14,0.17,0.16,0.14,0.16,0.15,0.14,0.0,0.13,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.15,0.14,0.15,0.15,0.18,0.14,0.14,0.15,0.14,0.14,0.13,0.15,0.15,0.13,0.15,0.13,0.14,0.0,0.0,0.14,0.0,0.16,0.0,0.14,0.13,0.0,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5
07/26/2021,5.55,2.91,2.34,2.46,1.44,1.23,1.23,0.96,1.02,0.93,0.89,1.1,0.94,0.87,1.0,0.93,0.86,0.8,0.84,0.72,0.85,0.62,0.64,0.66,0.67,0.6,0.65,0.63,0.62,0.62,0.66,0.57,0.54,0.5,0.52,0.48,0.52,0.48,0.47,0.54,0.47,0.46,0.44,0.47,0.43,0.54,0.39,0.46,0.47,0.4,0.35,0.35,0.31,0.39,0.38,0.33,0.32,0.5,0.46,0.3,0.3,0.31,0.34,0.41,0.39,0.3,0.32,0.29,0.41,0.3,0.35,0.26,0.28,0.27,0.34,0.36,0.28,0.29,0.31,0.33,0.29,0.25,0.28,0.29,0.25,0.33,0.28,0.23,0.26,0.27,0.23,0.31,0.24,0.24,0.25,0.22,0.26,0.24,0.24,0.24,0.23,0.23,0.26,0.21,0.23,0.25,0.27,0.26,0.21,0.21,0.23,0.21,0.24,0.22,0.21,0.2,0.21,0.19,0.26,0.18,0.19,0.2,0.18,0.19,0.2,0.18,0.26,0.26,0.22,0.33,0.21,0.19,0.17,0.17,0.17,0.17,0.2,0.19,0.16,0.16,0.19,0.19,0.19,0.16,0.16,0.17,0.17,0.27,0.16,0.15,0.16,0.15,0.15,0.16,0.17,0.15,0.17,0.18,0.16,0.19,0.15,0.16,0.16,0.15,0.17,0.16,0.0,0.16,0.15,0.14,0.0,0.13,0.14,0.15,0.14,0.0,0.0,0.14,0.0,0.15,0.15,0.14,0.16,0.2,0.14,0.14,0.14,0.14,0.14,0.13,0.16,0.16,0.13,0.16,0.14,0.14,0.0,0.0,0.14,0.0,0.16,0.0,0.14,0.0,0.0,0.15,0.14,0.13,0.0,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.59
07/29/2021,5.39,3.0,2.36,2.32,1.4,1.23,1.2,1.03,1.07,0.93,0.88,1.12,0.98,0.91,0.93,0.91,0.88,0.72,0.82,0.69,0.83,0.58,0.67,0.7,0.66,0.58,0.65,0.66,0.61,0.57,0.59,0.61,0.55,0.5,0.54,0.5,0.54,0.49,0.5,0.54,0.49,0.49,0.45,0.49,0.46,0.54,0.4,0.46,0.49,0.42,0.36,0.36,0.32,0.41,0.4,0.34,0.33,0.51,0.49,0.32,0.29,0.32,0.31,0.43,0.39,0.32,0.35,0.3,0.44,0.31,0.34,0.28,0.3,0.27,0.4,0.38,0.28,0.28,0.29,0.34,0.29,0.25,0.27,0.32,0.26,0.36,0.29,0.2,0.26,0.24,0.23,0.31,0.24,0.23,0.25,0.22,0.26,0.25,0.25,0.26,0.0,0.23,0.29,0.21,0.23,0.25,0.3,0.28,0.21,0.21,0.23,0.21,0.27,0.2,0.19,0.19,0.22,0.18,0.26,0.19,0.2,0.22,0.18,0.2,0.2,0.18,0.27,0.0,0.23,0.35,0.0,0.17,0.18,0.18,0.17,0.16,0.21,0.21,0.15,0.16,0.19,0.18,0.22,0.16,0.16,0.18,0.17,0.28,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.14,0.16,0.19,0.17,0.19,0.15,0.16,0.19,0.14,0.0,0.14,0.0,0.16,0.16,0.14,0.0,0.0,0.13,0.15,0.15,0.0,0.0,0.16,0.0,0.14,0.15,0.14,0.18,0.2,0.13,0.17,0.13,0.14,0.15,0.0,0.16,0.16,0.15,0.17,0.13,0.14,0.0,0.0,0.18,0.0,0.16,0.0,0.17,0.0,0.14,0.15,0.14,0.13,0.13,0.19,0.14,0.15,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.97
