,CRWD,ZS,TWLO,NVDA,VRNS,DDOG,RBLX,ESTC,GH,OKTA,U,PLAN,SDGR,RLAY,XLNX,NOW,PATH,BLI,AMZN,CRM,S,AbCellera Biologics Inc Ordinary Shares,AMD,FXFXX,ABCL,First American Treasury Obligs X,SentinelOne Inc Class A,n/a,IOT,SUM
07/09/2021,9.15,7.66,6.69,5.95,5.47,5.4,4.67,4.53,4.51,4.2,4.06,3.93,3.87,3.7,3.7,3.67,3.43,3.24,3.18,3.05,3.04,1.89,0.77,0.26,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,9.53,7.99,6.57,5.87,5.5,5.42,4.6,4.52,4.23,4.26,3.91,3.93,3.58,3.31,3.5,3.69,3.31,3.16,3.35,3.02,3.82,0.0,0.73,0.0,1.71,0.49,0.0,0.0,0.0,100.0
07/13/2021,9.53,7.99,6.57,5.87,5.5,5.42,4.6,4.52,4.23,4.26,3.91,3.93,3.58,3.31,3.5,3.69,3.31,3.16,3.35,3.02,3.82,0.0,0.73,0.0,1.71,0.49,0.0,0.0,0.0,100.0
07/14/2021,9.39,7.96,6.61,5.75,5.54,5.44,4.57,4.54,4.29,4.28,3.98,3.9,3.75,3.32,3.44,3.71,3.4,3.2,3.36,2.97,0.0,0.0,0.73,0.49,1.73,0.0,3.64,0.0,0.0,99.99
07/15/2021,9.36,8.02,6.68,5.93,5.5,5.46,4.62,4.5,4.3,4.2,3.99,3.84,3.67,3.3,3.45,3.71,3.32,3.12,3.38,2.97,3.77,0.0,0.73,0.0,1.68,0.49,0.0,0.0,0.0,99.99
07/16/2021,9.36,8.02,6.68,5.93,5.5,5.46,4.62,4.5,4.3,4.2,3.99,3.84,3.67,3.3,3.45,3.71,3.32,3.12,3.38,2.97,3.77,0.0,0.73,0.0,1.68,0.49,0.0,0.0,0.0,99.99
07/19/2021,9.48,8.21,6.61,5.83,5.53,5.58,4.39,4.51,4.22,4.32,3.87,4.06,3.56,3.24,3.53,3.92,3.17,3.06,3.52,3.09,3.44,0.0,0.75,0.0,1.59,0.52,0.0,0.0,0.0,100.0
07/20/2021,9.48,8.21,6.61,5.83,5.53,5.58,4.39,4.51,4.22,4.32,3.87,4.06,3.56,3.24,3.53,3.92,3.17,3.06,3.52,3.09,3.44,0.0,0.75,0.0,1.59,0.52,0.0,0.0,0.0,100.0
07/21/2021,9.45,8.23,6.73,5.55,5.59,5.61,4.38,4.51,4.33,4.26,3.84,4.11,3.52,3.37,3.48,3.88,3.13,3.18,3.44,3.08,3.48,0.0,0.73,0.0,1.61,0.52,0.0,0.0,0.0,100.01
07/22/2021,9.45,8.23,6.73,5.55,5.59,5.61,4.38,4.51,4.33,4.26,3.84,4.11,3.52,3.37,3.48,3.88,3.13,3.18,3.44,3.08,3.48,0.0,0.73,0.0,1.61,0.52,0.0,0.0,0.0,100.01
07/23/2021,9.45,8.23,6.73,5.55,5.59,5.61,4.38,4.51,4.33,4.26,3.84,4.11,3.52,3.37,3.48,3.88,3.13,3.18,3.44,3.08,3.48,0.0,0.73,0.0,1.61,0.52,0.0,0.0,0.0,100.01
07/26/2021,9.19,8.25,6.78,5.69,5.75,5.57,4.33,4.45,4.21,4.29,3.94,4.11,3.58,3.34,3.51,3.8,3.18,3.42,3.31,3.0,3.56,0.0,0.73,0.0,1.52,0.5,0.0,0.0,0.0,100.01
07/27/2021,9.19,8.25,6.78,5.69,5.75,5.57,4.33,4.45,4.21,4.29,3.94,4.11,3.58,3.34,3.51,3.8,3.18,3.42,3.31,3.0,0.0,0.0,0.73,0.5,1.52,0.0,3.56,0.0,0.0,100.01
07/28/2021,9.55,8.34,6.91,5.61,5.81,5.6,4.34,4.51,4.12,4.38,3.94,4.09,3.44,3.25,3.5,3.84,3.16,3.21,3.3,3.01,3.44,0.0,0.74,0.0,1.41,0.49,0.0,0.0,0.0,99.99
07/29/2021,9.55,8.33,6.82,5.63,5.92,5.61,4.18,4.53,3.93,4.36,3.92,4.12,3.41,3.17,3.49,3.89,3.14,3.15,3.4,3.05,3.72,0.0,0.75,0.0,1.4,0.52,0.0,0.0,0.0,99.99
07/30/2021,9.55,8.33,6.82,5.63,5.92,5.61,4.18,4.53,3.93,4.36,3.92,4.12,3.41,3.17,3.49,3.89,3.14,3.15,3.4,3.05,3.72,0.0,0.75,0.0,1.4,0.52,0.0,0.0,0.0,99.99
08/02/2021,9.45,8.36,6.71,5.66,5.79,5.67,4.24,4.52,3.93,4.3,4.1,4.14,3.49,3.17,3.55,3.86,3.16,3.14,3.32,2.99,0.0,0.0,0.79,0.48,1.45,0.0,3.72,0.0,0.0,99.99
08/03/2021,9.45,8.36,6.71,5.66,5.79,5.67,4.24,4.52,3.93,4.3,4.1,4.14,3.49,3.17,3.55,3.86,3.16,3.14,3.32,2.99,3.72,0.0,0.79,0.0,1.45,0.48,0.0,0.0,0.0,99.99
08/04/2021,9.45,8.36,6.71,5.66,5.79,5.67,4.24,4.52,3.93,4.3,4.1,4.14,3.49,3.17,3.55,3.86,3.16,3.14,3.32,2.99,3.72,0.0,0.79,0.0,1.45,0.48,0.0,0.0,0.0,99.99
08/05/2021,9.45,8.36,6.71,5.66,5.79,5.67,4.24,4.52,3.93,4.3,4.1,4.14,3.49,3.17,3.55,3.86,3.16,3.14,3.32,2.99,3.72,0.0,0.79,0.0,1.45,0.48,0.0,0.0,0.0,99.99
08/06/2021,9.26,8.71,6.4,5.83,5.57,5.92,4.21,4.51,3.92,4.22,4.03,4.16,3.35,3.12,3.81,3.93,3.08,3.07,3.12,3.0,3.93,0.0,0.93,0.0,1.45,0.49,0.0,0.0,0.0,100.02
08/09/2021,9.3,8.53,6.26,5.84,5.45,6.57,4.21,4.7,3.94,4.22,4.06,4.09,3.35,3.08,3.78,3.85,3.16,3.09,3.01,3.0,3.83,0.0,0.89,0.0,1.38,0.0,0.0,0.41,0.0,100.0
08/10/2021,9.3,8.53,6.26,5.84,5.45,6.57,4.21,4.7,3.94,4.22,4.06,4.09,3.35,3.08,3.78,3.85,3.16,3.09,3.01,3.0,3.83,0.0,0.89,0.0,1.38,0.0,0.0,0.41,0.0,100.0
08/11/2021,9.3,8.53,6.26,5.84,5.45,6.57,4.21,4.7,3.94,4.22,4.06,4.09,3.35,3.08,3.78,3.85,3.16,3.09,3.01,3.0,3.83,0.0,0.89,0.0,1.38,0.0,0.0,0.41,0.0,100.0
08/13/2021,9.18,8.6,6.32,5.86,5.41,6.45,4.62,4.71,3.72,4.04,4.09,4.06,3.23,3.21,3.81,3.86,3.29,3.0,3.08,3.02,3.73,0.0,0.87,0.0,1.43,0.0,0.0,0.43,0.0,100.02
08/16/2021,8.86,8.62,6.3,5.8,5.56,6.66,4.45,4.71,3.72,4.07,4.8,4.24,2.97,3.23,3.76,3.87,3.13,2.73,3.04,3.06,3.73,0.0,0.87,0.0,1.38,0.0,0.0,0.45,0.0,100.01
08/17/2021,8.86,8.62,6.3,5.8,5.56,6.66,4.45,4.71,3.72,4.07,4.8,4.24,2.97,3.23,3.76,3.87,3.13,2.73,3.04,3.06,3.73,0.0,0.87,0.0,1.38,0.0,0.0,0.45,0.0,100.01
08/18/2021,8.72,8.63,6.19,5.84,5.58,6.87,4.48,4.68,3.53,4.03,4.84,4.26,2.96,3.15,3.75,3.88,3.1,2.76,3.01,3.07,3.75,0.0,0.89,0.41,1.61,0.0,0.0,0.0,0.0,99.99
08/19/2021,8.72,8.63,6.19,5.84,5.58,6.87,4.48,4.68,3.53,4.03,4.84,4.26,2.96,3.15,3.75,3.88,3.1,2.76,3.01,3.07,3.75,0.0,0.89,0.0,1.61,0.0,0.0,0.41,0.0,99.99
08/20/2021,8.62,8.8,6.05,5.82,5.48,6.98,4.35,4.68,3.61,4.08,4.7,4.43,2.83,3.24,3.78,3.98,3.1,2.6,3.07,3.12,3.62,0.0,0.9,0.0,1.72,0.0,0.0,0.43,0.0,99.99
08/23/2021,8.72,8.94,6.01,5.94,5.44,6.97,4.51,4.81,3.57,4.1,4.54,4.43,2.76,3.03,3.78,4.02,3.13,2.43,3.02,3.21,3.89,0.0,0.87,0.0,1.64,0.0,0.0,0.24,0.0,100.0
08/24/2021,8.72,8.94,6.01,5.94,5.44,6.97,4.51,4.81,3.57,4.1,4.54,4.43,2.76,3.03,3.78,4.02,3.13,2.43,3.02,3.21,3.89,0.0,0.87,0.0,1.64,0.0,0.0,0.24,0.0,100.0
08/25/2021,8.7,8.87,5.92,6.15,5.43,6.8,4.52,4.84,3.65,4.04,4.72,4.35,2.77,3.08,3.77,4.05,3.1,2.39,2.99,3.2,3.91,0.0,0.86,0.0,1.64,0.0,0.0,0.24,0.0,99.99
08/26/2021,8.74,8.78,5.89,6.31,5.45,6.68,4.52,4.76,3.76,4.01,4.69,4.37,2.84,3.06,3.9,4.07,2.99,2.31,2.97,3.17,3.94,0.0,0.87,0.0,1.69,0.0,0.0,0.23,0.0,100.0
08/27/2021,9.22,8.81,5.87,6.12,5.48,6.67,4.63,4.69,3.85,4.11,4.57,4.26,2.85,2.88,3.8,3.99,3.01,2.37,2.93,3.08,4.1,0.0,0.84,0.0,1.66,0.0,0.0,0.23,0.0,100.01999999999998
08/30/2021,9.61,9.06,5.8,6.15,5.63,6.42,4.42,4.49,3.96,4.32,4.35,4.16,2.67,2.74,3.73,3.97,3.08,2.24,2.92,3.16,4.38,0.0,0.84,0.0,1.68,0.0,0.0,0.23,0.0,100.01
08/31/2021,9.61,9.06,5.8,6.15,5.63,6.42,4.42,4.49,3.96,4.32,4.35,4.16,2.67,2.74,3.73,3.97,3.08,2.24,2.92,3.16,4.38,0.0,0.84,0.0,1.68,0.0,0.0,0.23,0.0,100.01
09/01/2021,9.52,9.08,5.78,6.17,5.83,6.45,4.3,4.46,3.96,4.23,4.38,4.25,2.74,2.7,3.77,3.94,3.06,2.16,2.89,3.07,4.56,0.0,0.85,0.0,1.66,0.0,0.0,0.22,0.0,100.03
09/02/2021,9.52,9.08,5.78,6.17,5.83,6.45,4.3,4.46,3.96,4.23,4.38,4.25,2.74,2.7,3.77,3.94,3.06,2.16,2.89,3.07,4.56,0.0,0.85,0.0,1.66,0.0,0.0,0.22,0.0,100.03
09/03/2021,9.55,9.13,5.8,6.12,5.98,6.46,4.08,4.51,4.1,4.22,4.43,4.15,2.71,2.67,3.7,3.95,3.01,2.31,2.91,3.02,4.53,0.0,0.84,0.0,1.62,0.0,0.0,0.22,0.0,100.02
09/06/2021,8.97,9.13,5.6,5.95,6.06,6.39,4.16,4.58,4.21,4.27,4.6,4.47,2.95,2.94,3.62,4.01,2.83,2.29,2.91,2.97,4.44,0.0,0.81,0.0,1.62,0.0,0.0,0.22,0.0,100.0
09/07/2021,8.97,9.13,5.6,5.95,6.06,6.39,4.16,4.58,4.21,4.27,4.6,4.47,2.95,2.94,3.62,4.01,2.83,2.29,2.91,2.97,4.44,0.0,0.81,0.22,1.62,0.0,0.0,0.0,0.0,100.0
09/08/2021,8.97,9.13,5.6,5.95,6.06,6.39,4.16,4.58,4.21,4.27,4.6,4.47,2.95,2.94,3.62,4.01,2.83,2.29,2.91,2.97,4.44,0.0,0.81,0.22,1.62,0.0,0.0,0.0,0.0,100.0
09/09/2021,9.01,9.16,5.65,5.98,6.15,6.34,4.01,4.73,4.16,4.19,4.55,4.46,2.93,2.72,3.61,4.06,2.87,2.24,2.88,2.96,4.66,0.0,0.8,0.21,1.7,0.0,0.0,0.0,0.0,100.03
09/10/2021,8.77,9.05,5.55,5.96,6.2,6.33,4.13,4.73,4.19,4.12,4.66,4.48,2.83,2.94,3.6,3.97,2.84,2.29,2.92,2.95,4.81,0.0,0.8,0.16,1.73,0.0,0.0,0.0,0.0,100.01
09/13/2021,8.79,9.16,5.55,5.99,6.12,6.56,4.14,4.58,4.2,4.18,4.66,4.46,2.9,2.88,3.64,4.0,2.61,2.25,2.99,2.98,4.71,0.0,0.8,0.16,1.7,0.0,0.0,0.0,0.0,100.01
09/14/2021,8.8,9.15,5.56,5.95,6.07,6.63,4.28,4.61,4.23,4.23,4.68,4.45,2.9,2.91,3.66,3.98,2.52,2.24,2.95,2.96,4.56,0.0,0.8,0.16,1.71,0.0,0.0,0.0,0.0,99.99
09/15/2021,8.81,8.95,5.46,6.11,6.06,6.54,4.41,4.57,4.23,4.08,4.78,4.47,2.92,2.89,3.73,4.02,2.6,2.23,2.98,2.95,4.46,0.0,0.8,0.16,1.79,0.0,0.0,0.0,0.0,100.0
09/16/2021,8.81,8.95,5.46,6.11,6.06,6.54,4.41,4.57,4.23,4.08,4.78,4.47,2.92,2.89,3.73,4.02,2.6,2.23,2.98,2.95,4.46,0.0,0.8,0.16,1.79,0.0,0.0,0.0,0.0,100.0
09/17/2021,8.67,9.0,5.44,6.11,6.01,6.54,4.31,4.6,4.21,4.07,4.71,4.5,2.95,3.25,3.78,4.03,2.65,2.18,3.01,2.96,4.34,0.0,0.81,0.17,1.7,0.0,0.0,0.0,0.0,100.0
09/20/2021,8.76,9.09,5.48,6.1,5.99,6.66,4.14,4.6,4.18,4.1,4.69,4.48,2.85,3.33,3.81,4.07,2.53,1.69,3.0,2.96,4.75,0.0,0.81,0.17,1.78,0.0,0.0,0.0,0.0,100.02
09/21/2021,8.84,9.02,5.48,6.0,6.0,6.82,4.06,4.67,4.13,4.08,4.72,4.42,2.83,3.3,3.75,4.05,2.51,1.48,2.98,2.97,5.06,0.0,0.8,0.16,1.85,0.0,0.0,0.0,0.0,99.98
09/22/2021,8.84,9.02,5.48,6.0,6.0,6.82,4.06,4.67,4.13,4.08,4.72,4.42,2.83,3.3,3.75,4.05,2.51,1.48,2.98,2.97,5.06,0.0,0.8,0.16,1.85,0.0,0.0,0.0,0.0,99.98
09/23/2021,8.77,9.04,5.58,5.9,5.95,6.76,4.02,4.66,4.29,4.12,4.79,4.44,2.88,3.3,3.67,4.01,2.53,1.7,2.95,2.97,4.81,0.0,0.78,0.16,1.9,0.0,0.0,0.0,0.0,99.98
09/24/2021,8.64,9.12,5.56,5.84,5.97,7.01,4.01,4.73,4.32,4.1,4.69,4.48,2.85,3.36,3.68,4.11,2.54,1.59,2.91,3.0,4.55,0.0,0.79,0.17,2.01,0.0,0.0,0.0,0.0,100.03
09/27/2021,8.75,9.19,5.53,6.06,5.95,6.97,4.1,4.74,4.21,4.07,4.94,4.46,2.8,3.29,3.73,4.09,2.51,1.38,2.91,3.17,4.23,0.0,0.8,0.16,1.98,0.0,0.0,0.0,0.0,100.02
09/28/2021,8.75,9.19,5.53,6.06,5.95,6.97,4.1,4.74,4.21,4.07,4.94,4.46,2.8,3.29,3.73,4.09,2.51,1.38,2.91,3.17,4.23,0.0,0.8,0.16,1.98,0.0,0.0,0.0,0.0,100.02
09/29/2021,8.76,9.23,5.46,5.98,5.88,6.99,4.16,4.74,4.19,4.06,5.02,4.44,2.69,3.29,3.77,4.12,2.47,1.35,2.93,3.27,4.26,0.0,0.8,0.17,1.99,0.0,0.0,0.0,0.0,100.02
09/30/2021,8.76,9.23,5.46,5.98,5.88,6.99,4.16,4.74,4.19,4.06,5.02,4.44,2.69,3.29,3.77,4.12,2.47,1.35,2.93,3.27,4.26,0.0,0.8,0.17,1.99,0.0,0.0,0.0,0.0,100.02
10/01/2021,8.66,9.12,5.48,5.99,5.78,6.97,4.12,4.62,4.28,4.04,4.79,4.47,2.76,3.53,3.87,4.05,2.62,1.38,3.03,3.33,4.15,0.0,0.82,0.18,1.97,0.0,0.0,0.0,0.0,100.01
10/04/2021,8.69,9.25,5.39,6.02,5.79,7.11,4.14,4.56,4.28,4.05,4.8,4.47,2.75,3.24,3.85,4.14,2.64,1.33,3.06,3.35,4.11,0.0,0.82,0.18,1.98,0.0,0.0,0.0,0.0,100.0
10/05/2021,8.85,9.29,5.45,6.03,5.69,7.21,4.06,4.56,4.39,4.09,4.78,4.44,2.73,3.03,3.89,4.13,2.64,1.33,3.02,3.34,4.02,0.0,0.84,0.18,2.02,0.0,0.0,0.0,0.0,100.01
10/06/2021,8.98,9.34,5.55,6.05,5.82,7.39,4.07,4.63,3.78,4.1,4.78,4.53,2.7,2.87,3.91,4.21,2.63,1.33,3.02,3.39,4.15,0.0,0.83,0.18,1.74,0.0,0.0,0.0,0.0,99.98
10/07/2021,8.98,9.34,5.55,6.05,5.82,7.39,4.07,4.63,3.78,4.1,4.78,4.53,2.7,2.87,3.91,4.21,2.63,1.33,3.02,3.39,4.15,0.0,0.83,0.18,1.74,0.0,0.0,0.0,0.0,99.98
10/08/2021,8.94,9.27,5.56,5.97,5.88,7.27,4.35,4.53,3.87,4.03,4.72,4.46,2.69,2.99,3.96,4.27,2.68,1.3,3.05,3.46,4.0,0.0,0.85,0.18,1.72,0.0,0.0,0.0,0.0,100.0
10/11/2021,9.05,9.48,5.48,6.1,5.91,7.41,4.01,4.58,3.78,4.04,5.0,4.41,2.58,2.87,4.01,4.24,2.61,1.27,3.04,3.43,4.06,0.0,0.85,0.18,1.59,0.0,0.0,0.0,0.0,99.98
10/12/2021,9.05,9.48,5.48,6.1,5.91,7.41,4.01,4.58,3.78,4.04,5.0,4.41,2.58,2.87,4.01,4.24,2.61,1.27,3.04,3.43,4.06,0.0,0.85,0.18,1.59,0.0,0.0,0.0,0.0,99.98
10/13/2021,9.05,9.48,5.48,6.1,5.91,7.41,4.01,4.58,3.78,4.04,5.0,4.41,2.58,2.87,4.01,4.24,2.61,1.27,3.04,3.43,4.06,0.0,0.85,0.18,1.59,0.0,0.0,0.0,0.0,99.98
10/14/2021,8.97,9.61,5.57,6.17,5.62,7.29,3.85,4.84,3.73,4.0,5.25,4.44,2.55,2.75,4.09,4.18,2.63,1.25,3.08,3.41,4.17,0.0,0.87,0.12,1.58,0.0,0.0,0.0,0.0,100.02
10/15/2021,9.08,9.83,5.57,6.01,5.59,7.42,3.86,4.97,3.63,4.04,5.26,4.46,2.56,2.67,4.01,4.18,2.41,1.42,2.98,3.43,4.11,0.0,0.85,0.12,1.52,0.0,0.0,0.0,0.0,99.98
10/18/2021,9.33,9.74,5.67,5.84,5.52,7.63,3.85,4.95,3.43,4.08,5.0,4.46,2.58,3.02,3.99,4.07,2.41,1.46,2.9,3.35,4.25,0.0,0.85,0.11,1.5,0.0,0.0,0.0,0.0,99.99
10/19/2021,9.3,9.75,5.72,5.93,5.48,7.33,3.74,4.97,3.43,4.12,5.01,4.48,2.57,3.3,4.0,4.06,2.42,1.52,2.84,3.34,4.21,0.0,0.85,0.11,1.5,0.0,0.0,0.0,0.0,99.98
10/20/2021,9.23,9.73,5.67,5.97,5.5,7.4,3.86,4.94,3.35,4.12,5.01,4.45,2.59,3.08,4.04,4.14,2.36,1.62,2.94,3.37,4.19,0.0,0.86,0.11,1.47,0.0,0.0,0.0,0.0,100.0
10/21/2021,9.51,9.88,5.72,5.99,5.52,7.44,3.87,4.82,3.23,4.14,5.12,4.4,2.46,2.85,4.06,4.1,2.33,1.54,2.94,3.32,4.35,0.0,0.88,0.11,1.43,0.0,0.0,0.0,0.0,100.01000000000002
10/22/2021,9.34,9.71,5.74,5.96,5.45,7.41,3.91,4.82,3.39,4.08,5.14,4.44,2.56,2.88,4.03,4.16,2.39,1.6,2.91,3.31,4.31,0.0,0.87,0.11,1.48,0.0,0.0,0.0,0.0,100.0
10/25/2021,9.41,9.73,5.78,5.94,5.47,7.48,3.9,4.77,3.45,4.07,4.97,4.43,2.58,2.77,4.05,4.18,2.4,1.6,2.9,3.29,4.33,0.0,0.87,0.11,1.49,0.0,0.0,0.0,0.0,99.97
10/26/2021,9.29,9.84,5.73,6.0,5.47,7.46,4.06,4.72,3.49,4.06,5.06,4.4,2.54,2.73,4.06,4.14,2.33,1.57,2.87,3.24,4.48,0.0,0.88,0.11,1.49,0.0,0.0,0.0,0.0,100.02
