,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,S&P Midcap 400 Index Swap Citibank Na - Cash Offset,S&P Midcap 400 Index Swap Societe Generale - Cash Offset,S&P Midcap 400 Index Swap Bnp Paribas - Cash Offset,S&P Midcap 400 Index Swap Bank Of America Na - Cash Offset,S&P Mid 400 09/17/21 (Fau1) - Cash Offset,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc - Cash Off,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc,E-mini S&P MidCap 400 Future Sept 21,S&P Midcap 400 Index Swap Bank Of America Na,S&P Midcap 400 Index Swap Bnp Paribas,S&P Midcap 400 Index Swap Societe Generale,S&P Midcap 400 Index Swap Citibank Na,SUM
07/09/2021,100.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48,28.38,10.43,9.83,8.91,2.94,-2.94,-8.91,-9.83,-10.43,-28.38,-39.48,100.0
