,Nasdaq 100 Index Swap Goldman Sachs International,Nasdaq 100 Index Swap Societe Generale,Nasdaq 100 Index Swap Bnp Paribas,Cash,Nasdaq 100 Index Swap Bank Of America Na,Nasdaq 100 Index Swap Citibank Na,Nasdaq 100 Index Swap Jp Morgan Securities,AAPL,MSFT,Nasdaq 100 Index Swap Credit Suisse International,AMZN,BTIC E-mini Nasdaq 100 Future Sept 21,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,Nasdaq 100 Index Swap Ubs Ag,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,MU,MRNA,LRCX,ZM,BKNG,MDLZ,GILD,ADP,MELI,ATVI,CSX,FISV,ILMN,JD,ADSK,ADI,REGN,NXPI,ASML,DOCU,IDXX,BIDU,VRTX,BIIB,KDP,KHC,KLAC,ALGN,MNST,PDD,EBAY,MRVL,LULU,WBA,WDAY,MAR,ROST,MTCH,EXC,AEP,SNPS,DXCM,EA,MCHP,ALXN,CTAS,ORLY,PAYX,CDNS,CTSH,XLNX,XEL,TEAM,NTES,PTON,SWKS,CPRT,PCAR,OKTA,ANSS,FAST,SGEN,VRSK,MXIM,SIRI,VRSN,CDW,SPLK,CERN,DLTR,TCOM,INCY,CHKP,FOXA,FOX,Nasdaq 100 Index Swap Ubs Ag - Cash Offset,Nasdaq 100 Index Swap Morgan Stanley & Co. International Plc - Cash Offset,Nasdaq 100 09/17/21 (Nqu1) - Cash Offset,Nasdaq 100 Index Swap Credit Suisse International - Cash Offset,Nasdaq 100 Index Swap Jp Morgan Securities - Cash Offset,Nasdaq 100 Index Swap Citibank Na - Cash Offset,Nasdaq 100 Index Swap Bank Of America Na - Cash Offset,Nasdaq 100 Index Swap Bnp Paribas - Cash Offset,Nasdaq 100 Index Swap Societe Generale - Cash Offset,Nasdaq 100 Index Swap Goldman Sachs International - Cash Offset,HON,SUM
07/09/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/12/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/13/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/14/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/15/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/16/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/19/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/20/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/21/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
07/22/2021,45.11,44.73,38.05,31.91,31.53,31.49,26.2,7.49,6.69,5.9,5.68,4.32,3.66,2.73,2.66,2.66,2.48,2.41,1.71,1.4,1.3,1.17,1.13,1.11,1.02,0.98,0.97,0.9,0.89,0.87,0.8,0.7,0.68,0.67,0.66,0.65,0.57,0.54,0.48,0.47,0.46,0.46,0.45,0.44,0.43,0.42,0.39,0.37,0.36,0.36,0.34,0.32,0.32,0.32,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.09,0.09,0.08,0.06,0.04,-0.98,-3.66,-4.32,-5.9,-26.2,-31.49,-31.53,-38.05,-44.73,-45.11,0.0,100.02000000000002
