,INTU,NKE,FB,GOOGL,AMZN,PYPL,COST,SNAP,SE,AAPL,SBUX,HD,LOW,ATVI,NFLX,SQ,DIS,BKNG,UBER,FISV,TWTR,SPOT,EBAY,LULU,CMG,MTCH,PTON,VFC,AVB,EQR,ETSY,CVNA,W,EXPE,INVH,KMX,LB,LYFT,ABNB,UDR,CPT,IAC,ZNGA,CHGG,IHRT,PLCE,AAN,DKS,IRT,WW,CSR,CPRI,SKX,LAUR,CRI,AN,SLM,LC,GHC,ZG,TWOU,CAR,CARG,CARS,BBBY,NNI,BCOR,VMEO,SFM,YELP,COLM,TREE,UAA,DBI,GPRO,GRPN,PLNT,LRN,STRA,ANGI,TRVG,TRIP,LTRPA,CASH,SUM
07/09/2021,3.53,3.48,3.29,3.28,3.26,3.21,3.2,3.17,3.16,3.16,2.97,2.94,2.91,2.84,2.83,2.77,2.69,2.65,2.55,2.54,2.32,2.08,1.94,1.92,1.83,1.8,1.35,1.34,1.23,1.22,1.03,1.02,0.98,0.95,0.91,0.89,0.85,0.82,0.74,0.62,0.56,0.51,0.5,0.5,0.42,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.18,0.14,99.99
07/12/2021,3.62,3.54,3.27,3.3,3.36,3.29,3.32,2.89,3.11,3.24,3.02,2.98,2.92,2.82,2.82,2.69,2.72,2.62,2.42,2.56,2.24,2.06,1.96,1.97,1.86,1.79,1.37,1.33,1.27,1.26,1.04,1.06,0.98,0.94,0.94,0.91,0.84,0.79,0.72,0.63,0.58,0.49,0.49,0.5,0.42,0.36,0.36,0.37,0.36,0.33,0.35,0.33,0.34,0.32,0.33,0.33,0.29,0.31,0.31,0.29,0.31,0.28,0.3,0.27,0.28,0.29,0.29,0.28,0.29,0.27,0.28,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.21,0.22,0.16,0.15,100.02
07/13/2021,3.62,3.54,3.27,3.3,3.36,3.29,3.32,2.89,3.11,3.24,3.02,2.98,2.92,2.82,2.82,2.69,2.72,2.62,2.42,2.56,2.24,2.06,1.96,1.97,1.86,1.79,1.37,1.33,1.27,1.26,1.04,1.06,0.98,0.94,0.94,0.91,0.84,0.79,0.72,0.63,0.58,0.49,0.49,0.5,0.42,0.36,0.36,0.37,0.36,0.33,0.35,0.33,0.34,0.32,0.33,0.33,0.29,0.31,0.31,0.29,0.31,0.28,0.3,0.27,0.28,0.29,0.29,0.28,0.29,0.27,0.28,0.26,0.26,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.21,0.22,0.16,0.15,100.02
07/14/2021,3.55,3.49,3.26,3.26,3.29,3.29,3.31,3.02,3.16,3.22,3.01,2.97,2.91,2.78,2.8,2.71,2.74,2.61,2.46,2.54,2.28,2.07,1.95,1.95,1.85,1.81,1.28,1.35,1.27,1.26,1.02,1.05,0.97,0.96,0.93,0.9,0.85,0.79,0.75,0.64,0.58,0.49,0.47,0.49,0.42,0.38,0.37,0.37,0.36,0.32,0.35,0.34,0.34,0.32,0.33,0.34,0.3,0.31,0.31,0.29,0.31,0.29,0.3,0.28,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.26,0.27,0.26,0.24,0.24,0.25,0.25,0.23,0.23,0.21,0.22,0.17,0.15,99.95
07/15/2021,3.55,3.5,3.28,3.29,3.28,3.31,3.26,2.96,3.15,3.2,3.03,2.96,2.91,2.78,2.8,2.72,2.85,2.62,2.42,2.53,2.3,2.06,1.94,1.91,1.88,1.81,1.31,1.34,1.29,1.27,1.01,1.04,0.96,0.95,0.94,0.91,0.88,0.77,0.73,0.64,0.58,0.49,0.47,0.49,0.42,0.39,0.37,0.37,0.37,0.32,0.36,0.34,0.34,0.32,0.33,0.35,0.31,0.31,0.31,0.29,0.3,0.29,0.31,0.28,0.29,0.28,0.29,0.28,0.29,0.28,0.28,0.26,0.27,0.27,0.25,0.24,0.25,0.26,0.23,0.23,0.21,0.21,0.17,0.14,100.02999999999997
