,FB,GOOGL,V,700.HK,AAPL,AMZN,600519.SS,MC.PA,BABA,MA,DIS,NESN.SW,OR.PA,3690.HK,KO,NFLX,PEP,000858.SZ,PRX.AS,MCD,PDD,ULVR.L,PM,ABI.BR,RMS.PA,SBUX,JD,1024.HK,EL,DGE.L,9988.HK,SNAP,601888.SS,NPN.JO,MDLZ,NTES,MO,603288.SS,BATS.L,7974.T,TJX,MELI,9633.HK,CL,HEIA.AS,ADS.DE,000568.SZ,002714.SZ,600809.SS,2020.HK,MNST,KDP,002304.SZ,KHC,6618.HK,BN.PA,TWTR,ROKU,STZ,PINS,ROST,LULU,KMB,RACE.MI,CMG,VIV.PA,MTCH,BF.B,2313.HK,6969.HK,GIS,YUM,PAH3.DE,CHWY,HSY,DHER.DE,6862.HK,Z,4452.T,Zillow Group Inc C,SNA,n/a,603087.SS,NKE,9983.T,DASH,UMG.AS,SUM
07/09/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.29,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/13/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/14/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/15/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/16/2021,4.58,4.52,4.41,4.39,4.33,4.33,3.79,3.6,3.51,3.4,3.18,3.14,2.17,2.11,2.11,2.1,1.81,1.67,1.6,1.6,1.56,1.36,1.31,1.3,1.28,1.24,1.17,1.11,1.05,0.96,0.96,0.95,0.92,0.91,0.79,0.78,0.78,0.77,0.74,0.73,0.72,0.71,0.63,0.62,0.6,0.56,0.56,0.53,0.52,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.37,0.35,0.35,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.0,0.28,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/19/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/21/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,4.77,4.61,4.47,4.21,4.7,4.55,3.48,3.49,0.0,3.39,3.08,3.12,2.11,2.52,2.04,2.17,1.79,1.53,1.49,1.55,1.57,1.31,1.33,1.21,1.32,1.2,1.25,1.07,1.08,0.94,4.69,1.03,0.78,0.85,0.77,0.75,0.75,0.72,0.73,0.68,0.71,0.81,0.54,0.6,0.6,0.57,0.47,0.5,0.48,0.55,0.45,0.44,0.45,0.42,0.45,0.43,0.51,0.57,0.41,0.49,0.4,0.45,0.4,0.38,0.43,0.35,0.42,0.3,0.33,0.29,0.32,0.31,0.0,0.33,0.31,0.3,0.28,0.3,0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,100.01
