,Cash,Cboe Vix Future Jul21,Cboe Vix Future Aug21,Ipath Series-B S&P 500 Vix Sht-Term Fut Swap - Gs,Ipath Series-B S&P 500 Vix Sht-Term Fut Swap - Gs - Cash Offset,Cboe Vix Future Aug21 - Cash Offset,Cboe Vix Future Jul21 - Cash Offset,Cboe Vix Future Sep21,Cboe Vix Future Sep21 - Cash Offset,SUM
07/09/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/12/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/13/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/14/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/15/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/16/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/19/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/20/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/21/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/22/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/23/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/26/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/27/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/28/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/29/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
07/30/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
08/02/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
08/03/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
08/04/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
08/05/2021,100.0,72.77,67.94,9.24,-9.24,-67.94,-72.77,0.0,0.0,100.0
08/06/2021,100.0,0.0,81.27,9.74,-9.74,-81.27,0.0,59.01,-59.01,99.99999999999999
