,002709.SZ,000799.SZ,603486.SS,600089.SS,600460.SS,000009.SZ,002340.SZ,002074.SZ,601233.SS,300285.SZ,002185.SZ,300207.SZ,601636.SS,Cash & Cash Equivalents,300037.SZ,600885.SS,300316.SZ,300253.SZ,600779.SS,002625.SZ,600733.SS,002353.SZ,600219.SS,002223.SZ,600884.SS,603737.SS,603589.SS,002648.SZ,002385.SZ,300146.SZ,002138.SZ,601127.SS,601168.SS,600392.SS,603893.SS,000988.SZ,000807.SZ,002422.SZ,601099.SS,002797.SZ,688002.SS,000547.SZ,600068.SS,603444.SS,688099.SS,000830.SZ,000636.SZ,600699.SS,600704.SS,002212.SZ,600739.SS,002439.SZ,300699.SZ,600486.SS,000630.SZ,002444.SZ,300308.SZ,600201.SS,002075.SZ,002180.SZ,002127.SZ,600563.SS,600862.SS,002078.SZ,300088.SZ,600754.SS,000039.SZ,300001.SZ,300223.SZ,002030.SZ,002507.SZ,002250.SZ,600315.SS,300618.SZ,002013.SZ,600177.SS,002080.SZ,600549.SS,600988.SS,601997.SS,603605.SS,601128.SS,600171.SS,002028.SZ,002092.SZ,600066.SS,000998.SZ,600516.SS,002603.SZ,300168.SZ,000021.SZ,002299.SZ,000983.SZ,002465.SZ,300296.SZ,601005.SS,000960.SZ,600637.SS,000975.SZ,300271.SZ,600867.SS,000050.SZ,002273.SZ,600536.SS,300009.SZ,601866.SS,688208.SS,002511.SZ,300482.SZ,000513.SZ,600487.SS,000723.SZ,300070.SZ,002156.SZ,000739.SZ,000932.SZ,300357.SZ,002131.SZ,000825.SZ,601615.SS,000750.SZ,600369.SS,002152.SZ,600879.SS,300383.SZ,300463.SZ,002373.SZ,600166.SS,600642.SS,600529.SS,600380.SS,600909.SS,600418.SS,603290.SS,600827.SS,601699.SS,002572.SZ,600316.SS,603156.SS,300418.SZ,002926.SZ,300115.SZ,300244.SZ,002065.SZ,601198.SS,600038.SS,002506.SZ,000623.SZ,000012.SZ,002500.SZ,600271.SS,601689.SS,600153.SS,600998.SS,600895.SS,002690.SZ,600415.SS,600256.SS,600707.SS,600497.SS,600160.SS,600409.SS,600188.SS,603638.SS,600390.SS,000878.SZ,000027.SZ,600008.SS,600667.SS,300630.SZ,600208.SS,600535.SS,300474.SZ,002372.SZ,002382.SZ,002966.SZ,002557.SZ,300024.SZ,601717.SS,603858.SS,600141.SS,002221.SZ,000401.SZ,600170.SS,002146.SZ,002294.SZ,002174.SZ,600663.SS,000718.SZ,300251.SZ,002019.SZ,600498.SS,000997.SZ,600155.SS,002670.SZ,600060.SS,300058.SZ,002191.SZ,600765.SS,600801.SS,600372.SS,603260.SS,002408.SZ,000060.SZ,600875.SS,002056.SZ,002268.SZ,300017.SZ,603225.SS,002683.SZ,300315.SZ,600732.SS,603256.SS,603077.SS,000738.SZ,601117.SS,002396.SZ,600258.SS,600216.SS,688029.SS,002249.SZ,601016.SS,000629.SZ,000686.SZ,600970.SS,600348.SS,603712.SS,600782.SS,603650.SS,002745.SZ,002281.SZ,000898.SZ,600808.SS,600500.SS,603707.SS,002595.SZ,n/a,600511.SS,002429.SZ,000887.SZ,603866.SS,300212.SZ,600985.SS,300376.SZ,600580.SS,002002.SZ,600282.SS,002155.SZ,000709.SZ,600022.SS,600027.SS,000519.SZ,000400.SZ,600673.SS,601179.SS,600859.SS,000540.SZ,603198.SS,002110.SZ,002004.SZ,SUM
07/09/2021,0.97,0.95,0.87,0.78,0.78,0.78,0.77,0.73,0.64,0.6,0.57,0.56,0.53,0.53,0.51,0.51,0.5,0.48,0.47,0.46,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.84
07/12/2021,1.06,0.88,0.84,0.81,0.81,0.93,0.9,0.81,0.64,0.59,0.56,0.63,0.5,0.0,0.55,0.55,0.53,0.45,0.43,0.44,0.46,0.43,0.46,0.45,0.53,0.43,0.39,0.41,0.41,0.4,0.41,0.45,0.43,0.47,0.39,0.39,0.39,0.37,0.36,0.36,0.38,0.37,0.36,0.37,0.36,0.37,0.39,0.38,0.35,0.36,0.33,0.35,0.39,0.34,0.36,0.35,0.34,0.36,0.32,0.33,0.36,0.34,0.36,0.32,0.34,0.31,0.3,0.35,0.31,0.32,0.3,0.31,0.3,0.35,0.3,0.3,0.32,0.38,0.3,0.3,0.29,0.29,0.34,0.28,0.31,0.28,0.29,0.3,0.25,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.3,0.27,0.27,0.26,0.27,0.32,0.28,0.28,0.28,0.26,0.25,0.25,0.26,0.27,0.28,0.26,0.27,0.26,0.27,0.36,0.26,0.26,0.27,0.27,0.25,0.26,0.24,0.26,0.25,0.25,0.24,0.26,0.25,0.25,0.24,0.25,0.28,0.26,0.24,0.22,0.23,0.28,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.25,0.24,0.23,0.22,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.22,0.22,0.23,0.24,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.23,0.21,0.21,0.21,0.23,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.24,0.21,0.2,0.2,0.2,0.22,0.2,0.2,0.2,0.0,0.19,0.19,0.0,0.19,0.2,0.0,0.19,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.18
07/13/2021,1.06,0.88,0.84,0.81,0.81,0.93,0.9,0.81,0.64,0.59,0.56,0.63,0.5,0.0,0.55,0.55,0.53,0.45,0.43,0.44,0.46,0.43,0.46,0.45,0.53,0.43,0.39,0.41,0.41,0.4,0.41,0.45,0.43,0.47,0.39,0.39,0.39,0.37,0.36,0.36,0.38,0.37,0.36,0.37,0.36,0.37,0.39,0.38,0.35,0.36,0.33,0.35,0.39,0.34,0.36,0.35,0.34,0.36,0.32,0.33,0.36,0.34,0.36,0.32,0.34,0.31,0.3,0.35,0.31,0.32,0.3,0.31,0.3,0.35,0.3,0.3,0.32,0.38,0.3,0.3,0.29,0.29,0.34,0.28,0.31,0.28,0.29,0.3,0.25,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.3,0.27,0.27,0.26,0.27,0.32,0.28,0.28,0.28,0.26,0.25,0.25,0.26,0.27,0.28,0.26,0.27,0.26,0.27,0.36,0.26,0.26,0.27,0.27,0.25,0.26,0.24,0.26,0.25,0.25,0.24,0.26,0.25,0.25,0.24,0.25,0.28,0.26,0.24,0.22,0.23,0.28,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.25,0.24,0.23,0.22,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.22,0.22,0.23,0.24,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.23,0.21,0.21,0.21,0.23,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.24,0.21,0.2,0.2,0.2,0.22,0.2,0.2,0.2,0.0,0.19,0.19,0.0,0.19,0.2,0.0,0.19,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.18
07/15/2021,1.03,0.86,0.81,0.79,0.82,0.99,0.92,0.8,0.66,0.61,0.55,0.64,0.5,0.28,0.63,0.57,0.55,0.47,0.4,0.46,0.46,0.41,0.46,0.45,0.57,0.42,0.38,0.43,0.39,0.39,0.42,0.48,0.43,0.46,0.39,0.4,0.39,0.36,0.36,0.36,0.37,0.37,0.35,0.37,0.35,0.36,0.42,0.37,0.35,0.39,0.33,0.38,0.38,0.34,0.36,0.36,0.35,0.34,0.28,0.36,0.34,0.35,0.35,0.32,0.34,0.31,0.29,0.35,0.37,0.32,0.29,0.32,0.29,0.35,0.32,0.3,0.32,0.38,0.29,0.29,0.29,0.29,0.34,0.28,0.3,0.27,0.3,0.3,0.25,0.27,0.28,0.27,0.25,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.31,0.27,0.28,0.3,0.25,0.25,0.24,0.25,0.26,0.28,0.26,0.26,0.26,0.28,0.37,0.26,0.26,0.27,0.27,0.25,0.25,0.24,0.26,0.26,0.24,0.25,0.26,0.24,0.24,0.24,0.25,0.31,0.26,0.23,0.21,0.23,0.27,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.23,0.24,0.23,0.23,0.25,0.2,0.22,0.22,0.23,0.22,0.22,0.23,0.23,0.24,0.22,0.21,0.22,0.21,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.21,0.19,0.2,0.26,0.2,0.0,0.2,0.2,0.22,0.0,0.2,0.0,0.2,0.0,0.21,0.19,0.19,0.2,0.0,0.2,0.19,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.34
07/16/2021,1.07,0.89,0.84,0.87,0.76,0.94,0.94,0.87,0.66,0.6,0.5,0.63,0.54,0.35,0.63,0.55,0.54,0.46,0.42,0.47,0.44,0.39,0.5,0.44,0.58,0.42,0.38,0.43,0.39,0.39,0.41,0.48,0.43,0.44,0.35,0.39,0.39,0.35,0.36,0.35,0.36,0.37,0.35,0.36,0.34,0.37,0.41,0.37,0.33,0.4,0.36,0.42,0.36,0.34,0.36,0.36,0.35,0.34,0.22,0.35,0.35,0.35,0.34,0.32,0.33,0.31,0.3,0.36,0.34,0.31,0.3,0.33,0.29,0.32,0.31,0.29,0.31,0.37,0.29,0.29,0.29,0.29,0.32,0.25,0.31,0.27,0.3,0.3,0.25,0.27,0.27,0.26,0.26,0.28,0.27,0.29,0.28,0.27,0.26,0.26,0.27,0.3,0.28,0.29,0.29,0.25,0.24,0.25,0.25,0.26,0.27,0.27,0.26,0.24,0.28,0.37,0.27,0.27,0.28,0.29,0.25,0.25,0.23,0.25,0.25,0.24,0.25,0.26,0.24,0.26,0.24,0.24,0.31,0.25,0.24,0.23,0.23,0.27,0.24,0.25,0.23,0.23,0.24,0.24,0.24,0.24,0.22,0.23,0.26,0.23,0.24,0.24,0.2,0.22,0.23,0.22,0.22,0.22,0.23,0.23,0.25,0.23,0.22,0.22,0.21,0.22,0.23,0.23,0.21,0.2,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.21,0.0,0.2,0.26,0.21,0.0,0.2,0.2,0.21,0.0,0.22,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.19,0.2,0.19,0.0,0.19,0.22,0.2,0.0,0.2,0.0,0.21,0.19,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.37
07/19/2021,0.97,0.92,0.91,0.89,0.76,0.91,0.9,0.92,0.69,0.61,0.5,0.6,0.56,0.4,0.59,0.57,0.55,0.46,0.46,0.45,0.42,0.38,0.52,0.45,0.59,0.4,0.41,0.43,0.37,0.42,0.4,0.44,0.43,0.46,0.36,0.38,0.4,0.34,0.36,0.35,0.34,0.37,0.35,0.33,0.32,0.39,0.42,0.36,0.34,0.39,0.37,0.44,0.34,0.34,0.36,0.36,0.31,0.34,0.22,0.34,0.38,0.39,0.34,0.32,0.33,0.31,0.29,0.32,0.35,0.31,0.29,0.34,0.29,0.32,0.3,0.29,0.31,0.38,0.29,0.29,0.29,0.28,0.34,0.26,0.32,0.27,0.28,0.3,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.3,0.27,0.27,0.26,0.26,0.27,0.29,0.28,0.28,0.29,0.24,0.24,0.25,0.25,0.26,0.28,0.26,0.25,0.23,0.28,0.38,0.28,0.26,0.31,0.29,0.25,0.25,0.23,0.25,0.26,0.24,0.24,0.26,0.23,0.26,0.24,0.24,0.33,0.25,0.23,0.24,0.22,0.27,0.26,0.24,0.23,0.22,0.23,0.23,0.24,0.24,0.21,0.23,0.26,0.23,0.23,0.23,0.21,0.22,0.24,0.23,0.21,0.22,0.22,0.23,0.26,0.25,0.25,0.22,0.21,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.0,0.2,0.26,0.21,0.19,0.19,0.19,0.21,0.0,0.22,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.19,0.2,0.0,0.0,0.19,0.21,0.21,0.19,0.2,0.0,0.25,0.0,0.22,0.2,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.38
07/20/2021,0.97,0.92,0.91,0.89,0.76,0.91,0.9,0.92,0.69,0.61,0.5,0.6,0.56,0.0,0.59,0.57,0.55,0.46,0.46,0.45,0.42,0.38,0.52,0.45,0.59,0.4,0.41,0.43,0.37,0.42,0.4,0.44,0.43,0.46,0.36,0.38,0.4,0.34,0.36,0.35,0.36,0.37,0.35,0.33,0.32,0.39,0.42,0.36,0.34,0.39,0.37,0.44,0.34,0.34,0.36,0.36,0.31,0.34,0.22,0.34,0.38,0.39,0.34,0.32,0.33,0.31,0.29,0.32,0.35,0.31,0.29,0.34,0.29,0.32,0.3,0.29,0.31,0.38,0.29,0.29,0.29,0.0,0.34,0.26,0.32,0.27,0.28,0.3,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.3,0.27,0.27,0.26,0.26,0.27,0.29,0.28,0.28,0.29,0.24,0.24,0.25,0.25,0.26,0.28,0.26,0.25,0.23,0.28,0.38,0.28,0.26,0.31,0.29,0.25,0.25,0.23,0.25,0.26,0.24,0.24,0.26,0.23,0.26,0.24,0.24,0.33,0.26,0.23,0.24,0.22,0.27,0.26,0.24,0.23,0.22,0.23,0.23,0.24,0.24,0.21,0.23,0.26,0.23,0.23,0.23,0.21,0.22,0.24,0.23,0.21,0.22,0.22,0.23,0.26,0.25,0.25,0.22,0.21,0.22,0.22,0.23,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.0,0.2,0.26,0.21,0.19,0.19,0.19,0.21,0.0,0.22,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.19,0.2,0.0,0.0,0.19,0.21,0.21,0.19,0.2,0.0,0.25,0.0,0.22,0.2,0.0,0.19,0.29,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21
07/21/2021,0.91,0.89,0.82,0.93,0.76,0.91,0.91,0.87,0.7,0.6,0.5,0.58,0.55,0.0,0.55,0.55,0.53,0.45,0.45,0.47,0.42,0.37,0.53,0.42,0.61,0.39,0.4,0.43,0.37,0.41,0.4,0.42,0.44,0.49,0.36,0.39,0.43,0.34,0.36,0.35,0.38,0.38,0.36,0.36,0.32,0.4,0.43,0.35,0.33,0.38,0.36,0.42,0.35,0.33,0.36,0.35,0.3,0.34,0.22,0.34,0.38,0.38,0.36,0.32,0.34,0.3,0.29,0.32,0.35,0.3,0.29,0.33,0.28,0.31,0.31,0.29,0.31,0.37,0.29,0.29,0.29,0.0,0.35,0.26,0.33,0.26,0.28,0.31,0.25,0.27,0.26,0.26,0.27,0.27,0.27,0.3,0.29,0.27,0.26,0.25,0.27,0.29,0.3,0.28,0.3,0.24,0.23,0.24,0.24,0.26,0.27,0.27,0.26,0.23,0.27,0.39,0.3,0.26,0.33,0.28,0.25,0.25,0.23,0.25,0.26,0.23,0.24,0.26,0.24,0.27,0.24,0.24,0.36,0.26,0.22,0.24,0.22,0.29,0.25,0.24,0.23,0.22,0.23,0.24,0.24,0.24,0.23,0.23,0.26,0.23,0.24,0.23,0.21,0.22,0.24,0.22,0.21,0.23,0.23,0.23,0.27,0.26,0.26,0.21,0.21,0.22,0.22,0.23,0.2,0.19,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.0,0.2,0.28,0.21,0.0,0.19,0.2,0.21,0.0,0.21,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.21,0.21,0.19,0.19,0.0,0.25,0.0,0.21,0.2,0.0,0.0,0.34,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.19
07/22/2021,0.87,0.9,0.8,0.93,0.71,0.87,0.89,0.87,0.71,0.63,0.5,0.58,0.57,0.24,0.54,0.56,0.54,0.45,0.48,0.46,0.42,0.37,0.53,0.41,0.56,0.4,0.41,0.43,0.39,0.42,0.4,0.42,0.47,0.48,0.37,0.4,0.43,0.34,0.37,0.36,0.35,0.39,0.36,0.36,0.33,0.4,0.43,0.35,0.32,0.38,0.37,0.43,0.34,0.36,0.37,0.37,0.31,0.35,0.22,0.36,0.38,0.41,0.0,0.32,0.36,0.33,0.3,0.32,0.35,0.3,0.3,0.34,0.28,0.32,0.38,0.29,0.3,0.38,0.28,0.29,0.29,0.28,0.33,0.26,0.32,0.27,0.31,0.31,0.26,0.26,0.27,0.25,0.27,0.29,0.31,0.29,0.29,0.27,0.26,0.25,0.27,0.3,0.31,0.28,0.31,0.24,0.25,0.24,0.25,0.27,0.28,0.27,0.26,0.24,0.28,0.39,0.32,0.26,0.33,0.29,0.26,0.26,0.24,0.0,0.28,0.23,0.25,0.26,0.23,0.27,0.25,0.25,0.37,0.24,0.22,0.25,0.23,0.0,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.32,0.22,0.23,0.27,0.24,0.24,0.24,0.21,0.22,0.23,0.23,0.21,0.23,0.22,0.24,0.27,0.26,0.26,0.23,0.21,0.23,0.21,0.24,0.21,0.2,0.21,0.21,0.0,0.22,0.21,0.21,0.2,0.21,0.0,0.2,0.28,0.21,0.0,0.0,0.19,0.21,0.0,0.0,0.0,0.2,0.0,0.22,0.2,0.2,0.0,0.21,0.0,0.2,0.0,0.0,0.0,0.22,0.21,0.2,0.21,0.0,0.25,0.21,0.21,0.2,0.0,0.0,0.0,0.2,0.26,0.36,0.21,0.2,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.91
07/23/2021,0.9,0.9,0.81,0.93,0.74,0.9,0.89,0.93,0.69,0.63,0.5,0.59,0.57,0.24,0.54,0.56,0.55,0.45,0.47,0.47,0.43,0.36,0.53,0.42,0.55,0.39,0.41,0.42,0.39,0.42,0.4,0.44,0.45,0.47,0.37,0.4,0.42,0.34,0.37,0.36,0.36,0.4,0.36,0.35,0.34,0.38,0.43,0.37,0.32,0.38,0.37,0.42,0.35,0.35,0.37,0.36,0.32,0.35,0.22,0.36,0.36,0.41,0.0,0.31,0.35,0.31,0.29,0.32,0.39,0.3,0.29,0.33,0.28,0.32,0.38,0.28,0.3,0.4,0.29,0.29,0.29,0.28,0.34,0.27,0.31,0.27,0.3,0.32,0.26,0.26,0.27,0.25,0.27,0.29,0.33,0.28,0.29,0.26,0.26,0.25,0.27,0.3,0.31,0.28,0.3,0.23,0.24,0.24,0.25,0.27,0.28,0.3,0.25,0.25,0.28,0.38,0.31,0.26,0.33,0.29,0.26,0.26,0.23,0.0,0.28,0.23,0.25,0.26,0.23,0.28,0.25,0.25,0.36,0.27,0.22,0.25,0.22,0.0,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.32,0.22,0.23,0.26,0.24,0.24,0.24,0.21,0.22,0.23,0.23,0.21,0.23,0.22,0.24,0.26,0.26,0.26,0.23,0.21,0.22,0.21,0.23,0.22,0.2,0.21,0.2,0.0,0.21,0.21,0.2,0.2,0.21,0.0,0.2,0.31,0.21,0.2,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.22,0.21,0.2,0.21,0.2,0.24,0.2,0.2,0.2,0.0,0.0,0.0,0.21,0.27,0.36,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.97
