,MARKET VECTORS RUSSIA ETF SWAP,MARKET VECTORS RUSSIA ETF SWAP.1,RSX,BANK OF NEW YORK CASH RESERVE,DREYFUS GOVT CASH MGMT,GOLDMAN FINL SQ TRSRY INST 506,MARKET VECTORS RUSSIA ETF SWAP.2,DREYFUS GOVT CASH MGMT.1,GOLDMAN FINL SQ TRSRY INS,GOLDMAN FINL SQ TRSRY INST 506.1,DREYFUS GOVT CASH MGMT.2,n/a,SUM
07/09/2021,32.01,25.07,18.62,8.28,8.02,4.47,3.09,0.39,0.05,0.0,0.0,0.0,100.0
06/17/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
