,SRLN,SPYD,EBND,DWX,SPLB,SPTL,JNK,PSK,CWB,GII,REM,KBWY,Ssga Fds/Usa State St Inst Us Gov M Oef ,U.S. Dollar,Invesco KBW Premium Yield Eq REIT ETF,GVMXX,State Street Instl US Govt MMkt Premier,n/a,SUM
07/09/2021,20.3,15.28,9.79,8.86,7.96,7.26,7.17,7.12,5.3,5.01,4.87,1.01,0.07,-0.01,0.0,0.0,0.0,0.0,99.99
07/12/2021,20.28,15.13,9.78,8.84,8.04,7.37,7.17,7.13,5.23,5.0,4.77,1.0,0.26,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,20.28,15.13,9.78,8.84,8.04,7.37,7.17,7.13,5.23,5.0,4.77,1.0,0.26,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,20.17,15.37,9.75,8.92,7.92,7.22,7.14,7.09,5.25,5.02,4.89,1.02,0.25,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,20.16,15.42,9.73,8.93,7.91,7.2,7.13,7.08,5.24,5.0,4.91,1.03,0.25,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,20.13,15.9,10.02,9.01,9.25,7.06,5.53,7.02,5.02,4.99,4.79,1.02,0.25,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,20.07,15.86,10.07,8.97,9.36,7.2,5.53,7.0,4.94,4.96,4.74,1.03,0.26,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,20.1,15.71,10.11,8.98,9.36,7.21,5.54,7.02,4.92,4.99,4.75,0.0,0.0,0.0,1.03,0.27,0.0,0.0,99.99
07/21/2021,20.1,15.71,10.11,8.98,9.36,7.21,5.54,7.02,4.92,4.99,4.75,1.03,0.27,0.01,0.0,0.0,0.0,0.0,100.0
07/22/2021,20.1,15.71,10.11,8.98,9.36,7.21,5.54,7.02,4.92,4.99,4.75,0.0,0.0,0.0,1.03,0.27,0.0,0.0,99.99
07/23/2021,20.11,15.63,10.08,8.92,9.45,7.31,5.53,7.02,4.98,4.89,4.77,1.04,0.27,-0.01,0.0,0.0,0.0,0.0,99.99
07/26/2021,20.09,15.62,10.1,8.98,9.44,7.27,5.54,6.99,5.01,4.92,4.75,1.03,0.27,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,20.07,15.68,10.06,8.99,9.41,7.21,5.54,6.99,5.04,4.95,4.74,0.0,0.0,0.0,1.04,0.27,0.0,0.0,99.99
