,SPLK,NET,TEAM,NVDA,ILMN,AYX,MSFT,AMZN,VRNS,BIDU,RPD,NOW,TWLO,MELI,GOOGL,ADI,ETSY,FICO,ANET,VCYT,CRM,AMD,HUBS,WIX,SPOT,IBM,DSY.PA,BABA,700.HK,NFLX,ZEN,SQ,IRBT,SHOP,YNDX,APX.AX,ADSK,VEEV,VRSK,NEWR,INTU,YEXT,ASML,BFLY,2330.TW,NSY.,CGNX,TSLA,LRCX,ADBE,JD,PRSM.L,LMND,PANW,IFX.DE,CSGP,MDB,FISV,AZPN,TER,CSOD,EA,BKNG,CDR.WA,MCFE,PSTG,3443.TW,ACN,TBLD.L,2454.TW,NLOK,AI,268.HK,002230.SZ,AGPXX,Taiwan Dollar,British Sterling Pound,Chinese Yuan Renminbi,Cash,FROG,SUM
07/09/2021,1.92,1.77,1.76,1.73,1.73,1.67,1.66,1.64,1.63,1.6,1.6,1.6,1.6,1.57,1.57,1.57,1.57,1.56,1.56,1.55,1.55,1.54,1.54,1.54,1.54,1.53,1.5,1.49,1.46,1.46,1.45,1.42,1.42,1.41,1.41,1.4,1.39,1.39,1.38,1.36,1.36,1.35,1.34,1.34,1.34,1.34,1.33,1.32,1.3,1.27,1.26,1.25,1.25,1.2,1.16,1.14,1.14,1.11,1.11,1.08,1.07,1.07,1.05,1.03,0.95,0.94,0.93,0.93,0.92,0.88,0.87,0.83,0.73,0.37,0.35,0.01,0.0,0.0,-0.01,0.0,99.95
09/28/2021,1.93,2.01,2.2,1.66,1.81,1.54,1.74,1.59,1.72,1.3,1.89,1.72,1.54,1.59,1.71,1.55,1.44,1.63,1.63,1.72,1.53,1.75,1.56,1.57,1.3,1.46,1.7,1.31,1.19,1.41,1.32,1.45,1.37,1.44,1.35,1.13,1.52,1.47,1.48,1.41,1.46,1.22,1.51,1.01,1.3,1.49,1.43,1.33,1.31,1.34,1.15,1.33,0.96,1.29,1.12,1.22,1.14,1.18,1.15,1.05,0.99,1.08,1.03,1.0,0.9,0.95,0.93,0.98,0.0,0.84,0.79,0.65,0.66,0.32,0.39,0.0,0.0,0.0,0.0,0.86,100.0
