,VNA.DE,GMG.AX,8801.T,16.HK,8802.T,823.HK,DWNI.DE,SGRO.L,1113.HK,8830.T,1109.HK,SMPH.PM,SCG.AX,8951.T,LEG.DE,URW.AS,1997.HK,8952.T,DXSDB.AX,MGR.AX,688.HK,CAR.UN.TO,SGP.AX,1878.T,RMV.L,8953.T,SPSN.SW,3462.T,AT1.DE,3281.T,C38U.SI,17.HK,GFC.PA,A17U.SI,C31.SI,BALD B.ST,3283.T,3003.T,LAND.L,Cash & Cash Equivalents,FSV.TO,REA.AX,PIKK.ME,12.HK,ALI.PM,CAST.ST,8984.T,BLND.L,PSPN.SW,GPT.AX,REI.UN.TO,LI.PA,1821.HK,WDP.BR,H78.SI,CPN-R.BK,VCX.AX,8954.T,83.HK,CHC.AX,2202.HK,SAGAB.ST,UTG.L,AC.PM,KOJAMO.HE,LUND B.ST,TEG.DE,SBB B.ST,BBOX.L,DLN.L,FABG.ST,3269.T,AP.UN.TO,8960.T,101.HK,AED.BR,M44U.SI,COFB.BR,GRT.UN.TO,COV.PA,CIGI.TO,3249.T,HR.UN.TO,DLF.NS,8955.T,ENTRA.OL,3288.T,3309.T,3289.T,1209.HK,ME8U.SI,MRL.MC,N2IU.SI,WALL B.ST,BYG.L,3279.T,AOX.DE,GRT.JO,SRU.UN.TO,1972.HK,WIHL.ST,FUNO11.MX,8972.T,3226.T,8804.T,LMP.L,3231.T,PHP.L,SAFE.L,CHP.UN.TO,COL.MC,ALLN.SW,BUOU.SI,FCR.UN.TO,3466.T,AGR.L,8985.T,8967.T,ICAD.PA,GRI.L,GODREJPROP.NS,3471.T,8876.T,CAI.VI,GYC.DE,NRP.JO,U14.SI,AZRG.TA,3234.T,C09.SI,NYF.ST,T82U.SI,8986.T,ADJ.DE,AJBU.SI,14.HK,8963.T,8964.T,3292.T,SMU.UN.TO,CSH.UN.TO,TCN.TO,SVS.L,DIR-U.NE,LDHUF,MOBN.SW,10.HK,9945.TW,KLED.ST,GPOR.L,NXI.PA,HUFV A.ST,817.HK,8976.T,3282.T,SCP.AX,3295.T,CLW.AX,IIP.UN.TO,ALHE.TA,3319.HK,MVNE.TA,IIA.VI,683.HK,GMT.NZ,JM.ST,VGP.BR,AIF.TO,NSR.AX,J69U.SI,3296.T,3298.T,2777.HK,2542.TW,COREB.ST,HMSO.L,KMP.UN.TO,PNDX B.ST,SHB.L,NWH.UN.TO,8957.T,BRML3.SA,CATE.ST,VNQI,CAPC.L,RW0U.SI,3453.T,3278.T,WPR.AX,MONT.BR,COVH.PA,MLSR.TA,SMP.L,WKP.L,8905.T,K71U.SI,RDF.JO,CQR.AX,BWP.AX,8956.T,DXS.AX,CRR.UN.TO,HMN.SI,MULT3.SA,XIOR.BR,2778.HK,DWN.,INS.DE,n/a,PRSK.TA,SUM
07/09/2021,3.08,2.23,1.95,1.95,1.91,1.75,1.74,1.61,1.56,1.44,1.0,0.93,0.92,0.9,0.9,0.88,0.77,0.75,0.74,0.73,0.72,0.72,0.68,0.68,0.68,0.66,0.65,0.65,0.64,0.63,0.62,0.62,0.61,0.6,0.59,0.59,0.58,0.58,0.55,0.55,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31
07/12/2021,3.14,2.28,1.95,1.93,1.88,1.7,1.74,1.65,1.52,1.39,0.97,0.9,0.89,0.89,0.95,0.89,0.74,0.74,0.0,0.73,0.72,0.72,0.69,0.67,0.67,0.64,0.66,0.64,0.65,0.64,0.61,0.58,0.63,0.6,0.59,0.61,0.59,0.57,0.56,0.52,0.55,0.54,0.53,0.53,0.5,0.54,0.5,0.52,0.52,0.5,0.5,0.48,0.47,0.49,0.47,0.44,0.45,0.45,0.47,0.45,0.44,0.46,0.44,0.41,0.43,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.37,0.39,0.38,0.37,0.37,0.37,0.36,0.34,0.33,0.34,0.32,0.34,0.31,0.32,0.3,0.31,0.31,0.31,0.3,0.31,0.29,0.28,0.29,0.28,0.27,0.26,0.28,0.27,0.26,0.28,0.27,0.26,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.7,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.32999999999998
07/13/2021,3.14,2.28,1.95,1.93,1.88,1.7,1.74,1.65,1.52,1.39,0.97,0.9,0.89,0.89,0.95,0.89,0.74,0.74,0.0,0.73,0.72,0.72,0.69,0.67,0.67,0.64,0.66,0.64,0.65,0.64,0.61,0.58,0.63,0.6,0.59,0.61,0.59,0.57,0.56,0.52,0.55,0.54,0.53,0.53,0.5,0.54,0.5,0.52,0.52,0.5,0.5,0.48,0.47,0.49,0.47,0.44,0.45,0.45,0.47,0.45,0.44,0.46,0.44,0.41,0.43,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.4,0.4,0.37,0.39,0.38,0.37,0.37,0.37,0.36,0.34,0.33,0.34,0.32,0.34,0.31,0.32,0.3,0.31,0.31,0.31,0.3,0.31,0.29,0.28,0.29,0.28,0.27,0.26,0.28,0.27,0.26,0.28,0.27,0.26,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.2,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.0,0.7,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.32999999999998
07/15/2021,3.16,2.31,1.98,1.94,1.89,1.7,1.72,1.66,1.53,1.4,0.99,0.89,0.89,0.89,0.96,0.88,0.75,0.74,0.0,0.73,0.72,0.72,0.69,0.69,0.67,0.63,0.67,0.63,0.65,0.63,0.6,0.56,0.63,0.6,0.59,0.62,0.57,0.57,0.56,0.54,0.55,0.53,0.52,0.52,0.51,0.55,0.49,0.52,0.53,0.5,0.49,0.47,0.48,0.49,0.46,0.44,0.45,0.45,0.46,0.46,0.44,0.46,0.45,0.41,0.43,0.42,0.42,0.44,0.42,0.42,0.43,0.41,0.39,0.4,0.38,0.4,0.37,0.37,0.37,0.37,0.36,0.34,0.33,0.35,0.32,0.34,0.32,0.32,0.3,0.32,0.31,0.32,0.3,0.31,0.29,0.27,0.29,0.28,0.27,0.26,0.28,0.27,0.26,0.28,0.26,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.21,0.23,0.21,0.2,0.23,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.2,0.18,0.21,0.2,0.19,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.0,0.68,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,83.41
07/16/2021,3.15,2.29,2.02,1.97,1.91,1.71,1.71,1.66,1.55,1.42,0.99,0.88,0.88,0.88,0.96,0.86,0.76,0.74,0.0,0.72,0.72,0.71,0.68,0.69,0.68,0.62,0.67,0.64,0.63,0.64,0.6,0.57,0.63,0.6,0.59,0.62,0.58,0.59,0.56,0.55,0.55,0.53,0.52,0.54,0.49,0.55,0.5,0.51,0.53,0.49,0.49,0.46,0.49,0.5,0.46,0.45,0.45,0.45,0.47,0.45,0.42,0.47,0.43,0.41,0.42,0.42,0.42,0.43,0.42,0.41,0.42,0.41,0.39,0.4,0.39,0.39,0.38,0.37,0.36,0.37,0.35,0.34,0.33,0.35,0.32,0.34,0.33,0.32,0.31,0.32,0.31,0.31,0.3,0.3,0.29,0.27,0.29,0.26,0.27,0.26,0.27,0.27,0.25,0.28,0.27,0.27,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.23,0.24,0.24,0.24,0.23,0.22,0.23,0.23,0.22,0.22,0.24,0.21,0.2,0.23,0.21,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.2,0.18,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.0,0.13,0.13,0.0,0.68,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,83.42999999999999
07/19/2021,3.14,2.32,2.01,2.0,1.91,1.72,1.74,1.66,1.56,1.39,1.01,0.87,0.85,0.9,0.95,0.83,0.77,0.75,0.0,0.71,0.74,0.73,0.66,0.73,0.69,0.62,0.66,0.64,0.63,0.64,0.6,0.58,0.62,0.61,0.59,0.61,0.58,0.59,0.55,0.5,0.55,0.53,0.53,0.54,0.49,0.54,0.51,0.5,0.52,0.49,0.49,0.45,0.5,0.49,0.46,0.44,0.44,0.45,0.47,0.45,0.42,0.46,0.43,0.41,0.43,0.42,0.42,0.43,0.41,0.41,0.41,0.42,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.35,0.33,0.36,0.32,0.32,0.32,0.33,0.3,0.33,0.31,0.3,0.3,0.29,0.29,0.27,0.28,0.26,0.27,0.26,0.26,0.27,0.26,0.28,0.28,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.25,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.21,0.2,0.22,0.21,0.21,0.19,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.18,0.21,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.18,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.0,0.12,0.13,0.0,0.68,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,83.33
07/22/2021,3.19,2.34,2.02,1.99,1.91,1.73,1.76,1.66,1.56,1.39,1.0,0.85,0.84,0.91,0.96,0.8,0.77,0.75,0.0,0.71,0.75,0.71,0.66,0.74,0.68,0.63,0.67,0.64,0.62,0.65,0.59,0.58,0.63,0.61,0.61,0.6,0.59,0.59,0.53,0.48,0.55,0.51,0.53,0.53,0.48,0.55,0.52,0.49,0.52,0.49,0.47,0.44,0.53,0.5,0.47,0.44,0.43,0.46,0.49,0.45,0.42,0.47,0.42,0.39,0.43,0.42,0.42,0.44,0.41,0.41,0.41,0.42,0.38,0.4,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.32,0.38,0.32,0.32,0.33,0.33,0.3,0.34,0.31,0.3,0.3,0.3,0.29,0.27,0.29,0.26,0.26,0.27,0.27,0.27,0.26,0.28,0.28,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.25,0.23,0.26,0.24,0.23,0.24,0.23,0.23,0.26,0.24,0.22,0.23,0.23,0.22,0.22,0.24,0.22,0.2,0.22,0.2,0.21,0.18,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.21,0.19,0.18,0.18,0.18,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.18,0.16,0.16,0.16,0.17,0.16,0.15,0.17,0.17,0.13,0.15,0.14,0.14,0.14,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.0,0.13,0.13,0.0,0.12,0.13,0.12,0.69,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,83.38
07/23/2021,3.18,2.36,1.95,1.97,1.86,1.74,1.74,1.67,1.56,1.36,0.99,0.86,0.83,0.9,0.96,0.83,0.77,0.74,0.0,0.7,0.74,0.72,0.65,0.73,0.67,0.62,0.67,0.63,0.63,0.66,0.59,0.58,0.64,0.61,0.61,0.6,0.6,0.58,0.54,0.51,0.56,0.52,0.54,0.53,0.48,0.55,0.52,0.5,0.52,0.48,0.49,0.44,0.54,0.51,0.47,0.44,0.42,0.45,0.48,0.45,0.41,0.48,0.43,0.39,0.43,0.42,0.42,0.45,0.41,0.41,0.41,0.43,0.39,0.4,0.39,0.4,0.38,0.37,0.37,0.37,0.37,0.36,0.33,0.37,0.32,0.32,0.32,0.33,0.29,0.33,0.31,0.31,0.3,0.3,0.29,0.27,0.29,0.26,0.27,0.27,0.27,0.27,0.25,0.29,0.26,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.26,0.24,0.22,0.23,0.23,0.22,0.22,0.24,0.22,0.2,0.22,0.2,0.21,0.19,0.21,0.21,0.2,0.2,0.2,0.21,0.19,0.2,0.18,0.2,0.19,0.19,0.18,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.18,0.16,0.16,0.16,0.17,0.16,0.15,0.17,0.17,0.14,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.0,0.0,0.13,0.0,0.69,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.0,83.41999999999999
07/26/2021,3.23,2.36,1.91,1.98,1.84,1.74,0.0,1.7,1.54,1.35,1.0,0.85,0.84,0.88,0.98,0.85,0.77,0.73,0.0,0.71,0.74,0.72,0.66,0.72,0.69,0.61,0.68,0.62,0.64,0.64,0.59,0.58,0.64,0.61,0.63,0.61,0.59,0.57,0.56,0.34,0.57,0.52,0.53,0.53,0.48,0.55,0.51,0.51,0.51,0.49,0.48,0.46,0.54,0.51,0.47,0.43,0.43,0.44,0.47,0.45,0.41,0.49,0.44,0.4,0.43,0.44,0.42,0.45,0.42,0.42,0.41,0.42,0.39,0.39,0.39,0.4,0.38,0.37,0.37,0.37,0.38,0.35,0.32,0.37,0.32,0.33,0.32,0.32,0.29,0.32,0.31,0.31,0.3,0.3,0.29,0.26,0.3,0.26,0.27,0.27,0.27,0.27,0.25,0.29,0.26,0.26,0.24,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.22,0.24,0.24,0.24,0.25,0.24,0.22,0.35,0.23,0.21,0.22,0.24,0.21,0.2,0.22,0.2,0.21,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.18,0.19,0.18,0.21,0.19,0.18,0.18,0.18,0.18,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.17,0.17,0.14,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.13,0.14,0.13,0.13,0.0,0.13,0.0,0.12,0.13,0.0,0.7,0.12,0.0,0.13,0.0,0.0,1.72,0.13,0.0,0.0,83.4
07/29/2021,3.08,2.4,1.93,1.97,1.86,1.73,0.0,1.7,1.54,1.35,0.97,0.82,0.81,0.88,0.96,0.88,0.77,0.73,0.0,0.7,0.74,0.72,0.66,0.71,0.69,0.61,0.68,0.62,0.65,0.64,0.59,0.58,0.64,0.61,0.63,0.61,0.6,0.58,0.57,0.35,0.57,0.53,0.55,0.52,0.45,0.55,0.51,0.52,0.52,0.48,0.49,0.47,0.53,0.51,0.47,0.43,0.42,0.44,0.47,0.46,0.38,0.49,0.44,0.38,0.43,0.44,0.42,0.46,0.43,0.43,0.41,0.41,0.39,0.38,0.4,0.4,0.37,0.37,0.37,0.38,0.38,0.35,0.33,0.38,0.31,0.33,0.34,0.32,0.29,0.27,0.31,0.32,0.3,0.3,0.3,0.26,0.3,0.26,0.27,0.27,0.27,0.28,0.25,0.28,0.27,0.27,0.25,0.26,0.26,0.25,0.25,0.26,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.24,0.25,0.24,0.22,0.36,0.23,0.21,0.22,0.24,0.21,0.2,0.22,0.2,0.21,0.19,0.2,0.21,0.2,0.2,0.2,0.21,0.19,0.2,0.18,0.2,0.18,0.19,0.18,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.19,0.17,0.17,0.18,0.17,0.17,0.16,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.14,0.17,0.17,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.0,0.7,0.13,0.0,0.13,0.0,0.0,1.74,0.13,0.0,0.0,83.38
