,SVOL,n/a,SPY 12/16/22 P225 Equity,SPY 09/16/22 P210 Equity,SPX 06/17/22 P2000 Index,SPXW 10/20/21 P4260 Index,SPX 03/18/22 P2000 Index,SPX 12/17/21 P1800 Index,SPXW 10/13/21 P4210 Index,SPY 09/16/22 P185 Equity,SPXW 10/27/21 P4390 Index,SPXW 11/03/21 P4475 Index,SPY 11/19/21 P445 Equity,TYA,SUM
10/15/2021,85.3,8.49,2.83,2.49,0.87,0.59,0.33,0.05,0.01,-0.96,0.0,0.0,0.0,0.0,100.0
10/18/2021,86.81,8.27,2.45,2.11,0.74,0.06,0.27,0.03,0.0,-0.75,0.0,0.0,0.0,0.0,99.99
10/19/2021,86.81,8.27,2.45,2.11,0.74,0.06,0.27,0.03,0.0,-0.75,0.0,0.0,0.0,0.0,99.99
10/20/2021,86.81,8.27,2.45,2.11,0.74,0.06,0.27,0.03,0.0,-0.75,0.0,0.0,0.0,0.0,99.99
10/21/2021,86.79,8.25,2.5,2.17,0.76,0.01,0.27,0.03,0.0,-0.78,0.0,0.0,0.0,0.0,100.0
10/22/2021,87.11,7.93,2.41,2.07,0.73,0.0,0.26,0.03,0.0,-0.86,0.32,0.0,0.0,0.0,100.0
10/25/2021,87.66,7.92,2.26,1.97,0.69,0.0,0.23,0.02,0.0,-0.82,0.09,0.0,0.0,0.0,100.02
10/26/2021,87.66,7.92,2.26,1.97,0.69,0.0,0.23,0.02,0.0,-0.82,0.09,0.0,0.0,0.0,100.02
10/27/2021,87.58,7.95,2.28,1.99,0.71,0.0,0.24,0.02,0.0,-0.83,0.06,0.0,0.0,0.0,100.0
10/28/2021,88.27,7.75,2.12,1.7,0.63,0.0,0.21,0.02,0.0,-0.71,0.01,0.0,0.0,0.0,100.0
10/29/2021,87.18,8.28,2.12,1.78,0.63,0.0,0.23,0.02,0.0,-0.89,0.01,0.65,0.0,0.0,100.01000000000002
11/01/2021,87.28,8.46,2.15,1.82,0.65,0.0,0.23,0.02,0.0,-0.92,0.0,0.31,0.0,0.0,100.0
11/02/2021,87.28,8.46,2.15,1.82,0.65,0.0,0.23,0.02,0.0,-0.92,0.0,0.31,0.0,0.0,100.0
11/03/2021,87.44,8.52,2.12,1.82,0.64,0.0,0.23,0.02,0.0,-0.92,0.0,0.12,0.0,0.0,99.99
11/04/2021,87.7,8.5,2.06,1.74,0.6,0.0,0.21,0.02,0.0,-0.87,0.0,0.05,0.0,0.0,100.01
11/05/2021,87.9,8.46,1.99,1.7,0.58,0.0,0.2,0.01,0.0,-0.85,0.0,0.01,0.0,0.0,100.0
11/08/2021,88.05,8.43,1.94,1.67,0.56,0.0,0.19,0.01,0.0,-0.86,0.0,0.0,0.0,0.0,99.99
11/09/2021,88.05,8.43,1.94,1.67,0.56,0.0,0.19,0.01,0.0,-0.86,0.0,0.0,0.0,0.0,99.99
11/10/2021,87.8,8.23,2.04,1.77,0.62,0.0,0.21,0.02,0.0,-0.91,0.0,0.0,0.22,0.0,100.0
11/11/2021,77.81,8.3,2.05,1.77,0.63,0.0,0.21,0.01,0.0,-0.83,0.0,0.0,0.18,9.88,100.01
11/12/2021,77.55,8.27,2.09,1.83,0.64,0.0,0.22,0.01,0.0,-0.84,0.0,0.0,0.18,10.04,99.99
11/15/2021,77.86,8.39,2.09,1.85,0.64,0.0,0.22,0.01,0.0,-0.94,0.0,0.0,0.13,9.73,99.98000000000002
11/16/2021,77.86,8.39,2.09,1.85,0.64,0.0,0.22,0.01,0.0,-0.94,0.0,0.0,0.13,9.73,99.98000000000002
