,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,CMCSA,XOM,NFLX,VZ,INTC,CSCO,CRM,PFE,KO,T,ABT,PEP,ABBV,TMO,CVX,WMT,LLY,NKE,MRK,ACN,AVGO,WFC,DHR,TXN,COST,MCD,MDT,QCOM,HON,UPS,PM,BMY,UNP,NEE,ORCL,C,AMGN,LOW,SBUX,RTX,BA,BLK,INTU,AMAT,AMT,IBM,MS,GS,TGT,CAT,AMD,MMM,GE,ISRG,NOW,SCHW,AXP,CVS,SPGI,DE,SQ,CHTR,ANTM,LMT,FIS,PLD,MU,BKNG,ZTS,SYK,LRCX,MDLZ,TMUS,MO,CCI,GILD,ZM,ADP,COP,UBER,TJX,MRNA,CI,GM,PNC,DUK,USB,BDX,CB,FDX,MMC,ATVI,TFC,EQIX,CSX,CME,EL,ITW,COF,ILMN,BX,ICE,EW,SHW,CL,NSC,SO,ADSK,FISV,TWLO,APD,WM,MCO,ETN,D,BSX,ADI,HUM,REGN,PGR,EMR,F,GPN,HCA,NXPI,NOC,NEM,BIIB,VRTX,DG,ECL,AON,FCX,ROP,XTSLA,JCI,EOG,KLAC,ALGN,LHX,WDAY,ROST,KMB,DOW,PSA,EBAY,GD,EXC,MET,SLB,DLR,AEP,CNC,SRE,BK,ALL,DD,AIG,BAX,EA,TRV,MAR,STZ,SYY,GIS,CTSH,KMI,TEAM,WBA,MNST,SNOW,DELL,KHC,KDP,LVS,USD,VMW,SCCO,JPFFT,GE.,ESU1,ESZ1,KD WI,RIVN,n/a,KD,SUM
07/09/2021,7.32,6.87,5.24,2.77,2.49,2.42,1.71,1.68,1.63,1.51,1.45,1.33,1.27,1.13,1.13,1.09,1.08,1.04,0.99,0.94,0.86,0.85,0.77,0.77,0.74,0.73,0.73,0.72,0.69,0.68,0.68,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.64,0.62,0.59,0.58,0.58,0.58,0.57,0.56,0.52,0.5,0.5,0.5,0.49,0.49,0.48,0.47,0.46,0.46,0.46,0.45,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.09,0.08,0.06,0.05,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.42,6.89,5.34,2.73,2.48,2.42,1.7,1.67,1.57,1.5,1.47,1.32,1.27,1.14,1.13,1.1,1.07,1.03,0.96,0.95,0.88,0.84,0.76,0.76,0.74,0.74,0.72,0.72,0.69,0.66,0.68,0.68,0.68,0.67,0.65,0.66,0.66,0.66,0.65,0.65,0.62,0.58,0.58,0.57,0.59,0.57,0.56,0.51,0.5,0.51,0.51,0.49,0.48,0.49,0.49,0.45,0.46,0.46,0.45,0.43,0.42,0.41,0.43,0.4,0.41,0.41,0.4,0.39,0.41,0.38,0.36,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.33,0.32,0.3,0.32,0.31,0.31,0.29,0.3,0.28,0.29,0.31,0.3,0.28,0.29,0.29,0.28,0.29,0.28,0.27,0.28,0.26,0.25,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.05,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
07/13/2021,7.42,6.89,5.34,2.73,2.48,2.42,1.7,1.67,1.57,1.5,1.47,1.32,1.27,1.14,1.13,1.1,1.07,1.03,0.96,0.95,0.88,0.84,0.76,0.76,0.74,0.74,0.72,0.72,0.69,0.66,0.68,0.68,0.68,0.67,0.65,0.66,0.66,0.66,0.65,0.65,0.62,0.58,0.58,0.57,0.59,0.57,0.56,0.51,0.5,0.51,0.51,0.49,0.48,0.49,0.49,0.45,0.46,0.46,0.45,0.43,0.42,0.41,0.43,0.4,0.41,0.41,0.4,0.39,0.41,0.38,0.36,0.38,0.37,0.37,0.36,0.35,0.36,0.35,0.33,0.32,0.3,0.32,0.31,0.31,0.29,0.3,0.28,0.29,0.31,0.3,0.28,0.29,0.29,0.28,0.29,0.28,0.27,0.28,0.26,0.25,0.27,0.26,0.26,0.25,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,0.23,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.05,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
07/14/2021,7.44,6.84,5.27,2.74,2.47,2.4,1.72,1.66,1.57,1.53,1.46,1.32,1.27,1.15,1.13,1.09,1.07,1.05,0.99,0.94,0.86,0.85,0.76,0.76,0.74,0.74,0.71,0.72,0.69,0.66,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.63,0.59,0.57,0.57,0.6,0.57,0.56,0.52,0.51,0.51,0.51,0.49,0.48,0.48,0.5,0.46,0.46,0.46,0.45,0.43,0.42,0.42,0.42,0.4,0.41,0.41,0.41,0.4,0.4,0.39,0.36,0.38,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.32,0.31,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.31,0.3,0.28,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.06,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,7.44,6.84,5.27,2.74,2.47,2.4,1.72,1.66,1.57,1.53,1.46,1.32,1.27,1.15,1.13,1.09,1.07,1.05,0.99,0.94,0.86,0.85,0.76,0.76,0.74,0.74,0.71,0.72,0.69,0.66,0.68,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.63,0.59,0.57,0.57,0.6,0.57,0.56,0.52,0.51,0.51,0.51,0.49,0.48,0.48,0.5,0.46,0.46,0.46,0.45,0.43,0.42,0.42,0.42,0.4,0.41,0.41,0.41,0.4,0.4,0.39,0.36,0.38,0.38,0.37,0.36,0.36,0.37,0.35,0.33,0.32,0.31,0.32,0.31,0.31,0.29,0.3,0.29,0.29,0.31,0.3,0.28,0.29,0.28,0.29,0.28,0.28,0.27,0.28,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.25,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.06,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,7.45,6.9,5.2,2.75,2.5,2.42,1.71,1.69,1.58,1.53,1.45,1.34,1.28,1.15,1.11,1.09,1.09,1.09,0.98,0.94,0.86,0.84,0.76,0.76,0.75,0.73,0.7,0.72,0.7,0.66,0.67,0.69,0.68,0.66,0.66,0.66,0.65,0.65,0.64,0.65,0.63,0.58,0.57,0.58,0.59,0.57,0.56,0.52,0.51,0.5,0.5,0.49,0.47,0.48,0.49,0.46,0.46,0.45,0.46,0.42,0.4,0.42,0.42,0.41,0.41,0.41,0.42,0.4,0.41,0.38,0.36,0.38,0.37,0.37,0.36,0.37,0.37,0.35,0.32,0.32,0.31,0.3,0.32,0.31,0.3,0.3,0.29,0.29,0.31,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.26,0.28,0.26,0.25,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.24,0.24,0.23,0.23,0.24,0.24,0.23,0.25,0.24,0.23,0.24,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.05,0.06,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,7.61,6.91,5.15,2.69,2.49,2.43,1.71,1.65,1.48,1.53,1.45,1.37,1.29,1.14,1.13,1.11,1.11,1.09,0.96,0.94,0.86,0.81,0.77,0.77,0.74,0.74,0.69,0.73,0.72,0.66,0.66,0.7,0.68,0.66,0.64,0.66,0.64,0.65,0.64,0.65,0.62,0.61,0.58,0.57,0.59,0.58,0.55,0.52,0.53,0.5,0.5,0.49,0.48,0.49,0.49,0.46,0.46,0.46,0.46,0.42,0.39,0.41,0.42,0.4,0.41,0.41,0.42,0.4,0.41,0.38,0.34,0.38,0.36,0.37,0.36,0.36,0.37,0.35,0.32,0.32,0.3,0.3,0.32,0.31,0.3,0.31,0.28,0.29,0.31,0.29,0.28,0.29,0.29,0.29,0.28,0.28,0.25,0.29,0.25,0.24,0.27,0.29,0.26,0.26,0.26,0.26,0.26,0.23,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.21,0.21,0.22,0.23,0.21,0.22,0.21,0.22,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.17,0.18,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.05,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,7.61,6.91,5.15,2.69,2.49,2.43,1.71,1.65,1.48,1.53,1.45,1.37,1.29,1.14,1.13,1.11,1.11,1.09,0.96,0.94,0.86,0.81,0.77,0.77,0.74,0.74,0.69,0.73,0.72,0.66,0.66,0.7,0.68,0.66,0.64,0.66,0.64,0.65,0.64,0.65,0.62,0.61,0.58,0.57,0.59,0.58,0.55,0.52,0.53,0.5,0.5,0.49,0.48,0.49,0.49,0.46,0.46,0.46,0.46,0.42,0.39,0.41,0.42,0.4,0.41,0.41,0.42,0.4,0.41,0.38,0.34,0.38,0.36,0.37,0.36,0.36,0.37,0.35,0.32,0.32,0.3,0.3,0.32,0.31,0.3,0.31,0.28,0.29,0.31,0.29,0.28,0.29,0.29,0.29,0.28,0.28,0.25,0.29,0.25,0.24,0.27,0.29,0.26,0.26,0.26,0.26,0.26,0.23,0.24,0.24,0.23,0.23,0.24,0.24,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.21,0.21,0.22,0.23,0.21,0.22,0.21,0.22,0.19,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.16,0.17,0.18,0.16,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.08,0.09,0.08,0.05,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,7.46,6.97,5.14,2.69,2.5,2.45,1.71,1.67,1.5,1.47,1.47,1.36,1.28,1.16,1.14,1.14,1.07,1.05,0.93,0.96,0.86,0.78,0.77,0.77,0.74,0.75,0.7,0.75,0.72,0.66,0.69,0.72,0.68,0.68,0.62,0.68,0.66,0.65,0.65,0.66,0.62,0.59,0.6,0.57,0.61,0.57,0.55,0.52,0.51,0.51,0.51,0.49,0.48,0.5,0.51,0.45,0.47,0.46,0.45,0.41,0.37,0.4,0.42,0.39,0.42,0.41,0.41,0.39,0.42,0.37,0.35,0.38,0.35,0.37,0.37,0.35,0.35,0.35,0.33,0.32,0.3,0.31,0.31,0.31,0.29,0.31,0.28,0.28,0.31,0.29,0.28,0.3,0.28,0.29,0.29,0.29,0.25,0.29,0.24,0.25,0.26,0.35,0.26,0.25,0.25,0.27,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.25,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.21,0.23,0.23,0.21,0.22,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.17,0.18,0.19,0.17,0.18,0.16,0.16,0.17,0.18,0.18,0.17,0.16,0.17,0.18,0.16,0.14,0.15,0.16,0.15,0.14,0.13,0.16,0.14,0.16,0.16,0.15,0.15,0.14,0.12,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.08,0.05,0.06,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
07/23/2021,7.55,6.93,5.1,2.69,2.5,2.45,1.71,1.69,1.47,1.48,1.46,1.35,1.28,1.15,1.15,1.12,1.08,1.06,0.94,0.96,0.86,0.78,0.75,0.76,0.73,0.75,0.73,0.75,0.71,0.66,0.68,0.71,0.67,0.68,0.61,0.67,0.66,0.65,0.64,0.65,0.62,0.61,0.59,0.57,0.61,0.58,0.55,0.52,0.53,0.51,0.49,0.49,0.47,0.5,0.51,0.45,0.47,0.46,0.46,0.42,0.38,0.41,0.43,0.4,0.42,0.41,0.42,0.4,0.42,0.38,0.35,0.38,0.37,0.37,0.37,0.35,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.31,0.28,0.29,0.31,0.29,0.28,0.3,0.28,0.29,0.29,0.29,0.25,0.28,0.24,0.25,0.26,0.34,0.26,0.25,0.25,0.26,0.25,0.23,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.23,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.19,0.18,0.18,0.21,0.18,0.18,0.16,0.16,0.17,0.18,0.18,0.17,0.16,0.17,0.18,0.16,0.14,0.15,0.16,0.15,0.14,0.14,0.15,0.14,0.15,0.16,0.16,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.05,0.04,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
