,SPTL,SPBO,VTIP,VWOB,SPHY,FLRN,VMBS,BNDX,n/a,SUM
11/24/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
11/25/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
11/26/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
11/29/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
11/30/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/01/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/02/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/06/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/07/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/08/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/09/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/10/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/13/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/14/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/15/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/16/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/17/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/20/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/21/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/22/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/23/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/24/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/27/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/28/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/29/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/30/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
12/31/2021,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/03/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/03/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/03/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/04/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/05/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/06/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/07/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/10/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/11/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
01/12/2022,23.35,15.77,13.89,13.7,9.9,9.03,5.98,5.94,2.44,100.0
