,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust C 3.68,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust P 350.72,US Dollar,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust P 258.43,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust C 398.71,SUM
07/09/2021,109.25,1.18,0.62,-0.3,-10.74,100.01000000000002
07/12/2021,109.78,1.19,0.61,-0.32,-11.26,100.0
07/13/2021,109.78,1.19,0.61,-0.32,-11.26,100.0
07/22/2021,107.82,1.63,0.62,-0.45,-9.62,100.0
07/23/2021,107.82,1.63,0.62,-0.45,-9.62,100.0
08/03/2021,110.48,1.09,0.61,-0.28,-11.91,99.99000000000001
