,AAPL,MSFT,AMZN,FB,GOOG,TSLA,JPM,JNJ,HD,PG,BAC,DIS,XOM,NVDA,ADBE,INTC,MA,PEP,CVX,ACN,MRK,UNH,VZ,PFE,CMCSA,TXN,KO,ABT,CRM,ORCL,C,NKE,LLY,QCOM,MS,BLK,GS,BMY,IBM,CAT,MDT,LOW,CSCO,GE,WMT,TGT,MMM,ANTM,Cash,INTU,SBUX,DE,DHR,MU,AMT,LRCX,GM,USB,ABBV,COF,T,TMO,TJX,AVGO,AMAT,PLD,ADSK,FDX,EL,PGR,EMR,CL,BSX,SPGI,AXP,CVS,ETN,SLB,UBER,EW,LULU,SHW,COP,ADP,EQIX,VEEV,AON,BDX,PNC,MO,FIS,PSA,VRTX,TWLO,GILD,HPQ,CTAS,MAR,JCI,CSX,ECL,AMD,NEM,TT,A,WELL,SNPS,SRE,EBAY,ISRG,PH,CRWD,AFL,APD,DLR,D,RMD,YUM,MTD,IFF,TEL,CI,STT,ES,GIS,SPOT,IDXX,PCAR,ZTS,HLT,MET,BURL,PSX,CTSH,AWK,NSC,PPG,BBY,SYF,ITW,AZO,WDC,FCX,MCK,FITB,SPLK,PEAK,OMC,CMI,KEY,HUM,BLL,HPE,AVTR,F,MCO,KR,ETSY,ROK,ANET,HAL,K,CBRE,CE,KEYS,BK,DG,DELL,DPZ,ROP,FE,POOL,WY,VTR,MXIM,VFC,KSU,PODD,MKC,ELS,DFS,CLX,FTCH,DOV,CDW,WPC,PFG,MGM,NTAP,688012.SS,ETR,HOLX,HBAN,BAX,ZBH,VLO,EIX,TRMB,EOG,WBA,U.S. Dollar For Futures,CERN,RSG,CMS,FTNT,n/a,688101.SS,ALNY,TDY,SPG,688001.SS,SUM
07/09/2021,5.34,5.23,5.02,4.5,4.16,2.83,2.52,2.35,1.84,1.75,1.67,1.41,1.4,1.36,1.27,1.2,1.16,1.1,1.07,1.05,1.04,1.03,1.01,0.97,0.97,0.95,0.93,0.91,0.8,0.78,0.75,0.73,0.72,0.71,0.71,0.71,0.69,0.68,0.66,0.63,0.62,0.62,0.62,0.61,0.54,0.53,0.53,0.52,0.49,0.49,0.48,0.48,0.47,0.45,0.42,0.4,0.39,0.39,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61
07/12/2021,5.52,5.27,5.28,4.44,4.21,2.69,2.48,2.35,1.85,1.76,1.61,1.37,1.34,1.35,1.3,1.18,1.15,1.11,1.04,1.07,1.04,1.04,1.02,0.96,0.96,0.94,0.93,0.92,0.8,0.82,0.73,0.73,0.73,0.7,0.7,0.71,0.68,0.68,0.66,0.62,0.62,0.62,0.61,0.6,0.54,0.53,0.53,0.52,0.49,0.49,0.49,0.48,0.48,0.44,0.43,0.39,0.38,0.38,0.38,0.36,0.35,0.35,0.34,0.34,0.32,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.24,0.24,0.26,0.26,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61
07/13/2021,5.52,5.27,5.28,4.44,4.21,2.69,2.48,2.35,1.85,1.76,1.61,1.37,1.34,1.35,1.3,1.18,1.15,1.11,1.04,1.07,1.04,1.04,1.02,0.96,0.96,0.94,0.93,0.92,0.8,0.82,0.73,0.73,0.73,0.7,0.7,0.71,0.68,0.68,0.66,0.62,0.62,0.62,0.61,0.6,0.54,0.53,0.53,0.52,0.49,0.49,0.49,0.48,0.48,0.44,0.43,0.39,0.38,0.38,0.38,0.36,0.35,0.35,0.34,0.34,0.32,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.24,0.24,0.26,0.26,0.25,0.23,0.24,0.25,0.24,0.23,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.07,0.08,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.61
07/14/2021,5.52,5.22,5.3,4.43,4.18,2.73,2.51,2.35,1.83,1.76,1.62,1.4,1.35,1.32,1.29,1.18,1.15,1.1,1.05,1.08,1.03,1.03,1.0,0.96,0.96,0.94,0.93,0.92,0.79,0.83,0.73,0.73,0.72,0.7,0.7,0.71,0.68,0.68,0.67,0.63,0.62,0.61,0.62,0.6,0.54,0.53,0.53,0.52,0.5,0.49,0.49,0.47,0.48,0.44,0.43,0.39,0.39,0.39,0.38,0.37,0.34,0.35,0.34,0.34,0.32,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.26,0.25,0.24,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6
07/15/2021,5.47,5.18,5.27,4.44,4.19,2.84,2.53,2.33,1.82,1.75,1.64,1.45,1.35,1.35,1.28,1.19,1.15,1.1,1.04,1.07,1.02,1.04,1.0,0.96,0.96,0.95,0.92,0.91,0.78,0.82,0.74,0.73,0.72,0.71,0.71,0.72,0.7,0.68,0.66,0.63,0.62,0.61,0.61,0.6,0.53,0.54,0.52,0.53,0.5,0.49,0.49,0.48,0.48,0.44,0.43,0.4,0.39,0.39,0.38,0.38,0.34,0.35,0.34,0.34,0.33,0.35,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.28,0.27,0.27,0.25,0.24,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.73
07/16/2021,5.54,5.27,5.23,4.44,4.22,2.78,2.51,2.34,1.8,1.75,1.61,1.45,1.35,1.33,1.29,1.19,1.18,1.13,1.04,1.08,1.02,1.05,1.0,0.96,0.95,0.95,0.94,0.91,0.79,0.82,0.73,0.73,0.72,0.7,0.72,0.71,0.69,0.68,0.66,0.62,0.62,0.61,0.61,0.59,0.54,0.54,0.52,0.54,0.47,0.49,0.5,0.47,0.48,0.43,0.43,0.4,0.39,0.39,0.38,0.37,0.34,0.35,0.34,0.34,0.33,0.34,0.32,0.31,0.31,0.3,0.3,0.3,0.27,0.28,0.28,0.27,0.27,0.24,0.24,0.25,0.25,0.25,0.23,0.24,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.07,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65
07/19/2021,5.67,5.29,5.19,4.37,4.25,2.72,2.51,2.34,1.84,1.79,1.58,1.46,1.31,1.26,1.3,1.18,1.2,1.15,1.02,1.09,1.03,1.06,1.02,0.98,0.96,0.93,0.97,0.9,0.77,0.82,0.73,0.74,0.71,0.71,0.72,0.69,0.69,0.68,0.67,0.61,0.61,0.62,0.62,0.59,0.54,0.54,0.53,0.54,0.49,0.49,0.5,0.47,0.49,0.43,0.43,0.39,0.38,0.4,0.38,0.37,0.34,0.35,0.34,0.34,0.32,0.35,0.32,0.31,0.32,0.29,0.3,0.31,0.27,0.28,0.29,0.27,0.27,0.23,0.23,0.25,0.25,0.25,0.22,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.21,0.21,0.19,0.19,0.2,0.2,0.19,0.2,0.18,0.2,0.2,0.18,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75
07/20/2021,5.67,5.29,5.19,4.37,4.25,2.72,2.51,2.34,1.84,1.79,1.58,1.46,1.31,1.26,1.3,1.18,1.2,1.15,1.02,1.09,1.03,1.06,1.02,0.98,0.96,0.93,0.97,0.9,0.77,0.82,0.73,0.74,0.71,0.71,0.72,0.69,0.69,0.68,0.67,0.61,0.61,0.62,0.62,0.59,0.54,0.54,0.53,0.54,0.49,0.49,0.5,0.47,0.49,0.43,0.43,0.39,0.38,0.4,0.38,0.37,0.34,0.35,0.34,0.34,0.32,0.35,0.32,0.31,0.32,0.29,0.3,0.31,0.27,0.28,0.29,0.27,0.27,0.23,0.23,0.25,0.25,0.25,0.22,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.21,0.21,0.19,0.19,0.2,0.2,0.19,0.2,0.18,0.2,0.2,0.18,0.19,0.18,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.08,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.75
07/21/2021,5.63,5.33,5.15,4.36,4.3,2.71,2.48,2.35,1.85,1.82,1.55,1.43,1.28,1.21,1.31,1.17,1.2,1.16,1.0,1.09,1.04,1.07,1.02,0.99,0.96,0.93,0.97,0.91,0.78,0.84,0.72,0.73,0.72,0.7,0.71,0.7,0.68,0.69,0.66,0.61,0.62,0.62,0.62,0.58,0.55,0.54,0.53,0.54,0.5,0.49,0.5,0.47,0.5,0.42,0.44,0.38,0.37,0.39,0.39,0.36,0.34,0.35,0.34,0.34,0.31,0.35,0.32,0.31,0.32,0.3,0.3,0.31,0.27,0.28,0.28,0.27,0.27,0.22,0.23,0.26,0.25,0.26,0.22,0.25,0.25,0.24,0.23,0.23,0.22,0.23,0.24,0.24,0.23,0.21,0.21,0.19,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.09,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,96.65000000000002
07/22/2021,5.63,5.33,5.15,4.36,4.3,2.71,2.48,2.35,1.85,1.82,1.55,1.43,1.28,1.21,1.31,1.17,1.2,1.16,1.0,1.09,1.04,1.07,1.02,0.99,0.96,0.93,0.97,0.91,0.78,0.84,0.72,0.73,0.72,0.7,0.71,0.7,0.68,0.69,0.66,0.61,0.62,0.62,0.62,0.58,0.55,0.54,0.53,0.54,0.5,0.49,0.5,0.47,0.5,0.42,0.44,0.38,0.37,0.39,0.39,0.36,0.34,0.35,0.34,0.34,0.31,0.35,0.32,0.31,0.32,0.3,0.3,0.31,0.27,0.28,0.28,0.27,0.27,0.22,0.23,0.26,0.25,0.26,0.22,0.25,0.25,0.24,0.23,0.23,0.22,0.23,0.24,0.24,0.23,0.21,0.21,0.19,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.17,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.09,0.1,0.1,0.09,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.0,0.08,0.08,0.07,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.09,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,96.65000000000002
