,2SPY  211231C00003020,2QQQ  211231C00313740,2SPY  211231P00373870,Cash&Other,2SPY  211231P00340220,2SPY  211231C00397060,2QQQ  211231C00333190,SUM
07/09/2021,105.19,15.85,1.81,0.54,-1.04,-11.03,-11.32,100.0
07/12/2021,105.79,16.05,1.76,0.52,-1.02,-11.63,-11.47,100.0
07/13/2021,105.79,16.05,1.76,0.52,-1.02,-11.63,-11.47,100.0
07/14/2021,105.79,16.05,1.76,0.52,-1.02,-11.63,-11.47,100.0
07/15/2021,106.08,16.44,1.68,0.52,-0.97,-11.97,-11.79,99.99
07/16/2021,105.88,16.47,1.82,0.52,-1.05,-11.78,-11.87,99.98999999999998
07/19/2021,105.63,15.86,1.84,0.51,-1.06,-11.5,-11.29,99.99
07/20/2021,105.08,15.33,2.04,0.51,-1.17,-10.95,-10.83,100.01
07/21/2021,105.08,15.33,2.04,0.51,-1.17,-10.95,-10.83,100.01
07/22/2021,104.1,14.8,2.41,0.51,-1.4,-10.04,-10.4,99.98
07/23/2021,105.17,15.7,2.06,0.51,-1.2,-11.1,-11.14,100.0
07/26/2021,105.8,16.86,1.77,0.5,-1.02,-11.76,-12.17,99.98
07/27/2021,106.52,17.74,1.64,0.49,-0.95,-12.46,-12.98,100.0
07/28/2021,106.52,17.74,1.64,0.49,-0.95,-12.46,-12.98,100.0
07/29/2021,106.77,17.89,1.56,0.49,-0.9,-12.73,-13.08,100.0
07/30/2021,106.36,16.71,1.76,0.49,-1.03,-12.23,-12.06,100.0
08/02/2021,106.62,16.95,1.58,0.48,-0.91,-12.48,-12.24,100.0
08/03/2021,106.42,16.93,1.63,0.49,-0.94,-12.32,-12.22,99.98999999999998
08/04/2021,106.42,16.93,1.63,0.49,-0.94,-12.32,-12.22,99.98999999999998
08/05/2021,106.23,16.9,1.68,0.49,-0.97,-12.15,-12.18,100.0
08/06/2021,106.63,17.22,1.56,0.48,-0.9,-12.52,-12.47,100.0
08/10/2021,106.91,17.41,1.35,0.47,-0.77,-12.78,-12.59,100.0
08/11/2021,106.91,17.41,1.35,0.47,-0.77,-12.78,-12.59,100.0
08/13/2021,106.85,17.07,1.38,0.47,-0.77,-12.69,-12.3,100.01
08/16/2021,107.33,17.2,1.21,0.46,-0.67,-13.12,-12.4,100.00999999999998
08/17/2021,107.48,17.47,1.19,0.46,-0.67,-13.29,-12.64,100.0
08/18/2021,107.48,17.47,1.19,0.46,-0.67,-13.29,-12.64,100.0
08/19/2021,107.77,17.48,1.15,0.45,-0.64,-13.57,-12.63,100.01000000000002
08/20/2021,107.12,16.62,1.33,0.45,-0.75,-12.9,-11.87,100.0
08/23/2021,106.57,16.63,1.6,0.44,-0.92,-12.43,-11.9,99.98999999999998
08/24/2021,107.04,17.41,1.39,0.44,-0.79,-12.89,-12.6,100.0
08/25/2021,107.04,17.41,1.39,0.44,-0.79,-12.89,-12.6,100.0
08/26/2021,107.77,18.7,1.16,0.44,-0.67,-13.66,-13.75,99.99
08/27/2021,107.81,18.88,1.17,0.44,-0.67,-13.71,-13.92,100.0
08/30/2021,107.57,18.4,1.22,0.43,-0.7,-13.46,-13.48,99.98
08/31/2021,108.15,19.18,1.05,0.42,-0.6,-14.04,-14.16,100.00000000000004
09/01/2021,108.15,19.18,1.05,0.42,-0.6,-14.04,-14.16,100.00000000000004
09/02/2021,108.57,20.33,0.96,0.42,-0.55,-14.5,-15.25,99.97999999999996
09/03/2021,108.57,20.29,0.98,0.42,-0.56,-14.51,-15.2,99.98999999999997
09/06/2021,108.64,20.16,0.91,0.42,-0.52,-14.53,-15.09,99.98999999999998
09/07/2021,108.68,20.62,0.92,0.42,-0.53,-14.6,-15.51,100.0
09/08/2021,108.68,20.62,0.92,0.42,-0.53,-14.6,-15.51,100.0
09/09/2021,108.68,20.62,0.92,0.42,-0.53,-14.6,-15.51,100.0
09/10/2021,108.3,20.7,1.0,0.42,-0.57,-14.24,-15.61,100.0
09/13/2021,107.83,20.09,1.04,0.41,-0.59,-13.75,-15.03,100.0
09/14/2021,107.31,19.49,1.17,0.41,-0.67,-13.24,-14.46,100.01
09/15/2021,107.31,19.49,1.17,0.41,-0.67,-13.24,-14.46,100.01
09/16/2021,107.38,19.35,1.04,0.4,-0.58,-13.29,-14.31,99.98999999999998
09/17/2021,106.86,19.09,1.08,0.4,-0.59,-12.78,-14.06,100.0
09/20/2021,107.3,19.62,0.93,0.4,-0.51,-13.2,-14.54,100.0
09/21/2021,106.35,18.42,1.12,0.4,-0.61,-12.26,-13.42,100.0
09/22/2021,106.35,18.42,1.12,0.4,-0.61,-12.26,-13.42,100.0
09/23/2021,105.22,16.75,1.53,0.4,-0.82,-11.11,-11.97,100.0
09/24/2021,105.04,16.64,1.44,0.4,-0.76,-10.94,-11.83,99.99
09/27/2021,106.78,18.31,0.85,0.39,-0.44,-12.64,-13.26,99.99
09/28/2021,106.78,18.31,0.79,0.39,-0.4,-12.63,-13.25,99.99
09/29/2021,106.78,18.31,0.79,0.39,-0.4,-12.63,-13.25,99.99
09/30/2021,106.58,17.39,0.82,0.39,-0.41,-12.38,-12.39,100.0
10/01/2021,105.21,15.08,1.19,0.39,-0.6,-10.92,-10.35,100.0
10/04/2021,104.13,14.57,1.32,0.06,-0.64,-9.73,-9.72,99.98999999999998
10/05/2021,105.45,14.95,1.06,0.06,-0.51,-10.79,-10.23,99.99
10/06/2021,105.45,14.95,1.06,0.06,-0.51,-10.79,-10.23,99.99000000000001
