,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,BLK CSH FND TREASURY SL AGENCY,FUTURES USD MARGIN BALANCE,T 2.375 05/15/29,T 1.625 08/15/29,T 2.625 02/15/29,T 1.75 11/15/29,XTSLA,SUM
07/09/2021,38.54,31.84,17.62,10.8,1.24,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,38.37,31.63,17.42,10.77,1.17,99.36
