,Ice 20+ Year U.S. Treasury Index Swap Citibank Na - Cash Offset,Ice 20+ Year U.S. Treasury Index Swap Bank Of America Na - Cash Offset,Cash,Ice 20+ Year U.S. Treasury Index Swap Societe Generale - Cash Offset,Ice 20+ Year U.S. Treasury Index Swap Goldman Sachs International - Cash Of,Us Long Future 09/21/2021 (Usu1) - Cash Offset,US Treasury Bond Future Sept 21,Ice 20+ Year U.S. Treasury Index Swap Goldman Sachs International,Ice 20+ Year U.S. Treasury Index Swap Societe Generale,Ice 20+ Year U.S. Treasury Index Swap Bank Of America Na,Ice 20+ Year U.S. Treasury Index Swap Citibank Na,SUM
07/09/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/12/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/13/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/14/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/15/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/16/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/19/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/20/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/21/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/22/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/23/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/26/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/27/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,100.0
07/28/2021,125.26,101.01,100.0,45.12,26.55,2.87,-2.87,-26.55,-45.12,-101.01,-125.26,99.99999999999999
