,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust C 3.22,US Dollar,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust P 289.55,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust P 321.72,2021-07-16 SPDRu00ae S&P 500u00ae ETF Trust C 369.82,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust C 4.31,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust P 431.34,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust C 481.81,2022-07-15 SPDRu00ae S&P 500u00ae ETF Trust P 388.21,SUM
07/09/2021,116.84,0.31,0.0,0.0,-17.16,0.0,0.0,0.0,0.0,99.99
07/12/2021,117.52,0.31,0.0,0.0,-17.83,0.0,0.0,0.0,0.0,100.0
07/13/2021,117.52,0.31,0.0,0.0,-17.83,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,1.16,0.0,0.0,0.0,97.49,7.88,-3.04,-3.5,99.98999999999998
07/22/2021,0.0,1.16,0.0,0.0,0.0,96.99,8.61,-1.67,-5.1,99.99
08/03/2021,0.0,1.1,0.0,0.0,0.0,98.36,6.88,-2.3,-4.04,100.0
08/04/2021,0.0,1.1,0.0,0.0,0.0,98.36,6.88,-2.3,-4.04,100.0
08/05/2021,0.0,1.11,0.0,0.0,0.0,98.09,7.08,-1.98,-4.3,100.0
