,CBKD.L,EAST.CA,EKHO.CA,SAP.JO,TMGH.CA,CLHO.CA,ETEL.CA,SWDY.CA,OCDI.CA,CEY.L,CIRA.CA,MNHD.CA,HRHO.CA,PHDC.CA,SAP.JO.1,JUFO.CA,PIOH.CA,ORWE.CA,ESRS.CA,EFGD.L,SKPC.CA,HELI.CA,CICH.CA,TALM.CA,ISPH.CA,EMFD.CA,SAP.JO.2,SAP.JO.3,FWRY.CA,AMOC.CA,SUM
07/09/2021,7.97,7.52,6.45,6.07,5.62,4.91,4.9,4.58,4.07,3.89,3.88,3.43,3.33,3.29,3.19,3.01,2.59,2.46,2.31,2.22,2.18,2.16,2.07,2.06,1.98,1.74,1.52,0.6,0.0,0.0,100.0
08/31/2021,8.16,7.87,6.73,0.0,5.83,5.11,5.11,4.76,4.23,3.96,4.05,3.56,3.46,3.43,0.0,3.13,2.69,2.57,2.41,2.32,2.26,2.24,2.17,2.15,2.07,1.8,0.0,0.0,6.32,1.58,99.97
