,PLD,EQIX,PSA,DLR,SPG,WELL,AVB,EQR,O,ARE,EXR,INVH,VTR,ESS,MAA,SUI,PEAK,DRE,BXP,VICI,UDR,WPC,CPT,ELS,IRM,HST,MPW,AMH,VER,GLPI,REG,CUBE,COLD,KIM,CONE,OHI,STOR,LSI,NNN,FRT,REXR,VNO,AIRC,KRC,FR,BRX,ACC,EGP,STAG,HTA,DEI,COR,SLG,CUZ,SRC,MGP,QTS,IIPR,HIW,ADC,PK,TRNO,JPMORGAN US GOVT MMKT FUN,HR,HPP,EPR,DOC,DBRG,WRI,SBRA,RHP,JBGS,BNL,LXP,NSA,EQC,OFC,APLE,PSB,PEB,EPRT,NHI,SHO,MAC,RPAI,BDN,RLJ,SITC,PDM,CTRE,UE,FCPT,ROIC,SVC,XHR,CXP,WRE,DRH,AAT,AKR,IRT,PGRE,DEA,MNR,KRG,ESRT,SKT,ILPT,GNL,STAR,LTC,OPI,ALEX,SAFE,NXRT,CLI,GTY,CHCT,DHC,INN,AIV,CSR,RPT,NTST,AFIN,UMH,GMRE,GOOD,AHH,UHT,GEO,BFS,ALX,CASH OR CASH COLLATERAL,SRG,UBA,CLDT,CIO,FSP,OLP,DJEU1 Index,SUM
07/09/2021,7.99,6.45,4.28,3.76,3.7,3.14,2.63,2.46,2.25,2.14,1.98,1.94,1.91,1.77,1.76,1.68,1.61,1.6,1.52,1.46,1.32,1.18,1.18,1.17,1.08,1.04,1.04,1.0,0.95,0.9,0.86,0.83,0.82,0.79,0.77,0.76,0.75,0.74,0.73,0.71,0.67,0.66,0.65,0.64,0.6,0.59,0.59,0.58,0.54,0.53,0.52,0.52,0.5,0.49,0.49,0.48,0.44,0.43,0.42,0.4,0.4,0.4,0.39,0.38,0.37,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.0,99.99
07/12/2021,8.04,6.35,4.25,3.78,3.69,3.13,2.67,2.51,2.23,2.14,1.97,1.96,1.9,1.8,1.79,1.69,1.62,1.62,1.5,1.46,1.34,1.19,1.19,1.18,1.09,1.05,1.03,1.02,0.95,0.9,0.86,0.82,0.81,0.8,0.78,0.75,0.74,0.75,0.72,0.71,0.67,0.66,0.64,0.64,0.6,0.6,0.59,0.59,0.54,0.52,0.52,0.51,0.48,0.49,0.48,0.48,0.43,0.42,0.42,0.4,0.4,0.4,0.46,0.37,0.37,0.34,0.34,0.32,0.34,0.34,0.35,0.33,0.31,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.01,100.0
07/13/2021,8.04,6.35,4.25,3.78,3.69,3.13,2.67,2.51,2.23,2.14,1.97,1.96,1.9,1.8,1.79,1.69,1.62,1.62,1.5,1.46,1.34,1.19,1.19,1.18,1.09,1.05,1.03,1.02,0.95,0.9,0.86,0.82,0.81,0.8,0.78,0.75,0.74,0.75,0.72,0.71,0.67,0.66,0.64,0.64,0.6,0.6,0.59,0.59,0.54,0.52,0.52,0.51,0.48,0.49,0.48,0.48,0.43,0.42,0.42,0.4,0.4,0.4,0.46,0.37,0.37,0.34,0.34,0.32,0.34,0.34,0.35,0.33,0.31,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.01,100.0
07/14/2021,8.04,6.35,4.25,3.78,3.69,3.13,2.67,2.51,2.23,2.14,1.97,1.96,1.9,1.8,1.79,1.69,1.62,1.62,1.5,1.46,1.34,1.19,1.19,1.18,1.09,1.05,1.03,1.02,0.95,0.9,0.86,0.82,0.81,0.8,0.78,0.75,0.74,0.75,0.72,0.71,0.67,0.66,0.64,0.64,0.6,0.6,0.59,0.59,0.54,0.52,0.52,0.51,0.48,0.49,0.48,0.48,0.43,0.42,0.42,0.4,0.4,0.4,0.46,0.37,0.37,0.34,0.34,0.32,0.34,0.34,0.35,0.33,0.31,0.29,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.23,0.23,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.01,100.0
07/15/2021,8.08,6.35,4.24,3.79,3.67,3.13,2.68,2.5,2.22,2.12,1.97,1.95,1.91,1.81,1.79,1.67,1.62,1.62,1.51,1.47,1.33,1.19,1.19,1.17,1.1,1.03,1.01,1.01,0.94,0.89,0.87,0.82,0.81,0.79,0.78,0.74,0.74,0.74,0.73,0.71,0.67,0.66,0.64,0.65,0.6,0.59,0.59,0.59,0.54,0.51,0.52,0.51,0.49,0.49,0.48,0.48,0.43,0.43,0.42,0.4,0.4,0.4,0.48,0.37,0.37,0.34,0.33,0.33,0.34,0.34,0.36,0.33,0.31,0.3,0.29,0.28,0.29,0.28,0.27,0.26,0.26,0.25,0.22,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.03,0.05,0.05,0.05,0.05,0.05,0.04,0.02,99.95
07/16/2021,8.09,6.4,4.25,3.79,3.62,3.16,2.69,2.51,2.23,2.13,1.96,1.96,1.92,1.81,1.8,1.68,1.62,1.62,1.5,1.46,1.34,1.19,1.2,1.18,1.11,1.02,1.01,1.01,0.95,0.9,0.86,0.82,0.81,0.79,0.77,0.74,0.74,0.74,0.72,0.71,0.67,0.65,0.64,0.64,0.6,0.59,0.59,0.59,0.54,0.51,0.52,0.51,0.47,0.49,0.48,0.48,0.44,0.43,0.42,0.4,0.39,0.4,0.5,0.37,0.36,0.35,0.33,0.32,0.34,0.33,0.36,0.33,0.31,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.08,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.02,0.05,0.05,0.05,0.05,0.05,0.04,0.01,99.95
07/19/2021,8.07,6.4,4.24,3.78,3.57,3.18,2.7,2.53,2.22,2.14,1.95,1.94,1.91,1.83,1.81,1.69,1.63,1.62,1.48,1.45,1.35,1.19,1.2,1.18,1.09,0.99,1.01,1.02,0.95,0.89,0.85,0.81,0.81,0.79,0.77,0.74,0.73,0.74,0.73,0.7,0.67,0.64,0.66,0.64,0.6,0.58,0.59,0.59,0.54,0.52,0.52,0.51,0.47,0.49,0.48,0.47,0.43,0.42,0.42,0.4,0.38,0.39,0.66,0.37,0.36,0.35,0.33,0.31,0.34,0.33,0.36,0.33,0.31,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.08,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.02,99.93
07/20/2021,8.09,6.38,4.25,3.79,3.52,3.22,2.71,2.55,2.23,2.16,1.94,1.95,1.92,1.83,1.82,1.7,1.65,1.62,1.48,1.44,1.36,1.2,1.21,1.19,1.07,0.97,1.03,1.02,0.95,0.89,0.85,0.82,0.82,0.79,0.77,0.74,0.73,0.74,0.73,0.7,0.67,0.63,0.66,0.63,0.6,0.57,0.6,0.59,0.55,0.53,0.51,0.51,0.46,0.5,0.48,0.47,0.43,0.43,0.42,0.4,0.37,0.4,0.67,0.37,0.36,0.34,0.33,0.3,0.34,0.33,0.35,0.34,0.31,0.3,0.29,0.28,0.29,0.26,0.27,0.25,0.26,0.25,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.08,0.08,0.09,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.02,99.98
07/21/2021,8.09,6.38,4.25,3.79,3.52,3.22,2.71,2.55,2.23,2.16,1.94,1.95,1.92,1.83,1.82,1.7,1.65,1.62,1.48,1.44,1.36,1.2,1.21,1.19,1.07,0.97,1.03,1.02,0.95,0.89,0.85,0.82,0.82,0.79,0.77,0.74,0.73,0.74,0.73,0.7,0.67,0.63,0.66,0.63,0.6,0.57,0.6,0.59,0.55,0.53,0.51,0.51,0.46,0.5,0.48,0.47,0.43,0.43,0.42,0.4,0.37,0.4,0.67,0.37,0.36,0.34,0.33,0.3,0.34,0.33,0.35,0.34,0.31,0.3,0.29,0.28,0.29,0.26,0.27,0.25,0.26,0.25,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.13,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.08,0.08,0.09,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.02,99.98
07/22/2021,8.23,6.54,4.27,3.85,3.38,3.09,2.73,2.56,2.25,2.19,1.94,1.95,1.89,1.84,1.84,1.71,1.65,1.65,1.44,1.43,1.37,1.2,1.22,1.2,1.08,0.95,1.03,1.02,0.96,0.89,0.83,0.81,0.83,0.74,0.77,0.74,0.73,0.74,0.73,0.68,0.68,0.62,0.65,0.63,0.61,0.56,0.59,0.6,0.54,0.53,0.51,0.52,0.45,0.5,0.48,0.47,0.44,0.43,0.42,0.41,0.36,0.4,0.69,0.38,0.36,0.33,0.34,0.3,0.32,0.33,0.34,0.33,0.31,0.3,0.29,0.29,0.28,0.26,0.27,0.25,0.26,0.25,0.21,0.2,0.21,0.2,0.19,0.19,0.2,0.2,0.18,0.19,0.17,0.16,0.17,0.17,0.18,0.16,0.16,0.15,0.17,0.15,0.16,0.16,0.14,0.15,0.14,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.08,0.08,0.09,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.03,0.05,0.05,0.05,0.05,0.04,0.04,0.0,99.95999999999998
