,NVDA,CGNX,ANSS,U,GE,IR,ALB,TER,CRNC,LTHM,UAL,TDY,PTC,CHPT,JBLU,COUP,CARR,GXO,PLTR,ETWO,XPO,ZBRA,SNOW,ETN,PH,FGXXX,n/a,ZS,PANW,AME,POWI,CFX,HON,FCX,MSFT,ROK,TDG,AMBA,VMW,MRVL,SDGR,SUM
08/27/2021,13.54,6.18,5.9,5.58,5.37,5.09,4.74,4.36,4.11,4.07,3.9,3.82,3.8,3.44,2.97,2.97,2.96,2.53,2.16,2.15,1.99,1.99,1.98,1.92,1.82,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/30/2021,9.96,6.35,5.93,5.49,5.51,5.22,4.89,4.49,3.86,4.06,3.99,3.9,3.87,3.34,3.03,3.02,3.07,2.6,2.2,2.21,2.01,2.04,4.44,1.97,1.9,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,9.96,6.35,5.93,5.49,5.51,5.22,4.89,4.49,3.86,4.06,3.99,3.9,3.87,3.34,3.03,3.02,3.07,2.6,2.2,2.21,2.01,2.04,4.44,1.97,1.9,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,9.87,6.26,5.79,5.46,5.47,5.15,4.85,4.54,3.99,4.09,3.91,3.81,3.79,3.21,2.97,3.07,3.02,2.55,2.19,2.17,1.99,2.0,4.19,1.91,1.84,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,9.87,6.26,5.79,5.46,5.47,5.15,4.85,4.54,3.99,4.09,3.91,3.81,3.79,3.21,2.97,3.07,3.02,2.55,2.19,2.17,1.99,2.0,4.19,1.91,1.84,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/03/2021,9.89,6.29,5.8,5.58,5.42,5.19,4.85,4.56,3.95,4.14,3.76,3.81,3.8,3.16,2.88,3.15,3.0,2.53,2.2,2.21,1.97,1.99,4.19,1.91,1.82,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/06/2021,10.19,6.4,6.11,5.82,5.56,5.35,5.1,4.61,4.15,4.37,0.0,3.96,3.98,3.34,3.03,3.38,3.12,2.58,2.33,2.34,2.03,2.06,4.41,1.95,1.85,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/07/2021,10.03,6.38,6.0,6.04,5.63,5.38,5.13,4.59,4.09,4.34,0.0,3.92,3.89,3.57,3.01,3.38,3.08,2.62,2.32,2.3,2.04,2.05,4.43,1.94,1.83,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/08/2021,10.03,6.38,6.0,6.04,5.63,5.38,5.13,4.59,4.09,4.34,0.0,3.92,3.89,3.57,3.01,3.38,3.08,2.62,2.32,2.3,2.04,2.05,4.43,1.94,1.83,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/09/2021,9.86,6.15,5.78,5.84,5.35,5.11,4.91,4.47,3.9,4.13,0.0,3.69,3.78,3.3,2.85,3.33,2.94,2.57,2.25,2.22,1.97,1.99,4.32,1.85,1.73,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,9.83,6.13,5.87,5.99,5.3,5.02,4.87,4.42,3.83,4.23,0.0,3.67,3.7,3.4,2.88,3.36,2.89,2.51,2.27,2.25,1.94,1.96,4.37,1.83,1.74,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
